date_,adj close_bergepaint.ns,close_bergepaint.ns,high_bergepaint.ns,low_bergepaint.ns,open_bergepaint.ns,volume_bergepaint.ns
2024-01-16,596.6011962890625,604.4500122070312,607.0,598.7000122070312,602.75,897327
2024-01-17,587.4219970703125,595.1500244140625,604.8499755859375,591.4500122070312,599.0,1134435
2024-01-18,568.8660888671875,576.3499755859375,594.0,567.0,592.7999877929688,1433666
2024-01-19,571.8270874023438,579.3499755859375,585.1500244140625,576.75,581.5499877929688,978376
2024-01-23,539.8971557617188,547.0,575.0,542.5499877929688,575.0,1857284
2024-01-24,555.2452392578125,562.5499877929688,563.9000244140625,542.8499755859375,549.9000244140625,1093896
2024-01-25,547.4971923828125,554.7000122070312,563.0,552.0,563.0,1099198
2024-01-29,552.5802612304688,559.8499755859375,563.9000244140625,551.0999755859375,552.0,595840
2024-01-30,554.5050048828125,561.7999877929688,566.7000122070312,558.2999877929688,563.2000122070312,592044
2024-01-31,557.8115234375,565.1500244140625,567.0999755859375,558.0,562.0999755859375,554075
2024-02-01,558.156982421875,565.5,567.4500122070312,562.0,565.5499877929688,640925
2024-02-02,562.1543579101562,569.5499877929688,571.0,561.4500122070312,568.2999877929688,996264
2024-02-05,559.7362060546875,567.0999755859375,574.9000244140625,564.5999755859375,574.0,732928
2024-02-06,548.5828857421875,555.7999877929688,567.0999755859375,553.8499755859375,567.0999755859375,1071673
2024-02-07,548.5828857421875,555.7999877929688,578.25,552.0,569.0,4449337
2024-02-08,541.8712158203125,549.0,559.5,546.7000122070312,555.7999877929688,1033571
2024-02-09,546.8062744140625,554.0,556.75,543.4500122070312,551.8499755859375,1075063
2024-02-12,543.8452758789062,551.0,555.2999877929688,545.4500122070312,553.9500122070312,813053
2024-02-13,551.2478637695312,558.5,559.9000244140625,546.5499877929688,551.7999877929688,596957
2024-02-14,553.5673217773438,560.8499755859375,561.6500244140625,546.6500244140625,556.5499877929688,850727
2024-02-15,546.214111328125,553.4000244140625,562.9000244140625,552.0,562.9000244140625,488382
2024-02-16,555.5906982421875,562.9000244140625,564.3499755859375,554.0,554.0,725200
2024-02-19,549.668701171875,556.9000244140625,564.5,555.3499755859375,564.5,327372
2024-02-20,556.034912109375,563.3499755859375,565.0,553.0999755859375,559.0,720241
2024-02-21,564.8193359375,572.25,575.8499755859375,561.5,565.0,1097088
