date_,adj close_escorts.ns,close_escorts.ns,high_escorts.ns,low_escorts.ns,open_escorts.ns,volume_escorts.ns
2024-01-16,2919.443603515625,2957.85009765625,2964.89990234375,2901.14990234375,2909.0,537904
2024-01-17,2862.93701171875,2900.60009765625,2969.39990234375,2890.0,2915.0,225541
2024-01-18,2870.043701171875,2907.800048828125,2926.0,2820.0,2894.89990234375,260512
2024-01-19,2941.207275390625,2979.89990234375,2990.0,2915.5,2920.0,236803
2024-01-23,2799.965576171875,2836.800048828125,2959.0,2823.300048828125,2939.949951171875,369423
2024-01-24,2868.6123046875,2906.35009765625,2915.0,2820.0,2828.0,372671
2024-01-25,2907.056640625,2945.300048828125,2957.0,2911.64990234375,2914.949951171875,206334
2024-01-29,2983.945068359375,3023.199951171875,3040.449951171875,2948.199951171875,2950.0,299823
2024-01-30,2979.059326171875,3018.25,3058.800048828125,3001.64990234375,3040.0,272247
2024-01-31,2944.513671875,2983.25,3043.10009765625,2976.35009765625,3030.0,204360
2024-02-01,2844.529052734375,2881.949951171875,3045.0,2875.0,3023.949951171875,506690
2024-02-02,2906.31640625,2944.550048828125,2979.89990234375,2875.0,2875.0,230152
2024-02-05,2929.31396484375,2967.85009765625,2995.0,2929.0,2964.39990234375,124224
2024-02-06,2910.067138671875,2948.35009765625,2985.0,2931.10009765625,2975.0,114429
2024-02-07,2892.349853515625,2930.39990234375,2970.800048828125,2908.5,2956.0,92051
2024-02-08,2894.619873046875,2932.699951171875,2978.0,2860.050048828125,2964.0,457664
2024-02-09,2770.799072265625,2807.25,2905.0,2648.39990234375,2905.0,2056922
2024-02-12,2779.336669921875,2815.89990234375,2874.949951171875,2783.300048828125,2807.199951171875,395080
2024-02-13,2750.318603515625,2786.5,2830.0,2747.0,2830.0,837938
2024-02-14,2773.2666015625,2809.75,2820.0,2747.050048828125,2750.0,141089
2024-02-15,2866.88525390625,2904.60009765625,2929.5,2818.0,2820.0,481769
2024-02-16,2888.994384765625,2927.0,2987.949951171875,2908.60009765625,2933.60009765625,332193
2024-02-19,2922.40478515625,2960.85009765625,2977.699951171875,2909.050048828125,2953.949951171875,173904
2024-02-20,2889.833251953125,2927.85009765625,2973.5,2903.550048828125,2951.050048828125,158657
2024-02-21,2876.31103515625,2914.14990234375,2949.0,2897.0,2944.0,102824
2024-02-22,2887.414794921875,2925.39990234375,2938.949951171875,2887.0,2938.949951171875,91902
2024-02-23,2873.201904296875,2911.0,2962.35009765625,2900.0,2927.5,148019
