date_,adj close_divislab.ns,close_divislab.ns,high_divislab.ns,low_divislab.ns,open_divislab.ns,volume_divislab.ns
2024-01-16,3774.046142578125,3814.5,3926.35009765625,3800.39990234375,3909.60009765625,483779
2024-01-17,3689.255126953125,3728.800048828125,3819.89990234375,3717.35009765625,3810.10009765625,574671
2024-01-18,3660.95849609375,3700.199951171875,3756.550048828125,3585.0,3728.800048828125,651966
2024-01-19,3654.626220703125,3693.800048828125,3733.35009765625,3664.199951171875,3730.0,324763
2024-01-23,3577.00830078125,3615.35009765625,3700.0,3585.85009765625,3700.0,387616
2024-01-24,3604.9091796875,3643.550048828125,3671.949951171875,3609.0,3650.0,377660
2024-01-25,3540.944580078125,3578.89990234375,3660.0,3547.25,3644.0,407761
2024-01-29,3532.73291015625,3570.60009765625,3586.0,3550.10009765625,3578.0,765970
2024-01-30,3514.033203125,3551.699951171875,3619.35009765625,3540.300048828125,3574.949951171875,1052177
2024-01-31,3631.67236328125,3670.60009765625,3680.89990234375,3560.050048828125,3585.0,840784
2024-02-01,3616.63330078125,3655.39990234375,3696.0,3636.050048828125,3696.0,393645
2024-02-02,3660.166748046875,3699.39990234375,3744.699951171875,3665.0,3665.0,423758
2024-02-05,3660.265625,3699.5,3742.0,3664.550048828125,3699.39990234375,518516
2024-02-06,3686.979248046875,3726.5,3744.39990234375,3689.89990234375,3698.0,276514
2024-02-07,3692.22314453125,3731.800048828125,3771.0,3702.199951171875,3739.949951171875,226715
2024-02-08,3645.32568359375,3684.39990234375,3765.0,3660.39990234375,3745.949951171875,399402
2024-02-09,3613.566162109375,3652.300048828125,3697.5,3613.5,3697.5,415749
2024-02-12,3700.484375,3740.14990234375,3818.60009765625,3645.699951171875,3650.0,1303179
2024-02-13,3661.20556640625,3700.449951171875,3832.800048828125,3687.0,3740.14990234375,814115
2024-02-14,3680.2021484375,3719.64990234375,3728.64990234375,3632.050048828125,3690.0,452222
2024-02-15,3669.5166015625,3708.85009765625,3745.0,3696.550048828125,3729.699951171875,288401
2024-02-16,3689.650634765625,3729.199951171875,3778.89990234375,3708.0,3708.699951171875,625808
2024-02-19,3683.9619140625,3723.449951171875,3763.25,3715.699951171875,3730.0,217681
2024-02-20,3673.375244140625,3712.75,3739.0,3675.199951171875,3723.0,328713
2024-02-21,3610.400390625,3649.10009765625,3739.699951171875,3637.199951171875,3708.050048828125,386150
2024-02-22,3606.739501953125,3645.39990234375,3659.699951171875,3597.050048828125,3659.699951171875,485941
2024-02-23,3609.410888671875,3648.10009765625,3669.050048828125,3626.85009765625,3645.39990234375,326640
2024-02-26,3539.4111328125,3577.35009765625,3655.0,3556.35009765625,3649.0,404285
2024-02-27,3502.25927734375,3539.800048828125,3598.0,3509.89990234375,3580.0,524599
2024-02-28,3481.036865234375,3518.35009765625,3553.449951171875,3507.0,3540.0,464435
