date_,adj close_jindalsaw.ns,close_jindalsaw.ns,high_jindalsaw.ns,low_jindalsaw.ns,open_jindalsaw.ns,volume_jindalsaw.ns
2024-01-16,255.341796875,259.57501220703125,264.95001220703125,249.10000610351562,259.0,10949696
2024-01-17,255.8336639404297,260.07501220703125,269.45001220703125,258.75,265.5,7912528
2024-01-18,248.8248291015625,252.9499969482422,268.3999938964844,249.5,261.7250061035156,5793132
2024-01-19,249.68557739257812,253.8249969482422,261.95001220703125,250.27499389648438,257.5,3488514
2024-01-23,233.89732360839844,237.77499389648438,252.0,236.9499969482422,247.85000610351562,3115090
2024-01-24,241.32420349121094,245.3249969482422,248.625,235.5,238.47500610351562,2957086
2024-01-25,252.71041870117188,256.8999938964844,257.5,245.77499389648438,245.8000030517578,3022202
2024-01-29,255.12046813964844,259.3500061035156,263.45001220703125,255.14999389648438,258.20001220703125,2847658
2024-01-30,256.7681579589844,261.0249938964844,265.0,258.92498779296875,261.95001220703125,1662862
2024-01-31,256.6451721191406,260.8999938964844,262.3999938964844,256.6000061035156,261.0249938964844,1664236
2024-02-01,252.1201934814453,256.29998779296875,262.79998779296875,253.5,262.1000061035156,1699664
2024-02-02,243.58668518066406,247.625,258.4750061035156,246.10000610351562,257.0,1900874
2024-02-05,243.51292419433594,247.5500030517578,253.0,243.52499389648438,247.625,1693800
2024-02-06,250.0298614501953,254.1750030517578,257.0,246.25,247.22500610351562,1767916
2024-02-07,252.90716552734375,257.1000061035156,259.3500061035156,255.14999389648438,255.375,1187908
2024-02-08,264.4901428222656,268.875,275.0,257.5,258.3500061035156,6458424
2024-02-09,262.3506164550781,266.70001220703125,273.0,260.20001220703125,272.0,2108202
2024-02-12,243.48831176757812,247.52499389648438,269.95001220703125,243.0749969482422,268.8500061035156,2185506
2024-02-13,239.38140869140625,243.35000610351562,250.97500610351562,231.35000610351562,247.52499389648438,1846440
2024-02-14,245.2589569091797,249.3249969482422,251.5749969482422,237.27499389648438,243.89999389648438,1397188
