date_,adj close_bel.ns,close_bel.ns,high_bel.ns,low_bel.ns,open_bel.ns,volume_bel.ns
2024-01-16,183.48550415039062,186.8000030517578,190.25,185.10000610351562,188.89999389648438,16471601
2024-01-17,182.35589599609375,185.64999389648438,188.5,183.8000030517578,186.3000030517578,16350370
2024-01-18,184.8606719970703,188.1999969482422,189.0,180.0,185.64999389648438,24831623
2024-01-19,188.44590759277344,191.85000610351562,193.6999969482422,190.0,190.0,22303305
2024-01-23,183.78018188476562,187.10000610351562,195.5,184.39999389648438,195.25,26628471
2024-01-24,185.89202880859375,189.25,190.1999969482422,184.0,186.8000030517578,14742783
2024-01-25,186.33404541015625,189.6999969482422,192.0,188.3000030517578,190.75,12592882
2024-01-29,187.51275634765625,190.89999389648438,193.6999969482422,187.5500030517578,190.0,28919512
2024-01-30,184.56597900390625,187.89999389648438,192.35000610351562,187.0,192.0,20894159
2024-01-31,182.6014862060547,185.89999389648438,189.10000610351562,184.85000610351562,188.1999969482422,23757415
2024-02-01,180.14581298828125,183.39999389648438,188.39999389648438,181.5500030517578,187.6999969482422,27835431
2024-02-02,181.3245391845703,184.60000610351562,187.75,183.85000610351562,185.0,27710061
2024-02-05,178.32867431640625,181.5500030517578,187.0,178.8000030517578,187.0,23880364
2024-02-06,179.85116577148438,183.10000610351562,183.5500030517578,180.6999969482422,182.39999389648438,12134363
2024-02-07,178.4759979248047,181.6999969482422,184.14999389648438,179.64999389648438,184.14999389648438,14192151
2024-02-08,181.52099609375,184.8000030517578,187.10000610351562,181.75,182.1999969482422,29094709
2024-02-09,178.1193084716797,180.64999389648438,185.6999969482422,176.5,185.5,21081134
2024-02-12,172.20335388183594,174.64999389648438,183.10000610351562,173.64999389648438,181.25,19640568
2024-02-13,174.1260528564453,176.60000610351562,176.89999389648438,171.75,174.75,13961795
2024-02-14,179.05601501464844,181.60000610351562,182.14999389648438,175.3000030517578,177.25,23449380
2024-02-15,183.34507751464844,185.9499969482422,186.3000030517578,182.60000610351562,183.0,17335763
2024-02-16,185.6621551513672,188.3000030517578,190.39999389648438,186.85000610351562,189.0,29843059
2024-02-19,186.1058349609375,188.75,192.5,188.3000030517578,189.9499969482422,25343215
2024-02-20,187.979248046875,190.64999389648438,191.4499969482422,186.25,189.10000610351562,17809897
2024-02-21,186.05653381347656,188.6999969482422,192.5500030517578,187.0,191.3000030517578,17870782
2024-02-22,192.0218048095703,194.75,196.0,188.6999969482422,189.75,31992371
2024-02-23,202.42401123046875,205.3000030517578,207.0,195.9499969482422,196.3000030517578,76179371
2024-02-26,201.3887176513672,204.25,206.89999389648438,202.8000030517578,205.64999389648438,27013630
2024-02-27,202.4733123779297,205.35000610351562,209.0,203.10000610351562,203.5500030517578,28877205
2024-02-28,202.76910400390625,205.64999389648438,209.0,201.4499969482422,206.1999969482422,38996363
2024-02-29,202.22682189941406,205.10000610351562,205.89999389648438,199.75,205.4499969482422,24059731
2024-03-01,202.71981811523438,205.60000610351562,208.0500030517578,204.8000030517578,205.9499969482422,12949604
2024-03-04,206.6637725830078,209.60000610351562,212.9499969482422,206.35000610351562,207.9499969482422,34272251
2024-03-05,207.79766845703125,210.75,213.75,209.85000610351562,211.0,24964592
2024-03-06,207.50184631347656,210.4499969482422,213.4499969482422,205.60000610351562,211.8000030517578,26236957
2024-03-07,212.18531799316406,215.1999969482422,216.8000030517578,211.14999389648438,211.4499969482422,41484038
2024-03-11,209.57244873046875,212.5500030517578,216.4499969482422,211.89999389648438,216.4499969482422,22800967
2024-03-12,201.3887176513672,204.25,211.35000610351562,201.5,211.0,34719550
2024-03-13,187.6341552734375,190.3000030517578,205.60000610351562,188.1999969482422,204.10000610351562,41620003
2024-03-14,192.51480102539062,195.25,197.14999389648438,186.25,189.0,34622781
2024-03-15,186.20445251464844,188.85000610351562,196.75,179.10000610351562,196.75,88781999
2024-03-18,187.23973083496094,189.89999389648438,192.0,187.0500030517578,190.0,22999225
2024-03-19,182.80279541015625,185.39999389648438,192.4499969482422,184.5500030517578,190.0,27819341
2024-03-20,184.82408142089844,187.4499969482422,187.9499969482422,182.5,186.89999389648438,16235947
2024-03-21,194.0924072265625,196.85000610351562,197.5,190.0,190.0,43152810
2024-03-22,195.42822265625,197.5,198.9499969482422,192.75,196.5,31321524
2024-03-26,197.30828857421875,199.39999389648438,200.5,195.9499969482422,197.0,25723863
2024-03-27,197.35775756835938,199.4499969482422,203.9499969482422,198.0,200.0,37817130
2024-03-28,199.38626098632812,201.5,202.4499969482422,199.0,200.5,17425093
2024-04-01,208.8855743408203,211.10000610351562,212.75,203.75,205.0,45840349
2024-04-02,218.6817169189453,221.0,222.64999389648438,212.60000610351562,213.75,93873385
2024-04-03,219.1764678955078,221.5,225.4499969482422,218.85000610351562,221.6999969482422,47658754
2024-04-04,217.9890594482422,220.3000030517578,223.89999389648438,218.25,223.5,18279026
2024-04-05,222.14500427246094,224.5,226.0,218.75,220.35000610351562,25365958
2024-04-08,221.20497131347656,223.5500030517578,225.6999969482422,222.10000610351562,225.5500030517578,16422350
2024-04-09,225.75669860839844,228.14999389648438,228.89999389648438,221.1999969482422,224.8000030517578,29048035
2024-04-10,226.35040283203125,228.75,232.85000610351562,226.5,229.0,37218693
2024-04-12,231.0505828857422,233.5,235.39999389648438,230.5500030517578,231.3000030517578,57174716
2024-04-15,231.99061584472656,234.4499969482422,238.0,226.0,230.0,51676313
2024-04-16,231.00111389160156,233.4499969482422,236.9499969482422,230.0,232.5,32508661
2024-04-18,228.7252197265625,231.14999389648438,237.39999389648438,229.1999969482422,235.60000610351562,18623078
2024-04-19,230.85267639160156,233.3000030517578,234.5,225.6999969482422,228.5500030517578,27227241
2024-04-22,230.85267639160156,233.3000030517578,236.14999389648438,232.3000030517578,236.0,17549094
2024-04-23,231.8916778564453,234.35000610351562,236.10000610351562,231.75,234.25,19202860
2024-04-24,234.01910400390625,236.5,239.14999389648438,234.10000610351562,235.25,33392337
2024-04-25,235.10757446289062,237.60000610351562,240.0500030517578,235.4499969482422,236.39999389648438,16197834
2024-04-26,236.44342041015625,238.9499969482422,241.64999389648438,237.89999389648438,238.5,20473627
2024-04-29,232.93063354492188,235.39999389648438,240.1999969482422,234.85000610351562,240.14999389648438,19876408
2024-04-30,231.29795837402344,233.75,237.3000030517578,233.1999969482422,236.3000030517578,14514418
2024-05-02,232.2874755859375,234.75,237.39999389648438,230.75,234.6999969482422,19171145
2024-05-03,231.644287109375,234.10000610351562,238.0,231.14999389648438,237.10000610351562,15782582
2024-05-06,229.4178924560547,231.85000610351562,235.85000610351562,230.0,235.10000610351562,32422021
2024-05-07,225.0145721435547,227.39999389648438,235.8000030517578,225.4499969482422,232.5,26418769
2024-05-08,229.1705322265625,231.60000610351562,232.64999389648438,224.60000610351562,227.1999969482422,18952985
2024-05-09,223.8271484375,226.1999969482422,238.1999969482422,225.3000030517578,234.5,35229412
2024-05-10,224.71771240234375,227.10000610351562,228.5,223.14999389648438,227.89999389648438,18478580
2024-05-13,222.39236450195312,224.75,228.6999969482422,221.0,228.39999389648438,32874369
2024-05-14,228.52732849121094,230.9499969482422,231.89999389648438,225.75,225.75,23191411
2024-05-15,230.40740966796875,232.85000610351562,234.5,229.5500030517578,231.8000030517578,33045920
2024-05-16,235.4044189453125,237.89999389648438,240.0,227.5,234.75,55556781
2024-05-17,245.59637451171875,248.1999969482422,249.64999389648438,237.85000610351562,241.0,82231249
2024-05-21,271.2741394042969,274.1499938964844,283.0,271.04998779296875,283.0,127035921
2024-05-22,280.6250305175781,283.6000061035156,284.5,264.29998779296875,277.0,85801218
2024-05-23,285.4736328125,288.5,293.29998779296875,283.20001220703125,286.29998779296875,70631009
2024-05-24,294.0823669433594,297.20001220703125,299.8999938964844,286.0,288.0,63609206
2024-05-27,291.3612365722656,294.45001220703125,303.20001220703125,289.6499938964844,301.75,49890427
2024-05-28,286.06732177734375,289.1000061035156,295.75,285.04998779296875,295.70001220703125,33893805
2024-05-29,289.0853576660156,292.1499938964844,293.95001220703125,285.0,285.3999938964844,31645904
2024-05-30,287.60107421875,290.6499938964844,296.29998779296875,289.6499938964844,293.0,42769599
2024-05-31,292.8454895019531,295.95001220703125,297.20001220703125,286.29998779296875,294.20001220703125,51397345
2024-06-03,315.3073425292969,318.6499938964844,323.0,309.29998779296875,323.0,67256146
2024-06-04,252.86927795410156,255.5500030517578,312.0,230.0500030517578,312.0,268052657
2024-06-05,257.618896484375,260.3500061035156,264.5,230.0,264.5,193487058
2024-06-06,270.7793884277344,273.6499938964844,281.5,267.0,267.0,95502477
2024-06-07,280.229248046875,283.20001220703125,284.54998779296875,268.70001220703125,274.0,60109827
2024-06-10,280.4271240234375,283.3999938964844,292.0,281.1000061035156,288.8999938964844,42363741
2024-06-11,283.1977844238281,286.20001220703125,290.5,285.3500061035156,287.0,32269277
2024-06-12,287.45263671875,290.5,293.0,286.04998779296875,287.8999938964844,33990756
2024-06-13,297.7435607910156,300.8999938964844,303.0,287.04998779296875,293.8999938964844,49511492
2024-06-14,306.352294921875,309.6000061035156,310.5,301.5,305.0,67366844
2024-06-18,314.9115295410156,318.25,321.0,312.25,313.0,64859245
2024-06-19,306.055419921875,309.29998779296875,319.8999938964844,304.1000061035156,319.8999938964844,58698689
2024-06-20,308.6281433105469,311.8999938964844,313.3500061035156,302.25,309.79998779296875,39505506
2024-06-21,301.7510681152344,304.95001220703125,314.0,304.1000061035156,312.70001220703125,37620968
2024-06-24,306.5007019042969,309.75,311.8999938964844,297.45001220703125,304.79998779296875,39139609
2024-06-25,306.45123291015625,309.70001220703125,314.95001220703125,309.20001220703125,310.8999938964844,29124110
2024-06-26,303.63116455078125,306.8500061035156,311.5,305.8500061035156,310.0,24238007
2024-06-27,301.3057861328125,304.5,308.1499938964844,301.20001220703125,306.1000061035156,39996580
2024-06-28,302.69110107421875,305.8999938964844,309.79998779296875,302.75,306.0,24256902
2024-07-01,304.4227294921875,307.6499938964844,312.5,305.8500061035156,310.95001220703125,39495237
2024-07-02,302.8890075683594,306.1000061035156,309.0,303.0,309.0,23974162
2024-07-03,311.2008972167969,314.5,315.45001220703125,305.75,307.0,44919849
2024-07-04,314.02099609375,317.3500061035156,318.5,313.04998779296875,317.3999938964844,35591681
2024-07-05,320.65069580078125,324.04998779296875,326.79998779296875,314.5,317.6499938964844,63125211
2024-07-08,331.09002685546875,334.6000061035156,335.79998779296875,325.6000061035156,328.45001220703125,70983243
2024-07-09,331.2879333496094,334.79998779296875,339.3500061035156,328.70001220703125,338.0,52225572
2024-07-10,330.3479309082031,333.8500061035156,340.5,324.1499938964844,340.0,46779965
2024-07-11,331.9805908203125,335.5,338.20001220703125,333.0,335.5,31919433
2024-07-12,329.60577392578125,333.1000061035156,337.5,328.1000061035156,336.8999938964844,24517961
2024-07-15,327.923583984375,331.3999938964844,336.04998779296875,331.0,336.0,22021426
2024-07-16,322.7286376953125,326.1499938964844,334.3999938964844,324.5,333.25,26585927
2024-07-18,310.2608642578125,313.54998779296875,326.70001220703125,312.29998779296875,326.5,48043715
2024-07-19,303.0869140625,306.29998779296875,316.8999938964844,305.0,309.8999938964844,43313606
