date_,adj close_amber.ns,close_amber.ns,high_amber.ns,low_amber.ns,open_amber.ns,volume_amber.ns
2024-01-16,3852.5,3852.5,3899.699951171875,3711.0,3750.10009765625,233400
2024-01-17,3717.0,3717.0,3826.25,3650.0,3789.0,105633
2024-01-18,3825.300048828125,3825.300048828125,3969.0,3600.0,3714.85009765625,368451
2024-01-19,3749.39990234375,3749.39990234375,3887.699951171875,3725.5,3880.050048828125,107424
2024-01-23,3663.300048828125,3663.300048828125,3875.0,3562.89990234375,3719.949951171875,194328
2024-01-24,3817.89990234375,3817.89990234375,3840.0,3600.10009765625,3658.050048828125,91123
2024-01-25,4103.14990234375,4103.14990234375,4217.9501953125,3810.10009765625,3850.449951171875,401307
2024-01-29,4390.89990234375,4390.89990234375,4444.0,4161.89990234375,4193.89990234375,508566
2024-01-30,4486.25,4486.25,4530.0,4310.10009765625,4400.0,152374
2024-01-31,4437.0498046875,4437.0498046875,4614.2001953125,4316.5498046875,4414.60009765625,259001
2024-02-01,4554.64990234375,4554.64990234375,4589.89990234375,4176.0498046875,4390.0498046875,414570
2024-02-02,4442.89990234375,4442.89990234375,4550.0,4375.0,4535.0,178706
2024-02-05,4370.9501953125,4370.9501953125,4509.9501953125,4348.0,4440.0,223640
2024-02-06,4491.5498046875,4491.5498046875,4597.5,4350.5498046875,4374.39990234375,134854
2024-02-07,4415.9501953125,4415.9501953125,4525.0,4381.0498046875,4519.89990234375,67480
2024-02-08,4230.25,4230.25,4505.0,4200.0,4505.0,80218
2024-02-09,4157.64990234375,4157.64990234375,4280.89990234375,4031.199951171875,4229.89990234375,177605
2024-02-12,3696.60009765625,3696.60009765625,3900.0,3564.800048828125,3700.0,675765
2024-02-13,3603.75,3603.75,3774.0,3388.0,3750.0,636128
2024-02-14,3859.14990234375,3859.14990234375,3899.0,3550.0,3603.75,325278
2024-02-15,3915.64990234375,3915.64990234375,3970.0,3811.39990234375,3849.89990234375,216383
2024-02-16,3964.85009765625,3964.85009765625,4075.0,3933.550048828125,3939.35009765625,162205
2024-02-19,4057.949951171875,4057.949951171875,4099.0,3902.050048828125,3999.949951171875,170664
2024-02-20,4032.60009765625,4032.60009765625,4148.0,4007.60009765625,4093.39990234375,140207
2024-02-21,3955.449951171875,3955.449951171875,4109.9501953125,3905.60009765625,4050.0,160608
2024-02-22,3888.949951171875,3888.949951171875,4053.89990234375,3863.25,3956.25,115816
2024-02-23,3881.75,3881.75,3965.550048828125,3850.0,3934.800048828125,89083
2024-02-26,3778.199951171875,3778.199951171875,3944.0,3752.300048828125,3914.449951171875,75953
2024-02-27,3732.85009765625,3732.85009765625,3828.0,3705.0,3799.0,53935
2024-02-28,3735.75,3735.75,3791.0,3627.0,3750.0,100730
2024-02-29,3682.60009765625,3682.60009765625,3738.0,3570.10009765625,3735.75,200793
2024-03-01,3586.89990234375,3586.89990234375,3705.0,3560.0,3700.0,204206
2024-03-04,3719.5,3719.5,3778.0,3563.10009765625,3664.949951171875,149786
2024-03-05,3701.050048828125,3701.050048828125,3785.0,3688.050048828125,3740.0,96452
2024-03-06,3655.800048828125,3655.800048828125,3730.85009765625,3616.0,3720.0,84768
2024-03-07,3649.550048828125,3649.550048828125,3700.0,3623.5,3655.949951171875,42973
2024-03-11,3625.550048828125,3625.550048828125,3735.89990234375,3586.0,3649.550048828125,229813
2024-03-12,3628.14990234375,3628.14990234375,3694.949951171875,3556.25,3625.0,106036
2024-03-13,3554.75,3554.75,3654.949951171875,3382.949951171875,3654.949951171875,168859
2024-03-14,3494.5,3494.5,3606.14990234375,3462.449951171875,3549.0,94444
2024-03-15,3332.64990234375,3332.64990234375,3546.800048828125,3301.0,3479.949951171875,148868
2024-03-18,3347.85009765625,3347.85009765625,3499.949951171875,3322.0,3420.0,394496
2024-03-19,3154.89990234375,3154.89990234375,3346.85009765625,3129.949951171875,3346.85009765625,328937
2024-03-20,3222.699951171875,3222.699951171875,3259.0,2992.5,3178.0,826704
2024-03-21,3406.35009765625,3406.35009765625,3430.0,3235.64990234375,3270.0,404763
2024-03-22,3552.89990234375,3552.89990234375,3608.89990234375,3437.949951171875,3445.050048828125,894897
2024-03-26,3622.800048828125,3622.800048828125,3650.0,3460.300048828125,3560.0,309319
2024-03-27,3638.449951171875,3638.449951171875,3686.949951171875,3581.0,3650.0,236738
2024-03-28,3657.699951171875,3657.699951171875,3690.0,3601.050048828125,3621.0,122986
2024-04-01,3689.14990234375,3689.14990234375,3760.0,3655.050048828125,3698.0,116770
2024-04-02,3764.60009765625,3764.60009765625,3814.800048828125,3710.25,3727.199951171875,177411
2024-04-03,3780.10009765625,3780.10009765625,3820.0,3725.10009765625,3791.35009765625,127670
2024-04-04,3756.14990234375,3756.14990234375,3850.0,3741.0,3818.64990234375,107398
2024-04-05,3750.800048828125,3750.800048828125,3863.89990234375,3707.199951171875,3750.10009765625,350533
2024-04-08,3794.10009765625,3794.10009765625,3909.89990234375,3782.699951171875,3805.0,268010
2024-04-09,3786.449951171875,3786.449951171875,3844.0,3720.0,3820.0,141350
2024-04-10,3692.14990234375,3692.14990234375,3809.89990234375,3663.0,3794.0,107426
2024-04-12,3694.14990234375,3694.14990234375,3733.949951171875,3680.0,3692.14990234375,73009
2024-04-15,3602.14990234375,3602.14990234375,3667.0,3553.25,3630.0,98217
2024-04-16,3614.10009765625,3614.10009765625,3648.0,3562.0,3570.0,81350
2024-04-18,3589.89990234375,3589.89990234375,3675.0,3577.0,3641.0,39824
2024-04-19,3646.199951171875,3646.199951171875,3677.85009765625,3502.949951171875,3520.0,93866
2024-04-22,3658.449951171875,3658.449951171875,3720.85009765625,3641.050048828125,3680.0,87537
2024-04-23,3789.300048828125,3789.300048828125,3812.64990234375,3680.949951171875,3694.64990234375,189312
2024-04-24,3788.949951171875,3788.949951171875,3847.25,3768.0,3800.0,75513
2024-04-25,3794.199951171875,3794.199951171875,3818.0,3752.35009765625,3778.0,40666
2024-04-26,3779.5,3779.5,3847.0,3761.35009765625,3806.5,57739
2024-04-29,3726.949951171875,3726.949951171875,3863.64990234375,3711.0,3780.0,57447
2024-04-30,3846.64990234375,3846.64990234375,3939.0,3752.0,3764.949951171875,387178
2024-05-02,3909.85009765625,3909.85009765625,3925.0,3868.050048828125,3894.949951171875,113852
2024-05-03,3969.0,3969.0,3980.050048828125,3885.050048828125,3928.0,202836
2024-05-06,4059.10009765625,4059.10009765625,4134.7001953125,4000.0,4019.0,237036
2024-05-07,3978.449951171875,3978.449951171875,4130.5,3913.0,4074.949951171875,182863
2024-05-08,3904.199951171875,3904.199951171875,3990.39990234375,3860.0,3978.0,113043
2024-05-09,3876.699951171875,3876.699951171875,4147.9501953125,3850.5,3939.800048828125,218535
2024-05-10,3803.25,3803.25,3910.10009765625,3781.5,3889.89990234375,65472
2024-05-13,3797.85009765625,3797.85009765625,3805.0,3668.050048828125,3805.0,85363
2024-05-14,3787.550048828125,3787.550048828125,3836.14990234375,3753.300048828125,3803.300048828125,68604
2024-05-15,3791.35009765625,3791.35009765625,3847.89990234375,3774.199951171875,3828.10009765625,39239
2024-05-16,3804.10009765625,3804.10009765625,3828.5,3769.75,3803.64990234375,80687
2024-05-17,3973.60009765625,3973.60009765625,3998.800048828125,3797.60009765625,3810.0,252168
2024-05-21,3808.199951171875,3808.199951171875,3961.0,3791.75,3950.0,193443
2024-05-22,3823.75,3823.75,3888.0,3765.550048828125,3852.10009765625,109397
2024-05-23,3824.35009765625,3824.35009765625,3866.800048828125,3810.0,3851.699951171875,37531
2024-05-24,3726.449951171875,3726.449951171875,3869.0,3702.5,3835.0,107478
