date_,adj close_j&kbank.ns,close_j&kbank.ns,high_j&kbank.ns,low_j&kbank.ns,open_j&kbank.ns,volume_j&kbank.ns
2024-01-16,131.89144897460938,137.1999969482422,138.1999969482422,131.0,133.0500030517578,8755724
2024-01-17,128.86334228515625,134.0500030517578,135.8000030517578,132.0,134.8000030517578,4311524
2024-01-18,129.58432006835938,134.8000030517578,137.35000610351562,127.69999694824219,134.0500030517578,6425021
2024-01-19,131.7953338623047,137.10000610351562,138.14999389648438,134.5,136.0,3793818
2024-01-23,122.85515594482422,127.80000305175781,142.6999969482422,126.0,136.89999389648438,16313723
2024-01-24,125.6429443359375,130.6999969482422,132.75,128.39999389648438,129.0,5726022
2024-01-25,125.49874877929688,130.5500030517578,133.60000610351562,129.60000610351562,131.9499969482422,3338371
2024-01-29,127.13297271728516,132.25,134.1999969482422,131.14999389648438,133.10000610351562,2872092
2024-01-30,125.3064956665039,130.35000610351562,133.6999969482422,129.0500030517578,132.1999969482422,3581006
2024-01-31,129.2478485107422,134.4499969482422,135.0,129.6999969482422,131.3000030517578,6408676
2024-02-01,133.7179412841797,139.10000610351562,139.89999389648438,131.25,135.9499969482422,10434169
2024-02-02,133.42953491210938,138.8000030517578,143.60000610351562,138.0,140.5,7983369
2024-02-05,139.53384399414062,145.14999389648438,151.64999389648438,136.3000030517578,139.89999389648438,19150654
2024-02-06,138.18801879882812,143.75,149.75,143.0500030517578,146.64999389648438,4802317
2024-02-07,138.18801879882812,143.75,147.9499969482422,142.3000030517578,144.75,3822289
2024-02-08,141.93711853027344,147.64999389648438,149.64999389648438,143.5,145.0,6701418
2024-02-09,138.4283447265625,144.0,152.5,140.0,148.1999969482422,7480609
2024-02-12,129.10365295410156,134.3000030517578,145.8000030517578,131.8000030517578,144.4499969482422,4895667
2024-02-13,128.86334228515625,134.0500030517578,136.6999969482422,129.0500030517578,134.0,4453797
2024-02-14,132.8046875,138.14999389648438,139.75,130.5500030517578,132.0,3164771
2024-02-15,137.7073516845703,143.25,144.3000030517578,139.35000610351562,139.39999389648438,4812886
2024-02-16,138.1399383544922,143.6999969482422,147.0,142.75,144.5,3961496
2024-02-19,138.1399383544922,143.6999969482422,147.6999969482422,142.89999389648438,143.85000610351562,3304629
2024-02-20,137.1305694580078,142.64999389648438,145.0,141.60000610351562,143.85000610351562,1848804
2024-02-21,134.00631713867188,139.39999389648438,145.1999969482422,138.39999389648438,143.3000030517578,2920678
2024-02-22,139.7261199951172,145.35000610351562,146.25,137.0,140.0,4072008
2024-02-23,137.80349731445312,143.35000610351562,149.3000030517578,141.1999969482422,144.89999389648438,5706299
2024-02-26,135.0637664794922,140.5,145.0,140.0,143.8000030517578,2672969
2024-02-27,136.1692657470703,141.64999389648438,142.60000610351562,140.10000610351562,141.1999969482422,2372274
2024-02-28,132.2279052734375,137.5500030517578,143.39999389648438,136.10000610351562,142.35000610351562,3201279
2024-02-29,137.61122131347656,143.14999389648438,143.6999969482422,137.0,138.89999389648438,6081590
2024-03-01,138.47642517089844,144.0500030517578,144.89999389648438,141.89999389648438,144.0,2831044
2024-03-04,137.80349731445312,143.35000610351562,149.6999969482422,140.1999969482422,143.89999389648438,5271832
2024-03-05,141.26419067382812,146.9499969482422,147.5500030517578,142.35000610351562,143.89999389648438,3202806
2024-03-06,132.5163116455078,137.85000610351562,148.1999969482422,137.0500030517578,147.5,6943735
2024-03-07,135.20794677734375,140.64999389648438,143.39999389648438,139.0500030517578,139.0500030517578,3514998
2024-03-11,133.09307861328125,138.4499969482422,144.5,136.5,143.0500030517578,3812837
2024-03-12,124.53744506835938,129.5500030517578,139.8000030517578,128.10000610351562,138.64999389648438,6119054
2024-03-13,115.45308685302734,120.0999984741211,131.8000030517578,118.1500015258789,130.89999389648438,7173406
2024-03-14,123.52806854248047,128.5,130.0,116.1500015258789,118.9000015258789,4963228
2024-03-15,128.38267517089844,133.5500030517578,138.35000610351562,123.30000305175781,128.5,17836584
2024-03-18,126.70039367675781,131.8000030517578,136.5500030517578,130.60000610351562,135.0,3171018
2024-03-19,126.79651641845703,131.89999389648438,132.89999389648438,130.0,131.6999969482422,1468317
2024-03-20,128.0942840576172,133.25,134.4499969482422,130.25,132.60000610351562,2086052
