date_,adj close_triveni.ns,close_triveni.ns,high_triveni.ns,low_triveni.ns,open_triveni.ns,volume_triveni.ns
2024-01-16,326.3000183105469,333.70001220703125,336.75,331.8999938964844,334.0,358414
2024-01-17,321.06866455078125,328.3500061035156,333.6000061035156,327.1000061035156,333.0,271231
2024-01-18,327.2289123535156,334.6499938964844,337.6499938964844,324.20001220703125,330.0,484027
2024-01-19,333.7803649902344,341.3500061035156,344.95001220703125,333.5,337.0,678272
2024-01-23,317.79290771484375,325.0,337.6000061035156,323.04998779296875,336.0,638127
2024-01-24,318.8685302734375,326.1000061035156,328.0,321.70001220703125,324.75,349425
2024-01-25,322.97540283203125,330.29998779296875,335.75,326.1000061035156,327.5,398557
2024-01-29,323.46429443359375,330.79998779296875,337.95001220703125,322.6000061035156,332.3500061035156,775652
2024-01-30,320.8241882324219,328.1000061035156,334.79998779296875,326.75,332.5,471347
2024-01-31,334.660400390625,342.25,345.25,330.0,330.0,1217066
2024-02-01,329.4779357910156,336.95001220703125,345.0,333.8500061035156,342.29998779296875,390733
2024-02-02,330.4068603515625,337.8999938964844,344.6499938964844,336.75,339.0,643389
2024-02-05,342.1407470703125,349.8999938964844,361.3999938964844,339.70001220703125,339.8999938964844,2084611
2024-02-06,344.82977294921875,352.6499938964844,356.0,346.70001220703125,352.5,731546
2024-02-07,354.0702209472656,362.1000061035156,368.3999938964844,352.04998779296875,355.0,2025806
2024-02-08,350.1589050292969,358.1000061035156,364.3999938964844,354.6000061035156,362.1499938964844,563283
2024-02-09,345.1580505371094,348.54998779296875,355.8999938964844,338.45001220703125,355.8999938964844,537019
2024-02-12,330.35357666015625,333.6000061035156,351.29998779296875,330.6000061035156,350.0,439555
2024-02-13,328.42254638671875,331.6499938964844,335.0,325.95001220703125,333.6000061035156,276354
2024-02-14,329.6108703613281,332.8500061035156,340.95001220703125,325.8999938964844,328.75,439225
2024-02-15,332.6806945800781,335.95001220703125,339.25,333.0,335.45001220703125,264646
2024-02-16,334.6116943359375,337.8999938964844,344.3999938964844,334.25,338.3999938964844,261486
2024-02-19,343.3755798339844,346.75,351.0,341.0,342.0,808870
2024-02-20,347.336669921875,350.75,355.45001220703125,345.04998779296875,348.75,538646
2024-02-21,347.03961181640625,350.45001220703125,354.6000061035156,347.79998779296875,353.5,434162
