date_,adj close_olectra.ns,close_olectra.ns,high_olectra.ns,low_olectra.ns,open_olectra.ns,volume_olectra.ns
2024-01-16,1670.5028076171875,1671.300048828125,1714.949951171875,1643.1500244140625,1663.4000244140625,839074
2024-01-17,1675.200439453125,1676.0,1696.6500244140625,1611.0,1658.050048828125,765323
2024-01-18,1657.8587646484375,1658.6500244140625,1679.449951171875,1550.0,1666.0,734341
2024-01-19,1666.70458984375,1667.5,1698.0,1655.0,1665.3499755859375,507130
2024-01-23,1608.08251953125,1608.8499755859375,1685.800048828125,1588.199951171875,1663.949951171875,629984
2024-01-24,1693.74169921875,1694.550048828125,1719.949951171875,1576.0,1605.0,1870980
2024-01-25,1696.9901123046875,1697.800048828125,1718.949951171875,1675.0,1700.75,829055
2024-01-29,1692.9420166015625,1693.75,1798.550048828125,1685.0,1775.0,1763522
2024-01-30,1681.34765625,1682.1500244140625,1708.5999755859375,1667.199951171875,1703.0999755859375,729006
2024-01-31,1741.218994140625,1742.050048828125,1768.449951171875,1682.550048828125,1684.4000244140625,2022249
2024-02-01,1726.7259521484375,1727.550048828125,1849.0,1713.050048828125,1751.199951171875,4510715
2024-02-02,1785.7977294921875,1786.6500244140625,1810.0,1742.25,1745.0,1951651
2024-02-05,1838.7724609375,1839.6500244140625,1923.699951171875,1787.0,1794.0,3240712
2024-02-06,1895.195556640625,1896.0999755859375,1904.949951171875,1793.800048828125,1851.0,1682676
2024-02-07,1904.8409423828125,1905.75,1948.949951171875,1870.0,1902.949951171875,1657342
2024-02-08,1878.9033203125,1879.800048828125,1915.0,1870.0,1907.0,795827
2024-02-09,1998.796142578125,1999.75,2048.0,1885.6500244140625,1889.0,6188894
2024-02-12,1945.4715576171875,1946.4000244140625,2134.0,1917.1500244140625,2018.0,4737518
2024-02-13,1994.7479248046875,1995.699951171875,2034.75,1847.050048828125,1960.0,2725970
2024-02-14,2002.9442138671875,2003.9000244140625,2036.8499755859375,1942.050048828125,1977.699951171875,1821850
2024-02-15,2009.99072265625,2010.949951171875,2079.949951171875,2000.0,2013.949951171875,1626923
2024-02-16,2005.4429931640625,2006.4000244140625,2063.25,1991.5,2021.050048828125,850508
2024-02-19,2134.081787109375,2135.10009765625,2159.949951171875,1983.699951171875,2014.800048828125,3534151
2024-02-20,2088.753173828125,2089.75,2146.800048828125,2065.699951171875,2145.800048828125,1534240
2024-02-21,2061.666015625,2062.64990234375,2138.0,2046.0,2099.0,1172123
2024-02-22,2100.49755859375,2101.5,2221.949951171875,2011.0,2090.0,6770262
2024-02-23,2033.2296142578125,2034.199951171875,2183.75,2020.0,2125.0,3749888
2024-02-26,2014.488525390625,2015.449951171875,2065.5,2002.199951171875,2046.0,1759257
2024-02-27,2023.0345458984375,2024.0,2063.60009765625,2009.0,2022.0,1214885
2024-02-28,1956.8660888671875,1957.800048828125,2034.0,1950.0,2032.0,1277862
2024-02-29,1965.8118896484375,1966.75,1978.0,1908.25,1958.0,1207114
2024-03-01,1961.4638671875,1962.4000244140625,2011.5,1954.0,1978.0,742242
2024-03-04,1947.9703369140625,1948.9000244140625,1994.699951171875,1932.5999755859375,1976.75,777483
2024-03-05,1936.57568359375,1937.5,1969.550048828125,1931.0,1951.0,582835
2024-03-06,1862.56103515625,1863.449951171875,1941.5,1852.0,1939.0,1058599
2024-03-07,1896.494873046875,1897.4000244140625,1929.0,1868.300048828125,1873.949951171875,711890
2024-03-11,1836.3736572265625,1837.25,1903.5,1826.0,1903.5,541006
2024-03-12,1743.86767578125,1744.699951171875,1842.199951171875,1730.1500244140625,1837.0999755859375,1414392
2024-03-13,1589.29150390625,1590.050048828125,1800.0,1561.0,1745.4000244140625,2391739
2024-03-14,1789.94580078125,1790.800048828125,1828.5,1560.0999755859375,1582.949951171875,5235862
2024-03-15,1747.915771484375,1748.75,1790.6500244140625,1687.0,1725.0,3188227
2024-03-18,1713.582275390625,1714.4000244140625,1784.6500244140625,1705.0,1730.0,1163382
2024-03-19,1708.83447265625,1709.6500244140625,1749.0,1685.0,1719.0,1461623
2024-03-20,1688.294189453125,1689.0999755859375,1749.0,1680.0,1716.800048828125,1079583
2024-03-21,1771.1546630859375,1772.0,1793.9000244140625,1718.6500244140625,1720.0,1939813
2024-03-22,1784.7982177734375,1785.6500244140625,1803.75,1755.1500244140625,1769.0,1127037
2024-03-26,1763.2086181640625,1764.050048828125,1808.0,1758.1500244140625,1784.050048828125,662679
2024-03-27,1924.3316650390625,1925.25,1945.0,1770.0,1772.0,4194617
2024-03-28,1887.649169921875,1888.550048828125,1964.6500244140625,1860.0,1940.0,1949123
2024-04-01,1914.0364990234375,1914.949951171875,1949.0,1900.949951171875,1900.949951171875,896425
2024-04-02,1910.8880615234375,1911.800048828125,1937.5999755859375,1896.699951171875,1924.0,654305
2024-04-03,1919.73388671875,1920.6500244140625,1958.699951171875,1906.25,1912.0,717360
2024-04-04,1919.4339599609375,1920.3499755859375,2011.75,1907.199951171875,1930.75,1978831
2024-04-05,1919.8837890625,1920.800048828125,1944.8499755859375,1897.050048828125,1925.8499755859375,782045
2024-04-08,1864.81005859375,1865.699951171875,1934.699951171875,1849.0999755859375,1925.0,1181990
2024-04-09,1868.0084228515625,1868.9000244140625,1907.800048828125,1850.0,1880.0,675667
2024-04-10,1849.6173095703125,1850.5,1878.199951171875,1830.0,1878.0,654317
2024-04-12,1825.178955078125,1826.050048828125,1873.9000244140625,1815.0,1842.550048828125,558777
