date_,adj close_bandhanbnk.ns,close_bandhanbnk.ns,high_bandhanbnk.ns,low_bandhanbnk.ns,open_bandhanbnk.ns,volume_bandhanbnk.ns
2024-01-16,225.9370880126953,229.75,233.60000610351562,228.1999969482422,231.0,7421276
2024-01-17,224.5111541748047,228.3000030517578,229.35000610351562,223.25,227.14999389648438,17410957
2024-01-18,223.82278442382812,227.60000610351562,230.85000610351562,224.10000610351562,227.5,9142872
2024-01-19,222.4459991455078,226.1999969482422,231.1999969482422,225.64999389648438,229.6999969482422,7131175
2024-01-23,219.98748779296875,223.6999969482422,232.1999969482422,222.1999969482422,231.5,12418558
2024-01-24,220.67587280273438,224.39999389648438,226.6999969482422,220.25,224.0,11443782
2024-01-25,217.28314208984375,220.9499969482422,226.89999389648438,219.14999389648438,225.0,14015556
2024-01-29,219.59414672851562,223.3000030517578,226.6999969482422,222.14999389648438,224.0,10212834
2024-01-30,219.7416534423828,223.4499969482422,227.0,223.0,225.39999389648438,5249061
2024-01-31,225.1995391845703,229.0,229.4499969482422,223.10000610351562,224.0500030517578,10725612
2024-02-01,221.90513610839844,225.64999389648438,229.9499969482422,223.5,229.0,8822484
2024-02-02,225.1011962890625,228.89999389648438,232.64999389648438,226.9499969482422,227.8000030517578,11107260
2024-02-05,218.9549102783203,222.64999389648438,228.89999389648438,222.0,228.89999389648438,12335899
2024-02-06,214.77545166015625,218.39999389648438,223.4499969482422,217.35000610351562,222.64999389648438,10097377
2024-02-07,212.6611328125,216.25,222.35000610351562,215.64999389648438,221.0,11866424
2024-02-08,210.59597778320312,214.14999389648438,219.89999389648438,213.10000610351562,218.5,10703085
2024-02-09,212.61196899414062,216.1999969482422,216.85000610351562,211.3000030517578,216.0,10253080
2024-02-12,197.36920166015625,200.6999969482422,223.4499969482422,197.6999969482422,223.0,50949423
2024-02-13,195.74658203125,199.0500030517578,202.3000030517578,192.8000030517578,200.6999969482422,16732636
2024-02-14,194.95986938476562,198.25,201.25,193.3000030517578,197.25,13071425
2024-02-15,194.07479858398438,197.35000610351562,199.75,196.64999389648438,198.25,9702536
2024-02-16,197.46754455566406,200.8000030517578,204.6999969482422,197.6999969482422,199.6999969482422,13265466
2024-02-19,200.36859130859375,203.75,205.5,203.25,204.5,7998816
2024-02-20,199.3360137939453,202.6999969482422,205.3000030517578,202.10000610351562,204.9499969482422,5133872
2024-02-21,197.22171020507812,200.5500030517578,204.14999389648438,199.75,203.89999389648438,7362611
2024-02-22,200.27023315429688,203.64999389648438,204.14999389648438,198.3000030517578,201.39999389648438,6594640
2024-02-23,204.7938995361328,208.25,209.35000610351562,204.4499969482422,204.9499969482422,13607467
2024-02-26,199.2376708984375,202.60000610351562,209.1999969482422,199.6999969482422,209.1999969482422,26710009
2024-02-27,197.81173706054688,201.14999389648438,204.35000610351562,200.75,203.0500030517578,8341347
2024-02-28,193.38641357421875,196.64999389648438,202.1999969482422,195.89999389648438,201.1999969482422,9979111
2024-02-29,192.35385131835938,195.60000610351562,197.64999389648438,193.10000610351562,196.64999389648438,19407356
2024-03-01,196.5333251953125,199.85000610351562,200.5,196.5,197.5,7821881
2024-03-04,195.69741821289062,199.0,201.6999969482422,198.4499969482422,201.10000610351562,7532396
2024-03-05,194.6648406982422,197.9499969482422,201.64999389648438,197.4499969482422,199.89999389648438,8212814
2024-03-06,191.66546630859375,194.89999389648438,198.4499969482422,193.85000610351562,198.0,14535779
2024-03-07,191.81298828125,195.0500030517578,197.35000610351562,194.5500030517578,196.6999969482422,5189243
2024-03-11,188.61691284179688,191.8000030517578,196.14999389648438,190.0500030517578,196.0,16936507
2024-03-12,185.568359375,188.6999969482422,192.89999389648438,188.14999389648438,192.14999389648438,9664742
2024-03-13,175.7342987060547,178.6999969482422,189.9499969482422,176.85000610351562,189.3000030517578,18229091
2024-03-14,176.66854858398438,179.64999389648438,183.14999389648438,173.14999389648438,178.6999969482422,16837953
2024-03-15,180.11044311523438,183.14999389648438,186.0,179.10000610351562,180.5,12223804
2024-03-18,178.34033203125,181.35000610351562,186.14999389648438,180.8000030517578,185.0,8657646
2024-03-19,177.45526123046875,180.4499969482422,182.75,179.3000030517578,181.85000610351562,7297535
2024-03-20,174.8984375,177.85000610351562,181.89999389648438,177.0500030517578,181.5,11378108
2024-03-21,177.45526123046875,180.4499969482422,182.0,179.39999389648438,180.0,9616624
2024-03-22,178.73370361328125,181.75,182.85000610351562,180.4499969482422,181.0,14713576
2024-03-26,178.73370361328125,181.75,183.75,180.1999969482422,181.35000610351562,11903481
2024-03-27,177.8486328125,180.85000610351562,183.5,179.5500030517578,182.1999969482422,19522292
2024-03-28,177.0127410888672,180.0,182.0,179.4499969482422,181.3000030517578,13334606
2024-04-01,184.7324676513672,187.85000610351562,188.5,181.75,182.75,10421068
