date_,adj close_asianpaint.ns,close_asianpaint.ns,high_asianpaint.ns,low_asianpaint.ns,open_asianpaint.ns,volume_asianpaint.ns
2024-01-16,3224.885986328125,3296.89990234375,3320.0,3273.89990234375,3274.949951171875,748215
2024-01-17,3171.478759765625,3242.300048828125,3304.35009765625,3193.050048828125,3294.10009765625,2239241
2024-01-18,3094.742431640625,3163.85009765625,3257.949951171875,3048.60009765625,3257.949951171875,1979174
2024-01-19,3096.698974609375,3165.85009765625,3201.550048828125,3148.60009765625,3177.800048828125,936201
2024-01-23,2987.9765625,3054.699951171875,3109.0,3021.550048828125,3087.550048828125,2365225
2024-01-24,2933.933349609375,2999.449951171875,3055.0,2976.10009765625,3055.0,2665932
2024-01-25,2884.78076171875,2949.199951171875,3016.0,2942.300048828125,3010.050048828125,2001961
2024-01-29,2911.044189453125,2976.050048828125,2988.449951171875,2940.050048828125,2940.050048828125,1862723
2024-01-30,2889.57421875,2954.10009765625,3005.0,2951.050048828125,2990.0,1273188
2024-01-31,2893.241943359375,2957.85009765625,2971.89990234375,2948.050048828125,2966.0,1771244
2024-02-01,2865.364501953125,2929.35009765625,2972.85009765625,2919.949951171875,2961.0,3006472
2024-02-02,2872.162841796875,2936.300048828125,2962.35009765625,2924.050048828125,2950.0,1881911
2024-02-05,2853.62646484375,2917.35009765625,2965.0,2912.0,2950.0,923435
2024-02-06,2866.9296875,2930.949951171875,2947.0,2902.64990234375,2931.0,1471312
2024-02-07,2916.03271484375,2981.14990234375,3002.949951171875,2936.050048828125,2957.0,1134012
2024-02-08,2865.609130859375,2929.60009765625,2999.75,2919.800048828125,2999.75,1633654
2024-02-09,2887.17724609375,2951.64990234375,2959.0,2910.550048828125,2930.0,1144765
2024-02-12,2889.28076171875,2953.800048828125,2964.949951171875,2920.050048828125,2951.64990234375,614469
2024-02-13,2906.69189453125,2971.60009765625,2981.25,2945.699951171875,2964.949951171875,717118
2024-02-14,2911.386962890625,2976.39990234375,2980.800048828125,2936.050048828125,2969.89990234375,750339
2024-02-15,2950.659912109375,3016.550048828125,3024.5,2967.449951171875,2980.0,1068730
2024-02-16,2942.198486328125,3007.89990234375,3035.0,3000.0,3035.0,1179473
2024-02-19,2932.613037109375,2998.10009765625,3018.699951171875,2987.5,3007.89990234375,560700
2024-02-20,2945.86669921875,3011.64990234375,3017.10009765625,2972.10009765625,2998.10009765625,729371
2024-02-21,2936.232177734375,3001.800048828125,3026.75,2983.5,3012.050048828125,927130
2024-02-22,2951.490966796875,3017.39990234375,3027.199951171875,2932.10009765625,2983.0,2615821
2024-02-23,2920.72802734375,2985.949951171875,3005.0,2966.199951171875,2999.0,1650523
2024-02-26,2805.794677734375,2868.449951171875,2930.0,2847.800048828125,2920.0,3524491
2024-02-27,2797.089111328125,2859.550048828125,2870.0,2850.10009765625,2855.0,1296180
2024-02-28,2733.313232421875,2794.35009765625,2859.39990234375,2785.5,2850.14990234375,2472196
2024-02-29,2760.261474609375,2821.89990234375,2838.0,2776.75,2785.0,2284424
2024-03-01,2769.896240234375,2831.75,2845.949951171875,2815.050048828125,2832.89990234375,978174
2024-03-04,2769.896240234375,2831.75,2860.949951171875,2828.0,2860.0,971299
2024-03-05,2758.794189453125,2820.39990234375,2834.85009765625,2805.0,2834.0,736381
2024-03-06,2765.543701171875,2827.300048828125,2839.0,2777.75,2827.949951171875,1723066
2024-03-07,2807.848876953125,2870.550048828125,2894.0,2825.0,2825.0,1564364
2024-03-11,2814.01123046875,2876.85009765625,2896.550048828125,2853.10009765625,2895.550048828125,866546
2024-03-12,2813.326416015625,2876.14990234375,2899.89990234375,2865.449951171875,2880.0,663186
2024-03-13,2797.676025390625,2860.14990234375,2887.25,2835.0,2878.60009765625,955841
2024-03-14,2829.074951171875,2892.25,2898.050048828125,2841.0,2860.0,1381741
2024-03-15,2804.914306640625,2867.550048828125,2896.949951171875,2850.0,2895.0,1356226
2024-03-18,2784.32421875,2846.5,2866.0,2817.25,2866.0,940424
2024-03-19,2753.610107421875,2815.10009765625,2840.0,2801.0,2840.0,1199135
2024-03-20,2763.19580078125,2824.89990234375,2837.050048828125,2797.550048828125,2815.10009765625,818910
2024-03-21,2759.527587890625,2821.14990234375,2845.39990234375,2806.0,2845.0,1167680
2024-03-22,2779.433349609375,2841.5,2855.14990234375,2808.0,2821.14990234375,1652689
2024-03-26,2753.169921875,2814.64990234375,2844.14990234375,2810.0,2820.0,1372390
2024-03-27,2768.673583984375,2830.5,2842.85009765625,2817.699951171875,2817.949951171875,1156231
2024-03-28,2784.56884765625,2846.75,2868.0,2819.0,2835.050048828125,1864623
2024-04-01,2808.2890625,2871.0,2886.449951171875,2852.35009765625,2860.949951171875,558086
2024-04-02,2811.419189453125,2874.199951171875,2892.39990234375,2856.0,2874.050048828125,562473
2024-04-03,2806.67529296875,2869.35009765625,2884.550048828125,2845.0,2845.0,816676
2024-04-04,2854.555908203125,2918.300048828125,2943.25,2851.25,2870.0,1831347
2024-04-05,2820.467041015625,2883.449951171875,2927.75,2880.0,2924.0,1155672
2024-04-08,2828.830322265625,2892.0,2908.949951171875,2873.800048828125,2908.0,570695
2024-04-09,2794.741455078125,2857.14990234375,2916.449951171875,2845.0,2893.0,1017670
2024-04-10,2833.4765625,2896.75,2899.10009765625,2858.0,2883.300048828125,740495
2024-04-12,2792.1494140625,2854.5,2893.0,2845.0,2890.0,1766311
2024-04-15,2782.27001953125,2844.39990234375,2853.5,2812.35009765625,2830.199951171875,884519
2024-04-16,2768.1845703125,2830.0,2841.449951171875,2820.0,2827.64990234375,911249
2024-04-18,2746.37158203125,2807.699951171875,2859.199951171875,2800.10009765625,2855.0,1732434
2024-04-19,2747.202880859375,2808.550048828125,2822.10009765625,2766.14990234375,2790.0,1337807
2024-04-22,2779.77587890625,2841.85009765625,2846.60009765625,2814.050048828125,2846.60009765625,676040
2024-04-23,2812.10400390625,2874.89990234375,2877.949951171875,2844.0,2852.0,929062
2024-04-24,2805.110107421875,2867.75,2883.10009765625,2860.0,2882.949951171875,718441
2024-04-25,2798.94775390625,2861.449951171875,2869.89990234375,2829.050048828125,2865.0,1594152
2024-04-26,2782.025390625,2844.14990234375,2878.199951171875,2837.050048828125,2870.0,625507
2024-04-29,2805.55029296875,2868.199951171875,2873.949951171875,2839.0,2844.14990234375,566219
2024-04-30,2813.081787109375,2875.89990234375,2912.0,2855.0,2855.0,1290649
2024-05-02,2910.40869140625,2975.39990234375,2988.0,2875.10009765625,2875.10009765625,2493406
2024-05-03,2865.755859375,2929.75,2997.0,2909.25,2983.050048828125,1594445
2024-05-06,2868.103515625,2932.14990234375,2959.0,2911.199951171875,2950.0,768806
2024-05-07,2849.37158203125,2913.0,2967.949951171875,2904.0,2947.0,629534
2024-05-08,2781.1943359375,2843.300048828125,2905.0,2821.0,2900.0,1652877
