date_,adj close_sumichem.ns,close_sumichem.ns,high_sumichem.ns,low_sumichem.ns,open_sumichem.ns,volume_sumichem.ns
2024-01-16,396.86676025390625,403.70001220703125,407.8999938964844,402.6499938964844,404.8500061035156,406015
2024-01-17,393.13104248046875,399.8999938964844,404.0,399.20001220703125,403.6499938964844,359229
2024-01-18,393.2293395996094,400.0,403.5,394.6000061035156,399.8999938964844,334564
2024-01-19,395.9819641113281,402.79998779296875,407.5,401.0,401.6000061035156,250607
2024-01-23,389.5428466796875,396.25,406.25,392.8500061035156,405.0,216370
2024-01-24,391.4106750488281,398.1499938964844,400.6000061035156,391.3500061035156,395.0,148650
2024-01-25,387.5275573730469,394.20001220703125,401.0,393.0,399.3500061035156,115214
2024-01-29,389.8869323730469,396.6000061035156,399.95001220703125,394.0,395.0,205549
2024-01-30,388.1665344238281,394.8500061035156,401.45001220703125,393.0,398.6000061035156,274426
2024-01-31,408.5653076171875,415.6000061035156,417.5,394.6000061035156,395.04998779296875,1099531
2024-02-01,395.93280029296875,402.75,414.25,400.0,413.1000061035156,419560
2024-02-02,393.27850341796875,400.04998779296875,401.20001220703125,393.54998779296875,400.0,476408
2024-02-05,389.9360656738281,396.6499938964844,405.70001220703125,395.04998779296875,400.8500061035156,296946
2024-02-06,389.7394714355469,396.45001220703125,402.3999938964844,394.0,397.8500061035156,238541
2024-02-07,383.7427062988281,390.3500061035156,399.95001220703125,388.25,398.8999938964844,310834
2024-02-08,383.5461120605469,390.1499938964844,393.8500061035156,382.8500061035156,393.8500061035156,245954
2024-02-09,376.46795654296875,382.95001220703125,391.0,380.79998779296875,390.1499938964844,181382
2024-02-12,372.8305969238281,379.25,384.95001220703125,378.6499938964844,381.8999938964844,173222
2024-02-13,373.2729797363281,379.70001220703125,384.0,375.0,380.0,185571
2024-02-14,374.1197204589844,375.54998779296875,381.54998779296875,370.0,375.1499938964844,272544
2024-02-15,376.3611755371094,377.79998779296875,383.25,374.6000061035156,380.0,240505
2024-02-16,376.7098083496094,378.1499938964844,383.1000061035156,374.79998779296875,381.0,230717
2024-02-19,376.6101989746094,378.04998779296875,380.3500061035156,374.70001220703125,378.1499938964844,237063
2024-02-20,376.3611755371094,377.79998779296875,380.5,375.0,375.0,151745
2024-02-21,373.7710876464844,375.20001220703125,379.95001220703125,375.0,379.8999938964844,201080
2024-02-22,374.5680236816406,376.0,378.25,372.20001220703125,378.0,78123
2024-02-23,383.2348937988281,384.70001220703125,395.0,375.0,377.1000061035156,525144
2024-02-26,383.1850891113281,384.6499938964844,385.25,380.5,384.70001220703125,245399
2024-02-27,381.4915771484375,382.95001220703125,387.8999938964844,381.25,386.79998779296875,191894
2024-02-28,372.97412109375,374.3999938964844,383.6000061035156,373.0,382.95001220703125,374451
2024-02-29,372.72503662109375,374.1499938964844,376.8500061035156,372.29998779296875,374.04998779296875,171130
2024-03-01,373.17333984375,374.6000061035156,376.8500061035156,373.5,375.6499938964844,147212
2024-03-04,369.93572998046875,371.3500061035156,378.25,370.5,377.95001220703125,266116
2024-03-05,369.3380126953125,370.75,374.0,370.1000061035156,371.0,169747
2024-03-06,360.22283935546875,361.6000061035156,372.75,358.54998779296875,372.75,445252
2024-03-07,358.72857666015625,360.1000061035156,369.0,359.25,365.70001220703125,323120
2024-03-11,351.9544677734375,353.29998779296875,360.8500061035156,351.95001220703125,360.1499938964844,610054
