date_,adj close_shriramfin.ns,close_shriramfin.ns,high_shriramfin.ns,low_shriramfin.ns,open_shriramfin.ns,volume_shriramfin.ns
2024-01-16,447.5240783691406,461.94000244140625,466.989990234375,459.010009765625,465.0,6647950
2024-01-17,443.3194885253906,457.6000061035156,463.57000732421875,448.0,458.79998779296875,5308645
2024-01-18,437.0029296875,451.0799865722656,457.4599914550781,439.30999755859375,454.20001220703125,7883550
2024-01-19,446.0030517578125,460.3699951171875,464.3900146484375,454.20001220703125,454.20001220703125,5296785
2024-01-23,441.6725158691406,455.8999938964844,462.7900085449219,449.5199890136719,457.4100036621094,10999270
2024-01-24,446.1192932128906,460.489990234375,463.0,441.9100036621094,446.7699890136719,8501730
2024-01-25,447.02996826171875,461.42999267578125,470.5899963378906,458.3999938964844,463.55999755859375,5327820
2024-01-29,466.7642517089844,481.79998779296875,488.3999938964844,460.42999267578125,486.3999938964844,17895075
2024-01-30,475.2799072265625,490.5899963378906,499.30999755859375,481.79998779296875,481.79998779296875,14238795
2024-01-31,477.9634704589844,493.3599853515625,495.9200134277344,480.1000061035156,490.0,9573360
2024-02-01,464.4779052734375,479.44000244140625,487.7900085449219,477.7200012207031,482.20001220703125,10601720
2024-02-02,466.0861511230469,481.1000061035156,484.2300109863281,477.1199951171875,479.5,4405185
2024-02-05,456.708251953125,471.4200134277344,486.4800109863281,469.44000244140625,483.79998779296875,1993400
2024-02-06,466.3109130859375,479.2900085449219,480.7799987792969,464.7300109863281,472.0,7511415
2024-02-07,469.6577453613281,482.7300109863281,491.8299865722656,479.2900085449219,479.5899963378906,5230250
2024-02-08,456.8735656738281,469.5899963378906,485.0,468.1600036621094,485.0,4430985
2024-02-09,454.1785888671875,466.82000732421875,470.80999755859375,458.29998779296875,469.5899963378906,2903050
2024-02-12,440.1977233886719,452.45001220703125,470.5899963378906,450.9700012207031,467.0,2845040
2024-02-13,453.5072937011719,466.1300048828125,468.70001220703125,447.04998779296875,453.3999938964844,8984610
2024-02-14,465.6979675292969,478.6600036621094,480.9200134277344,456.0400085449219,457.0,3686385
2024-02-15,474.31805419921875,487.5199890136719,492.67999267578125,482.3999938964844,487.44000244140625,5721585
2024-02-16,476.6141357421875,489.8800048828125,491.9599914550781,486.7699890136719,488.0,4596560
