date_,adj close_adaniports.ns,close_adaniports.ns,high_adaniports.ns,low_adaniports.ns,open_adaniports.ns,volume_adaniports.ns
2024-01-16,1182.498779296875,1193.3499755859375,1212.0,1186.800048828125,1203.5999755859375,3173587
2024-01-17,1156.2396240234375,1166.8499755859375,1204.699951171875,1159.449951171875,1180.0,5268593
2024-01-18,1143.55615234375,1154.050048828125,1184.300048828125,1143.449951171875,1171.050048828125,5918594
2024-01-19,1141.9705810546875,1152.449951171875,1166.800048828125,1150.0,1162.25,2732559
2024-01-23,1126.7601318359375,1137.0999755859375,1207.199951171875,1130.25,1199.1500244140625,7201014
2024-01-24,1110.4102783203125,1120.5999755859375,1146.75,1118.3499755859375,1138.0,18373913
2024-01-25,1135.8765869140625,1146.300048828125,1155.75,1111.5999755859375,1122.1500244140625,4305042
2024-01-29,1185.768798828125,1196.6500244140625,1204.9000244140625,1151.0,1155.0,6768033
2024-01-30,1176.5533447265625,1187.3499755859375,1217.199951171875,1181.0,1200.0,4683729
2024-01-31,1196.668701171875,1207.6500244140625,1214.25,1191.6500244140625,1195.800048828125,5510242
2024-02-01,1207.766845703125,1218.8499755859375,1239.5,1200.300048828125,1213.5999755859375,7433628
2024-02-02,1249.9793701171875,1261.449951171875,1287.5,1231.699951171875,1233.050048828125,10450227
2024-02-05,1247.10595703125,1258.550048828125,1291.25,1248.8499755859375,1269.5,5611298
2024-02-06,1261.5235595703125,1273.0999755859375,1284.5999755859375,1248.8499755859375,1266.0,4408002
2024-02-07,1244.232177734375,1255.6500244140625,1286.3499755859375,1252.1500244140625,1280.0,3359763
2024-02-08,1233.877197265625,1245.199951171875,1264.5,1236.75,1264.050048828125,3354609
2024-02-09,1259.9381103515625,1271.5,1275.5,1232.0999755859375,1252.5999755859375,3538164
2024-02-12,1237.989501953125,1249.3499755859375,1279.75,1243.9000244140625,1278.0,2204823
2024-02-13,1253.299072265625,1264.800048828125,1271.0,1226.6500244140625,1249.949951171875,2245009
2024-02-14,1256.3212890625,1267.8499755859375,1281.550048828125,1248.6500244140625,1261.949951171875,3382943
2024-02-15,1255.528564453125,1267.050048828125,1277.550048828125,1262.0999755859375,1275.0,3382824
2024-02-16,1294.966552734375,1306.8499755859375,1311.0,1265.550048828125,1269.800048828125,5476230
2024-02-19,1295.115234375,1307.0,1327.0,1302.1500244140625,1313.4000244140625,2700240
2024-02-20,1288.6744384765625,1300.5,1312.9000244140625,1293.699951171875,1311.0,1856718
2024-02-21,1279.2607421875,1291.0,1315.0,1281.449951171875,1304.800048828125,2770510
2024-02-22,1299.029296875,1310.949951171875,1317.0,1281.0,1296.0,2556009
2024-02-23,1308.690673828125,1320.699951171875,1332.0,1298.0,1312.050048828125,2924829
2024-02-26,1325.9820556640625,1338.1500244140625,1343.0,1316.75,1320.0,2802425
2024-02-27,1317.361083984375,1329.449951171875,1339.199951171875,1314.25,1336.8499755859375,2197456
2024-02-28,1287.68359375,1299.5,1334.9000244140625,1295.1500244140625,1334.5,2121625
2024-02-29,1308.4925537109375,1320.5,1329.9000244140625,1293.050048828125,1300.0,2672239
2024-03-01,1310.0780029296875,1322.0999755859375,1349.0,1312.4000244140625,1335.0,3301090
2024-03-04,1330.3914794921875,1342.5999755859375,1356.550048828125,1336.4000244140625,1345.25,2170214
2024-03-05,1326.1307373046875,1338.300048828125,1354.949951171875,1334.0,1344.050048828125,1815438
2024-03-06,1312.75341796875,1324.800048828125,1344.5999755859375,1304.0,1342.699951171875,2758443
2024-03-07,1313.3974609375,1325.449951171875,1335.3499755859375,1315.0,1329.800048828125,1640786
2024-03-11,1314.8839111328125,1326.949951171875,1342.3499755859375,1322.050048828125,1331.0,2217673
2024-03-12,1289.46728515625,1301.300048828125,1346.949951171875,1293.449951171875,1335.0,3139768
2024-03-13,1198.551513671875,1209.550048828125,1308.0,1188.0999755859375,1307.0,8670336
2024-03-14,1256.3212890625,1267.8499755859375,1276.0,1195.699951171875,1210.0,7195603
2024-03-15,1271.33349609375,1283.0,1288.8499755859375,1256.6500244140625,1273.800048828125,4024586
