date_,adj close_jbchepharm.ns,close_jbchepharm.ns,high_jbchepharm.ns,low_jbchepharm.ns,open_jbchepharm.ns,volume_jbchepharm.ns
2024-01-16,1633.1551513671875,1658.9000244140625,1673.8499755859375,1633.5,1670.0,99833
2024-01-17,1618.289306640625,1643.800048828125,1660.4000244140625,1631.550048828125,1648.5,91568
2024-01-18,1570.246826171875,1595.0,1661.75,1551.300048828125,1657.699951171875,124953
2024-01-19,1592.052978515625,1617.1500244140625,1647.0999755859375,1602.9000244140625,1604.4000244140625,75105
2024-01-23,1632.4658203125,1658.199951171875,1669.0,1616.199951171875,1617.199951171875,133259
2024-01-24,1667.513427734375,1693.800048828125,1705.0,1658.25,1666.4000244140625,174394
2024-01-25,1669.18701171875,1695.5,1702.300048828125,1660.0,1694.3499755859375,97074
2024-01-29,1668.5963134765625,1694.9000244140625,1741.550048828125,1673.0,1703.949951171875,204542
2024-01-30,1625.47607421875,1651.0999755859375,1700.75,1635.0,1694.0,58827
2024-01-31,1657.8162841796875,1683.949951171875,1695.300048828125,1631.0999755859375,1651.0999755859375,70895
2024-02-01,1659.194580078125,1685.3499755859375,1694.949951171875,1663.050048828125,1663.050048828125,27674
2024-02-02,1662.1480712890625,1688.3499755859375,1698.949951171875,1659.3499755859375,1684.949951171875,65040
2024-02-05,1681.8868408203125,1708.4000244140625,1715.949951171875,1687.050048828125,1687.050048828125,117851
2024-02-06,1698.4752197265625,1725.25,1741.800048828125,1692.550048828125,1718.9000244140625,163384
2024-02-07,1772.01611328125,1799.949951171875,1940.0,1712.0,1747.0,2167286
2024-02-08,1737.80517578125,1765.199951171875,1797.75,1748.0,1780.0,191133
2024-02-09,1698.967529296875,1725.75,1754.050048828125,1695.050048828125,1754.050048828125,153180
2024-02-12,1654.5675048828125,1680.6500244140625,1729.9000244140625,1672.0,1725.75,90320
2024-02-13,1638.7666015625,1664.5999755859375,1696.0,1651.550048828125,1696.0,124610
2024-02-14,1649.98974609375,1676.0,1701.0,1655.0,1665.0,65058
2024-02-15,1638.4713134765625,1664.300048828125,1691.25,1654.0,1680.0,45132
2024-02-16,1634.8660888671875,1655.1500244140625,1700.0,1632.5999755859375,1664.949951171875,159345
2024-02-19,1633.483154296875,1653.75,1672.449951171875,1643.3499755859375,1656.0,100626
2024-02-20,1628.7418212890625,1648.949951171875,1662.0,1629.949951171875,1654.949951171875,123190
2024-02-21,1652.7442626953125,1673.25,1675.0,1658.0999755859375,1664.6500244140625,141062
2024-02-22,1636.545166015625,1656.8499755859375,1699.0,1647.0,1680.0,60171
2024-02-23,1626.0750732421875,1646.25,1674.949951171875,1626.550048828125,1656.8499755859375,89909
2024-02-26,1627.1121826171875,1647.300048828125,1653.949951171875,1608.5999755859375,1631.0,92616
2024-02-27,1623.6551513671875,1643.800048828125,1676.949951171875,1635.0,1650.0,57405
2024-02-28,1580.58935546875,1600.199951171875,1648.949951171875,1584.0,1643.800048828125,188054
2024-02-29,1542.7093505859375,1561.8499755859375,1595.0,1480.0,1595.0,923411
2024-03-01,1512.6326904296875,1531.4000244140625,1591.8499755859375,1515.0,1548.0,112417
2024-03-04,1548.24072265625,1567.449951171875,1579.449951171875,1509.050048828125,1520.0,134257
2024-03-05,1549.5247802734375,1568.75,1580.0,1549.949951171875,1567.0,83176
2024-03-06,1567.6993408203125,1587.1500244140625,1598.9000244140625,1567.0,1570.449951171875,183733
2024-03-07,1568.5389404296875,1588.0,1598.949951171875,1565.050048828125,1585.050048828125,43586
2024-03-11,1555.1055908203125,1574.4000244140625,1598.8499755859375,1568.699951171875,1598.8499755859375,66409
2024-03-12,1563.8966064453125,1583.300048828125,1588.949951171875,1538.199951171875,1579.0,301624
2024-03-13,1532.5357666015625,1551.550048828125,1586.8499755859375,1548.0,1581.5999755859375,160222
2024-03-14,1530.313232421875,1549.300048828125,1555.0,1513.800048828125,1550.949951171875,82299
2024-03-15,1531.0540771484375,1550.050048828125,1567.9000244140625,1543.050048828125,1549.300048828125,74312
2024-03-18,1591.257080078125,1611.0,1625.0,1532.0,1564.25,148866
2024-03-19,1565.4769287109375,1584.9000244140625,1625.699951171875,1575.8499755859375,1625.699951171875,191737
2024-03-20,1567.64990234375,1587.0999755859375,1591.9000244140625,1550.0999755859375,1591.9000244140625,180707
2024-03-21,1599.3564453125,1619.199951171875,1625.0,1576.5999755859375,1595.050048828125,169047
2024-03-22,1604.7890625,1624.699951171875,1636.0,1588.199951171875,1627.0,75585
2024-03-26,1596.19580078125,1616.0,1640.0,1557.050048828125,1624.699951171875,165067
2024-03-27,1622.76611328125,1642.9000244140625,1660.0,1611.0,1631.0,239628
2024-03-28,1630.17431640625,1650.4000244140625,1694.699951171875,1643.449951171875,1651.1500244140625,147335
2024-04-01,1674.7708740234375,1695.550048828125,1714.0,1651.1500244140625,1656.0,95372
2024-04-02,1654.1763916015625,1674.699951171875,1703.0,1661.0,1689.949951171875,70428
2024-04-03,1663.65869140625,1684.300048828125,1690.0999755859375,1659.050048828125,1669.8499755859375,42891
2024-04-04,1682.1790771484375,1703.050048828125,1705.0,1675.0,1684.25,99335
2024-04-05,1695.2666015625,1716.300048828125,1726.0,1698.949951171875,1700.0,151310
2024-04-08,1688.4017333984375,1709.3499755859375,1724.9000244140625,1695.5999755859375,1716.3499755859375,56961
2024-04-09,1708.403564453125,1729.5999755859375,1740.0,1705.449951171875,1718.0,439986
2024-04-10,1736.7518310546875,1758.300048828125,1769.9000244140625,1730.0,1730.0,240629
2024-04-12,1777.743408203125,1799.800048828125,1810.0,1736.0,1759.949951171875,461812
2024-04-15,1780.3114013671875,1802.4000244140625,1840.0,1777.199951171875,1798.0,378533
2024-04-16,1772.8046875,1794.800048828125,1816.050048828125,1785.0,1795.0,73678
2024-04-18,1775.767822265625,1797.800048828125,1804.0,1770.0,1790.0,374875
2024-04-19,1757.790771484375,1779.5999755859375,1798.0,1770.3499755859375,1795.0,202911
2024-04-22,1766.03857421875,1787.949951171875,1810.300048828125,1778.0,1780.0,212672
2024-04-23,1762.33447265625,1784.199951171875,1820.0,1768.25,1787.949951171875,113740
2024-04-24,1802.1900634765625,1824.550048828125,1832.0,1780.0,1784.9000244140625,133182
2024-04-25,1839.9713134765625,1862.800048828125,1885.0,1813.300048828125,1813.300048828125,191404
2024-04-26,1842.1937255859375,1865.050048828125,1880.5,1848.0,1872.1500244140625,72657
2024-04-29,1883.2838134765625,1906.6500244140625,1915.0,1865.0,1889.0,79262
2024-04-30,1881.9010009765625,1905.25,1920.0,1895.1500244140625,1915.0,58281
2024-05-02,1862.49169921875,1885.5999755859375,1911.300048828125,1875.0,1895.0,180018
2024-05-03,1866.7392578125,1889.9000244140625,1907.050048828125,1861.199951171875,1907.050048828125,169658
2024-05-06,1830.5382080078125,1853.25,1891.0,1843.050048828125,1891.0,25788
2024-05-07,1780.509033203125,1802.5999755859375,1853.25,1784.0,1851.25,79145
2024-05-08,1776.4593505859375,1798.5,1848.0,1766.5999755859375,1772.3499755859375,465731
2024-05-09,1743.814208984375,1765.449951171875,1797.550048828125,1761.800048828125,1792.0,130731
2024-05-10,1795.078125,1817.3499755859375,1831.050048828125,1725.449951171875,1751.0,140673
2024-05-13,1771.22412109375,1793.199951171875,1809.9000244140625,1774.6500244140625,1800.1500244140625,74619
2024-05-14,1775.2244873046875,1797.25,1806.199951171875,1784.1500244140625,1791.949951171875,33972
2024-05-15,1783.274658203125,1805.4000244140625,1840.4000244140625,1792.0999755859375,1797.25,73130
2024-05-16,1810.092041015625,1832.550048828125,1839.949951171875,1781.800048828125,1810.0,117208
2024-05-17,1802.634521484375,1825.0,1888.0,1804.050048828125,1834.0,73052
2024-05-21,1751.8643798828125,1773.5999755859375,1865.0,1765.6500244140625,1865.0,115755
2024-05-22,1680.20361328125,1701.050048828125,1770.0,1688.1500244140625,1770.0,752889
2024-05-23,1658.078125,1678.6500244140625,1731.050048828125,1675.0,1709.0,148395
2024-05-24,1647.1634521484375,1667.5999755859375,1689.5,1635.5,1689.5,139026
2024-05-27,1760.2109375,1782.050048828125,1825.0,1665.8499755859375,1680.699951171875,794240
2024-05-28,1744.406982421875,1766.050048828125,1796.5,1759.75,1796.5,100366
2024-05-29,1746.6787109375,1768.3499755859375,1776.4000244140625,1740.1500244140625,1766.050048828125,53663
2024-05-30,1726.4793701171875,1747.9000244140625,1773.050048828125,1691.8499755859375,1768.949951171875,241683
2024-05-31,1750.185302734375,1771.9000244140625,1820.0,1724.1500244140625,1740.0,238527
