date_,adj close_jublpharma.ns,close_jublpharma.ns,high_jublpharma.ns,low_jublpharma.ns,open_jublpharma.ns,volume_jublpharma.ns
2024-01-16,556.3782348632812,562.0,569.0499877929688,553.0,558.2000122070312,534778
2024-01-17,563.0112915039062,568.7000122070312,572.0,552.1500244140625,558.8499755859375,293210
2024-01-18,549.1513061523438,554.7000122070312,570.25,543.0499877929688,569.0,337244
2024-01-19,567.1692504882812,572.9000244140625,579.5,560.0999755859375,565.0,502010
2024-01-23,529.8958129882812,535.25,579.6500244140625,532.1500244140625,574.5,390638
2024-01-24,562.21923828125,567.9000244140625,571.7999877929688,534.2000122070312,538.4500122070312,449982
2024-01-25,563.0607299804688,568.75,579.7999877929688,560.0,565.0,519981
2024-01-29,570.9312133789062,576.7000122070312,591.9500122070312,557.0499877929688,580.0999755859375,912515
2024-01-30,553.7052612304688,559.2999877929688,577.2999877929688,555.5499877929688,570.5,465334
2024-01-31,565.7337646484375,571.4500122070312,574.75,563.0,563.0,409624
2024-02-01,570.8817749023438,576.6500244140625,588.5,565.5,574.0,279925
2024-02-02,586.3256225585938,592.25,616.7000122070312,568.2000122070312,576.6500244140625,4134528
2024-02-05,575.8317260742188,581.6500244140625,592.4500122070312,565.0,588.7999877929688,864857
2024-02-06,575.1387329101562,580.9500122070312,586.0,568.25,577.0499877929688,629223
2024-02-07,568.7532348632812,574.5,592.0,571.0499877929688,581.2999877929688,260486
2024-02-08,564.793212890625,570.5,577.25,565.9000244140625,574.5,163585
2024-02-09,555.1902465820312,560.7999877929688,573.4000244140625,552.5,569.0499877929688,266083
2024-02-12,580.3856811523438,586.25,594.2999877929688,550.0499877929688,557.4500122070312,803247
2024-02-13,575.1387329101562,580.9500122070312,593.7999877929688,565.0499877929688,587.0,385635
2024-02-14,577.9107055664062,583.75,591.9000244140625,571.2999877929688,575.0999755859375,190373
2024-02-15,604.1456298828125,610.25,624.25,592.0,593.7000122070312,1765022
2024-02-16,613.6990966796875,619.9000244140625,627.4500122070312,608.6500244140625,612.0,513160
2024-02-19,600.1361083984375,606.2000122070312,626.0,601.0,622.7000122070312,279630
2024-02-20,594.7901611328125,600.7999877929688,616.0,596.0,610.0,171451
2024-02-21,577.6632080078125,583.5,609.5,563.7999877929688,604.9000244140625,417126
2024-02-22,580.5342407226562,586.4000244140625,594.7999877929688,578.0,586.5499877929688,229945
2024-02-23,565.5357055664062,571.25,591.0499877929688,567.9500122070312,589.5,450745
2024-02-26,570.6342163085938,576.4000244140625,580.6500244140625,569.3499755859375,576.0,255947
2024-02-27,562.466796875,568.1500244140625,578.7000122070312,565.0999755859375,577.0,117356
2024-02-28,554.3487548828125,559.9500122070312,572.3499755859375,551.0,568.1500244140625,241828
2024-02-29,562.5162353515625,568.2000122070312,575.0,546.1500244140625,558.0999755859375,235661
2024-03-01,567.8621826171875,573.5999755859375,576.0499877929688,565.25,569.0,116342
2024-03-04,563.3577880859375,569.0499877929688,574.9000244140625,564.5,572.0,94746
2024-03-05,583.0587158203125,588.9500122070312,599.0,565.75,569.0499877929688,289014
2024-03-06,592.0181884765625,598.0,612.0,586.2999877929688,589.0,1548578
2024-03-07,583.2567138671875,589.1500244140625,606.9000244140625,580.6500244140625,594.9000244140625,232374
2024-03-11,553.0122680664062,558.5999755859375,592.2999877929688,555.0,589.0499877929688,333584
2024-03-12,564.397216796875,570.0999755859375,582.9000244140625,553.5,558.5999755859375,619136
2024-03-13,543.4588012695312,548.9500122070312,571.5,542.0,565.0,387505
2024-03-14,559.05126953125,564.7000122070312,571.8499755859375,538.0499877929688,538.0499877929688,149783
2024-03-15,562.3677368164062,568.0499877929688,571.5,560.0499877929688,562.5,156347
2024-03-18,565.1397094726562,570.8499755859375,574.0999755859375,564.6500244140625,568.0499877929688,99283
2024-03-19,561.8232421875,567.5,578.2000122070312,564.5999755859375,569.0499877929688,176318
