date_,adj close_mgl.ns,close_mgl.ns,high_mgl.ns,low_mgl.ns,open_mgl.ns,volume_mgl.ns
2024-01-16,1212.5504150390625,1262.699951171875,1275.0,1249.0,1265.0,309296
2024-01-17,1206.0205078125,1255.9000244140625,1274.949951171875,1240.4000244140625,1257.949951171875,564413
2024-01-18,1249.857421875,1301.550048828125,1311.449951171875,1242.0999755859375,1261.9000244140625,1548220
2024-01-19,1273.3363037109375,1326.0,1345.0,1312.300048828125,1320.0,789847
2024-01-23,1260.2283935546875,1312.3499755859375,1354.449951171875,1307.0,1335.949951171875,863272
2024-01-24,1292.3980712890625,1345.8499755859375,1351.3499755859375,1303.550048828125,1336.199951171875,1207986
2024-01-25,1319.573974609375,1374.1500244140625,1387.0,1338.199951171875,1352.0,1167895
2024-01-29,1358.2255859375,1414.4000244140625,1419.4000244140625,1381.0,1388.0,767465
2024-01-30,1386.3616943359375,1443.699951171875,1460.1500244140625,1415.75,1420.0,953020
2024-01-31,1420.4998779296875,1479.25,1488.800048828125,1446.550048828125,1450.0,811516
2024-02-01,1405.3753662109375,1463.5,1514.6500244140625,1450.0999755859375,1484.699951171875,797426
2024-02-02,1418.2911376953125,1476.949951171875,1506.4000244140625,1467.949951171875,1480.0,494868
2024-02-05,1421.195556640625,1467.949951171875,1490.800048828125,1456.0,1471.5,304608
2024-02-06,1485.093505859375,1533.949951171875,1539.9000244140625,1468.550048828125,1468.550048828125,621305
2024-02-07,1439.4451904296875,1486.800048828125,1554.300048828125,1475.1500244140625,1554.300048828125,739074
2024-02-08,1431.3612060546875,1478.449951171875,1499.25,1471.0,1489.9000244140625,448628
2024-02-09,1427.0528564453125,1474.0,1489.8499755859375,1440.4000244140625,1483.949951171875,283592
2024-02-12,1405.511474609375,1451.75,1486.949951171875,1446.5999755859375,1470.0,442124
2024-02-13,1429.7637939453125,1476.800048828125,1479.1500244140625,1435.699951171875,1459.4000244140625,404130
2024-02-14,1442.64013671875,1490.0999755859375,1494.0,1450.800048828125,1465.0,196433
2024-02-15,1463.8426513671875,1512.0,1534.800048828125,1493.1500244140625,1494.3499755859375,500046
2024-02-16,1468.876953125,1517.199951171875,1530.0,1507.199951171875,1530.0,326595
2024-02-19,1472.65283203125,1521.0999755859375,1534.9000244140625,1519.1500244140625,1524.75,142127
2024-02-20,1463.8909912109375,1512.050048828125,1532.949951171875,1486.300048828125,1530.0,215874
2024-02-21,1462.438720703125,1510.550048828125,1520.0,1494.1500244140625,1513.550048828125,454971
