date_,adj close_lindeindia.ns,close_lindeindia.ns,high_lindeindia.ns,low_lindeindia.ns,open_lindeindia.ns,volume_lindeindia.ns
2024-01-16,5534.24560546875,5552.7998046875,5599.0,5525.0,5541.89990234375,16466
2024-01-17,5426.05859375,5444.25,5548.64990234375,5425.0,5525.0,31578
2024-01-18,5392.37158203125,5410.4501953125,5525.7998046875,5325.0,5484.0,32988
2024-01-19,5802.79541015625,5822.25,5985.0,5417.75,5454.9501953125,330151
2024-01-23,5620.20703125,5639.0498046875,5859.9501953125,5620.0,5840.0,43799
2024-01-24,5709.25927734375,5728.39990234375,5750.0,5605.5498046875,5674.64990234375,33502
2024-01-25,5695.55517578125,5714.64990234375,5800.0,5700.0,5767.10009765625,19560
2024-01-29,5698.74462890625,5717.85009765625,5755.0,5689.0,5717.7998046875,15986
2024-01-30,5603.6630859375,5622.4501953125,5750.0,5589.75,5746.0,32157
2024-01-31,5573.61376953125,5592.2998046875,5678.7998046875,5575.0,5622.0,37780
2024-02-01,5491.439453125,5509.85009765625,5635.0,5493.2998046875,5611.75,33076
2024-02-02,5531.90380859375,5550.4501953125,5596.0,5524.89990234375,5524.89990234375,16875
2024-02-05,5556.52099609375,5575.14990234375,5733.75,5528.5,5619.89990234375,37587
2024-02-06,5686.7841796875,5705.85009765625,5725.0,5561.39990234375,5700.0,99244
2024-02-07,5671.98388671875,5691.0,5750.9501953125,5601.7998046875,5720.0,40527
2024-02-08,5575.45751953125,5594.14990234375,5750.0,5575.0,5691.0,19416
2024-02-09,5589.4609375,5608.2001953125,5720.0,5537.0,5720.0,22894
2024-02-12,5549.54443359375,5568.14990234375,5644.0,5537.2001953125,5644.0,38391
2024-02-13,5461.43994140625,5479.75,5599.9501953125,5415.0,5568.14990234375,16632
2024-02-14,5526.123046875,5544.64990234375,5645.2998046875,5479.7998046875,5539.9501953125,35227
2024-02-15,5586.72021484375,5605.4501953125,5655.0,5520.0,5655.0,20160
2024-02-16,5768.01171875,5787.35009765625,5858.5,5568.0498046875,5610.0,82803
2024-02-19,5759.59033203125,5778.89990234375,5884.0,5755.0,5855.0,27312
2024-02-20,5659.87451171875,5678.85009765625,5815.0,5656.0,5797.64990234375,22309
2024-02-21,5611.48681640625,5630.2998046875,5729.9501953125,5611.10009765625,5729.9501953125,15633
2024-02-22,5551.78662109375,5570.39990234375,5647.0,5510.0,5647.0,17437
2024-02-23,5531.55517578125,5550.10009765625,5625.5498046875,5525.0,5591.0,17935
2024-02-26,5511.52197265625,5530.0,5600.0,5511.0,5559.2998046875,14618
2024-02-27,5465.6259765625,5483.9501953125,5565.0,5461.25,5530.0,17794
2024-02-28,5518.34912109375,5536.85009765625,5550.0,5420.0,5499.7998046875,26291
2024-02-29,5365.66064453125,5383.64990234375,5555.0,5365.7001953125,5555.0,25377
2024-03-01,5520.89013671875,5539.39990234375,5591.2001953125,5487.2001953125,5498.89990234375,53363
2024-03-04,5421.3740234375,5439.5498046875,5548.0,5399.0498046875,5548.0,40386
2024-03-05,5436.07470703125,5454.2998046875,5484.5498046875,5420.0,5446.9501953125,20201
2024-03-06,5588.61376953125,5607.35009765625,5700.0,5416.7001953125,5469.0,131180
2024-03-07,5560.20849609375,5578.85009765625,5647.64990234375,5537.10009765625,5647.64990234375,23141
2024-03-11,5887.0625,5906.7998046875,5949.0,5578.9501953125,5600.0,205848
2024-03-12,6299.13134765625,6320.25,6399.0,5852.0,5909.0,885272
2024-03-13,6037.7080078125,6057.9501953125,6594.35009765625,5959.2001953125,6320.25,572477
2024-03-14,6394.26220703125,6415.7001953125,6476.0,5954.2998046875,6057.9501953125,308054
2024-03-15,6419.57763671875,6441.10009765625,6530.0,6275.75,6399.89990234375,191490
2024-03-18,6755.55126953125,6778.2001953125,6896.7001953125,6411.39990234375,6449.0,592350
