date_,adj close_motherson.ns,close_motherson.ns,high_motherson.ns,low_motherson.ns,open_motherson.ns,volume_motherson.ns
2024-01-16,72.1336669921875,72.9000015258789,73.73332977294922,71.80000305175781,73.0999984741211,28529832
2024-01-17,71.30909729003906,72.06666564941406,73.13333129882812,71.03333282470703,71.33333587646484,26074947
2024-01-18,71.1441879272461,71.9000015258789,73.0999984741211,69.56666564941406,72.0,24343167
2024-01-19,72.2656021118164,73.03333282470703,73.96666717529297,72.23332977294922,72.43333435058594,17999988
2024-01-23,70.15470123291016,70.9000015258789,72.86666870117188,70.23332977294922,72.5,44544520
2024-01-24,72.56245422363281,73.33333587646484,73.69999694824219,69.46666717529297,70.69999694824219,31401241
2024-01-25,76.12460327148438,76.93333435058594,77.43333435058594,73.0999984741211,73.5999984741211,66744631
2024-01-29,76.78427124023438,77.5999984741211,78.66666412353516,76.4000015258789,77.5,33730098
2024-01-30,75.3659896850586,76.16666412353516,78.19999694824219,75.83333587646484,78.19999694824219,15796419
2024-01-31,74.70633697509766,75.5,76.5,75.19999694824219,76.33333587646484,16940139
2024-02-01,75.99267578125,76.80000305175781,77.53333282470703,75.76666259765625,76.13333129882812,26823478
2024-02-02,76.42144775390625,77.23332977294922,78.23332977294922,76.83333587646484,77.36666870117188,14048137
2024-02-05,77.21304321289062,78.03333282470703,79.46666717529297,77.26666259765625,77.86666870117188,15137983
2024-02-06,78.33445739746094,79.16666412353516,79.46666717529297,77.53333282470703,78.26666259765625,15072040
2024-02-07,80.6762466430664,81.53333282470703,81.83333587646484,77.93333435058594,79.76666259765625,25547152
2024-02-08,79.02710723876953,79.86666870117188,82.0,79.56666564941406,81.93333435058594,14054334
2024-02-09,79.98361206054688,80.83333587646484,81.5999984741211,78.13333129882812,80.33333587646484,20789388
2024-02-12,75.4649429321289,76.26666259765625,82.26666259765625,72.96666717529297,82.03333282470703,30103014
2024-02-13,76.1575927734375,76.96666717529297,78.93333435058594,73.26666259765625,78.93333435058594,41025993
2024-02-14,75.23406219482422,76.03333282470703,76.5,74.80000305175781,76.43333435058594,23923629
2024-02-15,74.70633697509766,75.5,77.19999694824219,75.16666412353516,77.13333129882812,16961917
