date_,adj close_rcf.ns,close_rcf.ns,high_rcf.ns,low_rcf.ns,open_rcf.ns,volume_rcf.ns
2024-01-16,169.1597442626953,171.85000610351562,174.89999389648438,167.85000610351562,170.3000030517578,10672334
2024-01-17,168.81521606445312,171.5,175.5,167.5,168.4499969482422,10679684
2024-01-18,169.25816345214844,171.9499969482422,176.4499969482422,168.4499969482422,172.0,11945482
2024-01-19,174.52442932128906,177.3000030517578,181.0,173.0500030517578,173.0500030517578,20796114
2024-01-23,167.43714904785156,170.10000610351562,188.0,165.0,186.9499969482422,13036237
2024-01-24,175.0166015625,177.8000030517578,179.10000610351562,166.0,170.89999389648438,9708480
2024-01-25,179.34771728515625,182.1999969482422,185.5,176.8000030517578,178.0500030517578,13814164
2024-01-29,180.77499389648438,183.64999389648438,187.75,180.1999969482422,183.60000610351562,7970542
2024-01-30,175.75485229492188,178.5500030517578,184.8000030517578,177.25,184.5500030517578,5017506
2024-01-31,180.2828369140625,183.14999389648438,183.6999969482422,178.0,179.75,5514000
2024-02-01,171.17764282226562,173.89999389648438,187.35000610351562,173.10000610351562,184.60000610351562,11711449
2024-02-02,171.4729461669922,174.1999969482422,178.25,172.6999969482422,175.25,5247798
2024-02-05,164.33644104003906,166.9499969482422,175.14999389648438,161.5,174.1999969482422,5929702
2024-02-06,165.27157592773438,167.89999389648438,170.85000610351562,164.75,166.64999389648438,3440942
2024-02-07,167.2894744873047,169.9499969482422,172.1999969482422,166.60000610351562,168.8000030517578,4073336
2024-02-08,163.745849609375,166.35000610351562,171.6999969482422,165.60000610351562,170.0,2815251
2024-02-09,159.11940002441406,161.64999389648438,167.60000610351562,156.5500030517578,166.5,3618200
2024-02-12,146.3229217529297,148.64999389648438,159.9499969482422,146.8000030517578,157.9499969482422,7115391
2024-02-13,145.48623657226562,147.8000030517578,151.0,142.6999969482422,149.39999389648438,4230933
2024-02-14,144.0097198486328,146.3000030517578,147.0,133.60000610351562,135.0,12519250
2024-02-15,148.04551696777344,150.39999389648438,156.64999389648438,145.0,145.0,7877002
