date_,adj close_maruti.ns,close_maruti.ns,high_maruti.ns,low_maruti.ns,open_maruti.ns,volume_maruti.ns
2024-01-16,9980.2421875,10183.5498046875,10240.0,10060.0,10086.849609375,536823
2024-01-17,9851.025390625,10051.7001953125,10161.7998046875,9996.4501953125,10124.0,610250
2024-01-18,9726.3642578125,9924.5,10050.0,9737.650390625,9946.0498046875,614860
2024-01-19,9837.3046875,10037.7001953125,10051.650390625,9949.0498046875,9960.0,377018
2024-01-23,9663.59375,9860.4501953125,9973.0,9832.099609375,9862.0,956269
2024-01-24,9788.79296875,9988.2001953125,10000.0,9755.0,9860.0,459092
2024-01-25,9683.7333984375,9881.0,9999.7998046875,9816.5498046875,9988.2001953125,718817
2024-01-29,9791.9296875,9991.400390625,10035.0,9875.0498046875,9931.150390625,446516
2024-01-30,9752.97265625,9951.650390625,10033.5,9931.5,10010.849609375,399869
2024-01-31,9983.5263671875,10186.900390625,10235.599609375,9913.0,9959.2998046875,997024
2024-02-01,10425.5712890625,10637.9501953125,10699.7998046875,10204.0,10210.0,1869594
2024-02-02,10442.7216796875,10655.4501953125,10711.599609375,10540.400390625,10598.0,814940
2024-02-05,10220.3505859375,10428.5498046875,10759.9501953125,10400.0,10602.0,365105
2024-02-06,10628.3408203125,10844.849609375,10856.75,10458.0,10499.9501953125,829040
2024-02-07,10717.376953125,10935.7001953125,10973.5,10786.7998046875,10860.0,560808
2024-02-08,10529.40625,10743.900390625,10951.0,10689.9501953125,10951.0,557082
2024-02-09,10518.576171875,10732.849609375,10770.0,10611.099609375,10711.25,645489
2024-02-12,10495.888671875,10709.7001953125,10748.9501953125,10650.0498046875,10700.0,190655
2024-02-13,10578.9951171875,10794.5,10830.0,10640.150390625,10730.0,397979
2024-02-14,10807.78515625,11027.9501953125,11050.0,10703.400390625,10705.0,354676
2024-02-15,10868.8408203125,11090.25,11133.0,10980.0,11040.0,447248
2024-02-16,11153.1982421875,11380.400390625,11480.0,11098.0,11120.0,716486
2024-02-19,11254.0927734375,11483.349609375,11613.0498046875,11333.0498046875,11380.400390625,581383
2024-02-20,11217.9296875,11446.4501953125,11479.9501953125,11315.849609375,11440.0,355044
2024-02-21,11236.94140625,11465.849609375,11521.0,11370.0,11456.0,348461
2024-02-22,11425.0595703125,11657.7998046875,11695.0,11391.25,11500.0,584406
2024-02-23,11305.2998046875,11535.599609375,11720.0,11475.2001953125,11704.9501953125,472884
2024-02-26,11238.0693359375,11467.0,11533.9501953125,11416.4501953125,11505.0,277700
2024-02-27,11271.0478515625,11500.650390625,11562.900390625,11384.25,11415.0,307585
2024-02-28,10930.142578125,11152.7998046875,11498.9501953125,11130.0,11471.0,358812
2024-02-29,11062.9853515625,11288.349609375,11349.0,11129.5,11155.0,943841
2024-03-01,11388.9462890625,11620.9501953125,11675.0,11295.0,11295.0,487355
2024-03-04,11362.681640625,11594.150390625,11677.2998046875,11544.150390625,11600.0,369936
2024-03-05,11437.6044921875,11670.599609375,11730.0,11561.7998046875,11596.0498046875,320702
2024-03-06,11336.1220703125,11567.0498046875,11679.0,11518.400390625,11670.599609375,639542
2024-03-07,11280.259765625,11510.0498046875,11633.5,11421.150390625,11571.0498046875,255325
