date_,adj close_chennpetro.ns,close_chennpetro.ns,high_chennpetro.ns,low_chennpetro.ns,open_chennpetro.ns,volume_chennpetro.ns
2024-01-16,797.061767578125,840.8499755859375,859.0499877929688,822.2000122070312,842.6500244140625,1512950
2024-01-17,811.138427734375,855.7000122070312,873.0,831.9000244140625,839.0999755859375,1933073
2024-01-18,827.3004760742188,872.75,878.0,834.4500122070312,858.0,1397344
2024-01-19,844.6948852539062,891.0999755859375,896.25,870.0499877929688,873.0,1149925
2024-01-23,727.9107666015625,767.9000244140625,820.0,761.0,820.0,2889060
2024-01-24,715.7772827148438,755.0999755859375,772.9000244140625,741.0,763.0499877929688,1023760
2024-01-25,758.2916870117188,799.9500122070312,805.5,761.9500122070312,762.0,1384509
2024-01-29,780.947021484375,823.8499755859375,833.2999877929688,803.2000122070312,805.0,989577
2024-01-30,794.0284423828125,837.6500244140625,843.7999877929688,822.0,829.4000244140625,813577
2024-01-31,809.5269165039062,854.0,857.4000244140625,825.0,838.0,644354
2024-02-01,839.5287475585938,885.6500244140625,898.0,856.0,856.0,1224193
2024-02-02,846.353759765625,892.8499755859375,912.7000122070312,874.1500244140625,889.0,1322752
2024-02-05,883.7967529296875,932.3499755859375,969.9000244140625,892.8499755859375,893.0,2074480
2024-02-06,868.9143676757812,916.6500244140625,938.9500122070312,891.5999755859375,938.0,902995
2024-02-07,894.6030883789062,943.75,964.9500122070312,924.9500122070312,925.0,949223
2024-02-08,897.1151123046875,946.4000244140625,979.9000244140625,940.0499877929688,948.4000244140625,950658
2024-02-09,846.63818359375,893.1500244140625,949.0,875.25,949.0,891230
2024-02-12,781.4684448242188,824.4000244140625,898.6500244140625,816.2000122070312,890.0,1224878
2024-02-13,797.1565551757812,840.9500122070312,846.0,810.0,824.0,824638
2024-02-14,854.079345703125,901.0,907.9000244140625,814.5999755859375,830.0,1636526
2024-02-15,925.6002197265625,976.4500122070312,999.9000244140625,895.8499755859375,907.2999877929688,5365046
2024-02-16,901.0015869140625,950.5,981.0,945.0,960.0,1607691
2024-02-19,938.491943359375,990.0499877929688,1036.300048828125,952.2999877929688,955.5999755859375,4296301
2024-02-20,918.727783203125,969.2000122070312,995.3499755859375,964.0999755859375,990.5,996554
2024-02-21,887.2092895507812,935.9500122070312,986.0,928.0499877929688,973.0,897789
2024-02-22,872.7534790039062,920.7000122070312,949.4000244140625,915.0,940.9500122070312,1040570
2024-02-23,899.6744384765625,949.0999755859375,953.75,923.5499877929688,923.5499877929688,1053107
2024-02-26,893.418212890625,942.5,957.7999877929688,937.0,945.0999755859375,739619
2024-02-27,867.0185546875,914.6500244140625,946.9000244140625,902.0999755859375,944.0,738712
2024-02-28,867.3976440429688,915.0499877929688,966.6500244140625,908.2000122070312,916.0,1672210
2024-02-29,838.0120239257812,884.0499877929688,922.9000244140625,871.4000244140625,919.0,1391705
2024-03-01,848.107421875,894.7000122070312,923.4000244140625,891.2999877929688,895.0,668337
2024-03-04,847.34912109375,893.9000244140625,913.9000244140625,890.6500244140625,910.0,468089
2024-03-05,873.8435668945312,921.8499755859375,932.9500122070312,879.5499877929688,893.5,1804827
2024-03-06,854.5532836914062,901.5,944.0,893.2999877929688,922.0,1051710
2024-03-07,856.875732421875,903.9500122070312,922.0,892.5999755859375,905.0,763297
2024-03-11,841.6615600585938,887.9000244140625,905.5,882.9000244140625,896.0,524847
2024-03-12,815.8780517578125,860.7000122070312,891.4500122070312,853.2000122070312,887.4500122070312,835943
2024-03-13,736.8685913085938,777.3499755859375,860.0,743.0499877929688,860.0,1164141
2024-03-14,806.7305908203125,851.0499877929688,857.9000244140625,768.0499877929688,780.9500122070312,1007230
2024-03-15,831.613525390625,877.2999877929688,885.9000244140625,812.8499755859375,840.0,1508523
2024-03-18,802.4175415039062,846.5,885.0,827.5499877929688,882.5,653632
2024-03-19,822.9874267578125,868.2000122070312,888.7999877929688,825.5,850.0,1697067
2024-03-20,803.5550537109375,847.7000122070312,871.1500244140625,842.0,868.2000122070312,669188
2024-03-21,820.333251953125,865.4000244140625,884.7000122070312,857.7000122070312,857.7000122070312,697457
2024-03-22,831.9927368164062,877.7000122070312,889.4500122070312,856.5,856.5,756727
2024-03-26,832.3718872070312,878.0999755859375,894.7999877929688,860.0,877.7000122070312,880850
2024-03-27,866.2127685546875,913.7999877929688,929.7000122070312,884.5,885.0,1843186
