date_,adj close_tvsmotor.ns,close_tvsmotor.ns,high_tvsmotor.ns,low_tvsmotor.ns,open_tvsmotor.ns,volume_tvsmotor.ns
2024-01-16,2017.276123046875,2033.6500244140625,2043.9000244140625,2013.3499755859375,2030.0,1347953
2024-01-17,2000.5618896484375,2016.800048828125,2047.5,2003.449951171875,2023.6500244140625,727553
2024-01-18,1995.3045654296875,2011.5,2026.050048828125,1980.0,2016.0,815604
2024-01-19,2020.5992431640625,2037.0,2045.0,2011.0,2015.800048828125,747716
2024-01-23,1971.3489990234375,1987.3499755859375,2045.949951171875,1978.5999755859375,2015.449951171875,910575
2024-01-24,1984.83935546875,2000.949951171875,2015.0,1959.800048828125,1975.0,903005
2024-01-25,1925.4713134765625,1941.0999755859375,2055.0,1923.050048828125,2055.0,2078701
2024-01-29,1948.8812255859375,1964.699951171875,1974.0,1927.949951171875,1941.0,1563040
2024-01-30,1941.83837890625,1957.5999755859375,1996.8499755859375,1953.5,1973.0999755859375,1011435
2024-01-31,1985.2362060546875,2001.3499755859375,2006.8499755859375,1952.050048828125,1960.050048828125,1064182
2024-02-01,1979.185302734375,1995.25,2024.8499755859375,1985.0,2017.0,588605
2024-02-02,2028.8323974609375,2045.300048828125,2048.60009765625,1997.550048828125,1997.550048828125,830770
2024-02-05,2007.8526611328125,2024.1500244140625,2077.64990234375,2010.199951171875,2049.25,829877
2024-02-06,2031.0146484375,2047.5,2068.0,2024.1500244140625,2034.0,707510
2024-02-07,2047.3321533203125,2063.949951171875,2074.89990234375,2039.949951171875,2054.10009765625,413546
2024-02-08,2017.3753662109375,2033.75,2073.550048828125,2026.5,2068.0,223855
2024-02-09,2021.1943359375,2037.5999755859375,2046.0,2005.699951171875,2044.800048828125,235265
2024-02-12,2019.3592529296875,2035.75,2054.449951171875,2015.550048828125,2044.0,309481
2024-02-13,2027.790771484375,2044.25,2060.199951171875,2021.0,2035.0,436456
2024-02-14,2071.138916015625,2087.949951171875,2105.0,2021.199951171875,2031.0,597383
2024-02-15,2076.148193359375,2093.0,2118.199951171875,2051.449951171875,2105.0,754820
2024-02-16,2121.52978515625,2138.75,2186.0,2097.10009765625,2098.75,2287490
2024-02-19,2103.32763671875,2120.39990234375,2160.0,2092.89990234375,2153.0,981429
2024-02-20,2101.1455078125,2118.199951171875,2138.5,2093.85009765625,2133.89990234375,611276
2024-02-21,2076.644287109375,2093.5,2139.0,2081.0,2122.0,407855
2024-02-22,2111.51123046875,2128.64990234375,2133.75,2090.85009765625,2104.449951171875,482482
2024-02-23,2098.91357421875,2115.949951171875,2139.0,2104.35009765625,2135.0,345944
2024-02-26,2144.692138671875,2162.10009765625,2167.0,2088.0,2107.050048828125,661221
2024-02-27,2115.97509765625,2133.14990234375,2168.14990234375,2127.39990234375,2167.0,626537
2024-02-28,2077.685791015625,2094.550048828125,2142.14990234375,2071.85009765625,2135.0,808633
2024-02-29,2121.976318359375,2139.199951171875,2159.39990234375,2084.85009765625,2092.0,1749636
2024-03-01,2224.5439453125,2242.60009765625,2275.0,2121.64990234375,2139.949951171875,1643917
