date_,adj close_welspunliv.ns,close_welspunliv.ns,high_welspunliv.ns,low_welspunliv.ns,open_welspunliv.ns,volume_welspunliv.ns
2024-01-16,150.4904022216797,152.39999389648438,154.1999969482422,150.25,153.14999389648438,865283
2024-01-17,147.0342559814453,148.89999389648438,152.25,147.60000610351562,150.10000610351562,1206079
2024-01-18,147.18238830566406,149.0500030517578,152.5,144.0,149.5,1323471
2024-01-19,148.8116912841797,150.6999969482422,152.9499969482422,149.5,149.5,1183141
2024-01-23,140.56634521484375,142.35000610351562,150.6999969482422,140.39999389648438,150.0,1886704
2024-01-24,134.24652099609375,135.9499969482422,142.3000030517578,133.1999969482422,142.3000030517578,5445542
2024-01-25,135.6783447265625,137.39999389648438,145.64999389648438,133.89999389648438,137.0,6819182
2024-01-29,148.07110595703125,149.9499969482422,157.0,137.5500030517578,139.0,12904141
2024-01-30,150.88540649414062,152.8000030517578,153.39999389648438,149.1999969482422,151.0,2512732
2024-01-31,161.74757385253906,163.8000030517578,171.25,151.5,152.9499969482422,21295085
2024-02-01,161.10569763183594,163.14999389648438,166.5,161.4499969482422,165.89999389648438,4880567
2024-02-02,154.29217529296875,156.25,165.6999969482422,155.0500030517578,164.0,3041974
2024-02-05,150.39166259765625,152.3000030517578,158.89999389648438,151.0,157.0,2096442
2024-02-06,150.53976440429688,152.4499969482422,155.5,151.3000030517578,152.8000030517578,1415483
2024-02-07,148.31797790527344,150.1999969482422,155.64999389648438,149.35000610351562,153.5500030517578,1303424
2024-02-08,146.04678344726562,147.89999389648438,152.5500030517578,147.3000030517578,150.64999389648438,1371304
2024-02-09,155.52650451660156,157.5,160.0,148.10000610351562,148.35000610351562,11748437
2024-02-12,151.13226318359375,153.0500030517578,161.60000610351562,151.60000610351562,158.6999969482422,3456986
2024-02-13,150.5891571044922,152.5,154.89999389648438,145.0,150.6999969482422,1895137
2024-02-14,148.5154571533203,150.39999389648438,152.0,147.9499969482422,152.0,1195420
2024-02-15,151.37911987304688,153.3000030517578,155.9499969482422,150.35000610351562,151.39999389648438,1653201
2024-02-16,151.37911987304688,153.3000030517578,158.25,152.5500030517578,154.39999389648438,1191457
2024-02-19,151.181640625,153.10000610351562,154.14999389648438,151.39999389648438,153.6999969482422,795115
2024-02-20,155.1315155029297,157.10000610351562,158.8000030517578,151.89999389648438,153.5,2704753
2024-02-21,152.0703582763672,154.0,159.64999389648438,153.1999969482422,157.14999389648438,2029818
2024-02-22,153.10719299316406,155.0500030517578,156.10000610351562,150.4499969482422,154.4499969482422,1375428
2024-02-23,159.18014526367188,161.1999969482422,168.0,156.60000610351562,156.60000610351562,20882224
2024-02-26,156.26708984375,158.25,162.9499969482422,157.3000030517578,161.5500030517578,3322139
2024-02-27,157.15582275390625,159.14999389648438,164.14999389648438,157.39999389648438,159.3000030517578,2945702
2024-02-28,148.9598388671875,150.85000610351562,161.60000610351562,150.0500030517578,160.4499969482422,3100364
2024-02-29,152.8109588623047,154.75,157.85000610351562,147.35000610351562,151.0500030517578,4130854
2024-03-01,153.60093688964844,155.5500030517578,158.5,155.0500030517578,156.75,1327132
2024-03-04,151.9222412109375,153.85000610351562,157.4499969482422,152.60000610351562,156.60000610351562,1017514
2024-03-05,150.39166259765625,152.3000030517578,153.85000610351562,151.39999389648438,152.89999389648438,674024
2024-03-06,144.31871032714844,146.14999389648438,152.8000030517578,144.6999969482422,150.0500030517578,1636394
2024-03-07,145.40492248535156,147.25,149.0,146.39999389648438,147.0,631471
2024-03-11,151.6753692626953,153.60000610351562,157.75,143.3000030517578,148.8000030517578,6553814
2024-03-12,146.2936553955078,148.14999389648438,155.0,146.89999389648438,153.6999969482422,1779160
2024-03-13,133.85154724121094,135.5500030517578,149.4499969482422,133.25,148.0,3559666
2024-03-14,145.65179443359375,147.5,148.89999389648438,132.75,133.8000030517578,2942787
2024-03-15,147.2811279296875,149.14999389648438,151.89999389648438,144.5500030517578,145.75,3069696
2024-03-18,145.25682067871094,147.10000610351562,150.6999969482422,146.10000610351562,149.25,1064299
2024-03-19,142.24502563476562,144.0500030517578,148.0500030517578,143.14999389648438,148.0,856778
2024-03-20,139.33200073242188,141.10000610351562,149.9499969482422,140.25,149.0,3471061
2024-03-21,139.57887268066406,141.35000610351562,145.5,140.75,142.5,1511414
