date_,adj close_whirlpool.ns,close_whirlpool.ns,high_whirlpool.ns,low_whirlpool.ns,open_whirlpool.ns,volume_whirlpool.ns
2024-01-16,1369.088623046875,1377.75,1386.5,1353.0,1360.0,158047
2024-01-17,1370.132080078125,1378.800048828125,1386.949951171875,1362.0,1374.8499755859375,234430
2024-01-18,1372.1195068359375,1380.800048828125,1399.5999755859375,1350.25,1377.0,210708
2024-01-19,1347.276611328125,1355.800048828125,1387.0,1354.0,1387.0,49220
2024-01-23,1300.2242431640625,1308.449951171875,1359.5,1301.0,1356.0,74075
2024-01-24,1331.3275146484375,1339.75,1346.6500244140625,1310.050048828125,1323.949951171875,42273
2024-01-25,1308.720458984375,1317.0,1346.199951171875,1315.0,1339.75,34337
2024-01-29,1324.6199951171875,1333.0,1337.0999755859375,1313.800048828125,1323.800048828125,80211
2024-01-30,1300.8701171875,1309.0999755859375,1348.0,1306.0999755859375,1345.0,88534
2024-01-31,1340.171630859375,1348.6500244140625,1352.0,1313.1500244140625,1316.0,83761
2024-02-01,1336.4451904296875,1344.9000244140625,1350.550048828125,1334.949951171875,1349.0,79112
2024-02-02,1338.333251953125,1346.800048828125,1389.0,1338.1500244140625,1345.4000244140625,159213
2024-02-05,1345.9847412109375,1354.5,1370.1500244140625,1335.050048828125,1345.0,71646
2024-02-06,1358.505615234375,1367.0999755859375,1373.5999755859375,1353.1500244140625,1360.0,51434
2024-02-07,1364.8653564453125,1373.5,1376.0999755859375,1363.0999755859375,1367.0999755859375,57972
2024-02-08,1356.2200927734375,1364.800048828125,1372.550048828125,1352.6500244140625,1365.300048828125,45061
2024-02-09,1350.0093994140625,1358.550048828125,1364.800048828125,1343.050048828125,1364.699951171875,50513
2024-02-12,1341.7615966796875,1350.25,1358.550048828125,1342.6500244140625,1358.550048828125,50466
2024-02-13,1334.30859375,1342.75,1356.800048828125,1327.6500244140625,1350.199951171875,46163
2024-02-14,1334.3582763671875,1342.800048828125,1345.300048828125,1327.5999755859375,1330.0,20819
2024-02-15,1324.7689208984375,1333.1500244140625,1349.300048828125,1325.199951171875,1345.0,26499
2024-02-16,1323.0797119140625,1331.449951171875,1344.550048828125,1326.699951171875,1326.699951171875,26287
2024-02-19,1322.831298828125,1331.199951171875,1340.8499755859375,1324.3499755859375,1338.0999755859375,26162
2024-02-20,1278.611083984375,1286.699951171875,1324.0,1268.0,1280.0,4640800
2024-02-21,1250.886474609375,1258.800048828125,1294.800048828125,1253.0999755859375,1289.800048828125,684538
2024-02-22,1258.6871337890625,1266.6500244140625,1270.0,1228.0,1258.800048828125,798655
2024-02-23,1269.6180419921875,1277.6500244140625,1284.949951171875,1245.75,1270.0,857048
2024-02-26,1252.8739013671875,1260.800048828125,1273.199951171875,1250.0,1272.4000244140625,215895
2024-02-27,1255.2586669921875,1263.199951171875,1273.9000244140625,1186.0999755859375,1215.0,1797871
2024-02-28,1276.9217529296875,1285.0,1290.0,1247.6500244140625,1260.0,404123
2024-02-29,1249.0479736328125,1256.949951171875,1286.199951171875,1252.0,1285.0,190075
2024-03-01,1232.8009033203125,1240.5999755859375,1281.9000244140625,1211.050048828125,1265.800048828125,154635
