date_,adj close_britannia.ns,close_britannia.ns,high_britannia.ns,low_britannia.ns,open_britannia.ns,volume_britannia.ns
2024-01-16,4999.1630859375,5130.60009765625,5218.0,5107.25,5168.39990234375,203028
2024-01-17,4932.02880859375,5061.7001953125,5135.25,5055.0,5115.0498046875,270672
2024-01-18,4886.6708984375,5015.14990234375,5077.9501953125,4974.2001953125,5061.0,514119
2024-01-19,5007.0068359375,5138.64990234375,5169.64990234375,5012.2998046875,5029.0,329252
2024-01-23,4918.77685546875,5048.10009765625,5189.85009765625,4925.89990234375,5166.39990234375,491135
2024-01-24,5010.51513671875,5142.25,5173.64990234375,5030.0,5048.10009765625,611741
2024-01-25,5010.173828125,5141.89990234375,5236.5498046875,5106.10009765625,5150.0,342129
2024-01-29,5005.30224609375,5136.89990234375,5219.5,5111.2001953125,5142.0,275710
2024-01-30,4961.30908203125,5091.75,5192.89990234375,5081.0,5163.2998046875,146422
2024-01-31,5065.22607421875,5198.39990234375,5220.0,5031.75,5091.75,549238
2024-02-01,5016.70263671875,5148.60009765625,5201.9501953125,5127.10009765625,5196.0498046875,344394
2024-02-02,5016.94580078125,5148.85009765625,5209.0,5131.4501953125,5166.75,176167
2024-02-05,4993.2197265625,5124.5,5239.75,5078.5,5169.89990234375,231620
2024-02-06,4878.77880859375,5007.0498046875,5125.0,4992.5498046875,5124.5,336609
2024-02-07,4948.154296875,5078.25,5183.89990234375,4925.0,5140.0,1258830
2024-02-08,4750.64697265625,4875.5498046875,5122.39990234375,4833.14990234375,5101.0,623680
2024-02-09,4844.13916015625,4971.5,4978.0498046875,4860.0498046875,4875.5498046875,411953
2024-02-12,4842.873046875,4970.2001953125,4997.9501953125,4940.75,4971.5,158487
2024-02-13,4853.98095703125,4981.60009765625,5053.39990234375,4940.2001953125,4970.2001953125,262011
2024-02-14,4882.2861328125,5010.64990234375,5025.0,4950.0,4967.5498046875,277479
2024-02-15,4823.7255859375,4950.5498046875,5043.35009765625,4932.85009765625,5010.9501953125,189625
2024-02-16,4787.8203125,4913.7001953125,4970.5498046875,4894.75,4954.0,352139
2024-02-19,4799.07421875,4925.25,4948.5498046875,4886.64990234375,4919.9501953125,182521
2024-02-20,4795.0791015625,4921.14990234375,4934.0,4879.10009765625,4910.14990234375,129279
2024-02-21,4796.8818359375,4923.0,4988.2998046875,4888.0,4934.75,235932
2024-02-22,4829.96240234375,4956.9501953125,4968.0,4860.0,4924.9501953125,255308
2024-02-23,4809.8896484375,4936.35009765625,4970.39990234375,4912.10009765625,4956.9501953125,115910
2024-02-26,4776.322265625,4901.89990234375,4957.0,4891.60009765625,4949.9501953125,78084
2024-02-27,4778.70947265625,4904.35009765625,4939.5498046875,4879.0,4879.0,434014
2024-02-28,4762.58349609375,4887.7998046875,4916.10009765625,4867.2001953125,4894.35009765625,96877
2024-02-29,4838.0009765625,4965.2001953125,4980.89990234375,4828.85009765625,4885.0498046875,447941
2024-03-01,4801.4619140625,4927.7001953125,4986.7001953125,4914.14990234375,4965.2001953125,316277
2024-03-04,4714.93603515625,4838.89990234375,4942.4501953125,4833.5,4906.0,307520
2024-03-05,4702.025390625,4825.64990234375,4867.4501953125,4811.0,4839.0498046875,156956
2024-03-06,4755.7138671875,4880.75,4887.7998046875,4788.75,4839.0,190965
2024-03-07,4763.89892578125,4889.14990234375,4902.0,4835.10009765625,4870.0,216747
2024-03-11,4810.9130859375,4937.39990234375,4957.64990234375,4871.10009765625,4894.0498046875,295000
2024-03-12,4744.4111328125,4869.14990234375,4940.0,4852.7998046875,4935.7001953125,140625
