date_,adj close_bayercrop.ns,close_bayercrop.ns,high_bayercrop.ns,low_bayercrop.ns,open_bayercrop.ns,volume_bayercrop.ns
2024-04-12,5226.439453125,5475.89990234375,5525.9501953125,5378.0498046875,5396.0,27884
2024-04-15,5245.67041015625,5496.0498046875,5818.0,5230.0,5230.0,71674
2024-04-16,5121.21142578125,5365.64990234375,5550.0,5333.0,5547.9501953125,135733
2024-04-18,5299.2626953125,5552.2001953125,5579.9501953125,5355.0,5375.0,15298
2024-04-19,5456.45947265625,5716.89990234375,5814.25,5445.0,5501.0,63296
2024-04-22,5388.45556640625,5645.64990234375,5839.89990234375,5614.0,5826.0,14152
2024-04-23,5304.17822265625,5557.35009765625,5729.9501953125,5535.0,5729.9501953125,40771
2024-04-24,5281.12890625,5533.2001953125,5643.0,5509.7001953125,5574.0,8181
2024-04-25,5319.115234375,5573.0,5611.0,5505.0,5523.0,6939
2024-04-26,5273.63623046875,5525.35009765625,5620.0,5510.0,5588.0,7693
2024-04-29,5225.96142578125,5475.39990234375,5557.9501953125,5410.0,5536.64990234375,13061
2024-04-30,5255.78759765625,5506.64990234375,5585.9501953125,5439.89990234375,5475.39990234375,9336
2024-05-02,5195.4189453125,5443.39990234375,5566.0,5430.5,5566.0,8010
2024-05-03,5213.5537109375,5462.39990234375,5588.0,5403.14990234375,5454.5498046875,16595
2024-05-06,5185.11181640625,5432.60009765625,5518.7001953125,5378.39990234375,5497.89990234375,11350
2024-05-07,5146.6953125,5392.35009765625,5443.75,5315.0,5443.64990234375,11413
2024-05-08,5157.5283203125,5403.7001953125,5474.85009765625,5305.5498046875,5381.39990234375,8832
2024-05-09,5023.18994140625,5262.9501953125,5452.9501953125,5225.0498046875,5414.75,11103
2024-05-10,5000.8564453125,5239.5498046875,5286.64990234375,5220.0498046875,5264.9501953125,5752
2024-05-13,4980.28759765625,5218.0,5269.7001953125,5153.2001953125,5239.5498046875,11434
2024-05-14,5059.88818359375,5301.39990234375,5348.0,5234.0,5291.0,7296
2024-05-15,5157.2900390625,5403.4501953125,5494.0,5278.0498046875,5301.4501953125,33760
2024-05-16,5128.9423828125,5373.75,5650.0,5279.0,5422.85009765625,68399
2024-05-17,5273.58837890625,5525.2998046875,5648.14990234375,5400.0,5400.0,73472
2024-05-21,5457.17529296875,5717.64990234375,5735.0,5491.75,5650.0,23363
2024-05-22,5368.5078125,5624.75,5752.5,5584.0498046875,5730.0,44491
2024-05-23,5336.3916015625,5591.10009765625,5673.60009765625,5540.0498046875,5627.0,7213
2024-05-24,5040.41796875,5281.0,5389.9501953125,5264.0,5389.64990234375,69273
2024-05-27,4958.240234375,5194.89990234375,5296.7998046875,5180.0,5281.0,16151
2024-05-28,4988.73486328125,5226.85009765625,5265.5,5151.0,5201.0,11008
2024-05-29,4768.544921875,4996.14990234375,5294.9501953125,4950.10009765625,5244.0,58076
2024-05-30,4808.24951171875,5037.75,5100.0,5000.0,5020.0,20972
2024-05-31,4799.56396484375,5028.64990234375,5075.9501953125,4949.0,5057.0,27012
2024-06-03,4930.0361328125,5165.35009765625,5225.0,5076.2001953125,5100.0,16592
2024-06-04,4866.66162109375,5098.9501953125,5173.0498046875,4926.60009765625,5150.0,21564
2024-06-05,5048.005859375,5288.9501953125,5300.0,5085.5498046875,5098.9501953125,22926
2024-06-06,5275.02001953125,5526.7998046875,5567.0,5302.0,5304.85009765625,52780
2024-06-07,5439.4228515625,5699.0498046875,5718.0,5480.0,5522.5498046875,33415
2024-06-10,5642.57666015625,5911.89990234375,5993.60009765625,5620.0498046875,5699.10009765625,45129
2024-06-11,5789.13134765625,6065.4501953125,6129.0,5890.0,5890.0,46737
2024-06-12,5803.49560546875,6080.5,6157.0,6000.0,6070.10009765625,50156
2024-06-13,5854.65380859375,6134.10009765625,6180.0,6066.0,6080.0,23731
2024-06-14,5829.4560546875,6107.7001953125,6151.25,5980.0,6145.0,32483
2024-06-18,5852.36328125,6131.7001953125,6280.0,6068.14990234375,6139.7998046875,36010
2024-06-19,5885.578125,6166.5,6197.7001953125,6114.60009765625,6138.5498046875,27800
2024-06-20,5927.85986328125,6210.7998046875,6235.0,6100.0,6168.2998046875,18701
2024-06-21,6216.53173828125,6513.25,6670.0,6250.0,6250.0,301098
2024-06-24,6295.177734375,6595.64990234375,6655.0,6280.9501953125,6496.9501953125,69193
2024-06-25,6076.3232421875,6366.35009765625,6578.9501953125,6322.60009765625,6504.0,37603
2024-06-26,6244.4482421875,6542.5,6569.85009765625,6301.0,6416.0,36423
2024-06-27,6350.7734375,6653.89990234375,6825.0,6502.2001953125,6507.9501953125,107441
2024-06-28,6406.60888671875,6712.39990234375,6820.0,6551.0,6700.0,27831
2024-07-01,6388.7607421875,6693.7001953125,6976.89990234375,6655.0,6714.0,63292
2024-07-02,6240.296875,6538.14990234375,6730.75,6502.2998046875,6697.0498046875,30563
2024-07-03,6159.59912109375,6453.60009765625,6698.0,6402.0,6615.0498046875,47549
2024-07-04,6269.8369140625,6569.10009765625,6598.0,6446.0,6522.25,22561
2024-07-05,6268.07080078125,6567.25,6588.0,6500.0498046875,6565.7998046875,13851
2024-07-08,6343.7109375,6646.5,6679.4501953125,6568.0,6568.0,14753
2024-07-09,6319.56396484375,6621.2001953125,6709.2998046875,6555.5498046875,6666.0,35218
2024-07-10,6289.1650390625,6589.35009765625,6655.9501953125,6483.7998046875,6623.10009765625,22871
2024-07-11,6288.591796875,6588.75,6625.75,6515.0,6589.35009765625,194767
2024-07-12,6260.67431640625,6559.5,6617.5,6530.0,6590.7001953125,6406
2024-07-15,6283.0078125,6582.89990234375,6655.0,6500.0,6587.7001953125,81141
2024-07-16,6297.32470703125,6597.89990234375,6630.0,6541.2001953125,6597.2998046875,11289
2024-07-18,6340.3701171875,6643.0,6754.4501953125,6540.0,6612.39990234375,43670
2024-07-19,6232.08837890625,6529.5498046875,6666.0498046875,6484.0,6651.60009765625,31491
2024-07-22,6400.357421875,6705.85009765625,6804.64990234375,6370.0,6520.0,132818
2024-07-23,6387.09033203125,6691.9501953125,6774.2001953125,6500.10009765625,6741.10009765625,77781
2024-07-24,6325.43310546875,6627.35009765625,6740.0,6577.10009765625,6722.0,39008
2024-07-25,6323.71533203125,6625.5498046875,6666.10009765625,6600.5,6627.35009765625,41264
2024-07-26,6320.80419921875,6622.5,6699.9501953125,6568.60009765625,6627.5,54559
2024-07-29,6629.08935546875,6945.5,7061.25,6632.39990234375,6657.39990234375,76980
2024-07-30,6630.80712890625,6947.2998046875,7025.0,6817.10009765625,7025.0,24592
2024-07-31,6639.58837890625,6956.5,7103.7001953125,6909.10009765625,6968.89990234375,44482
2024-08-01,6606.3017578125,6886.7998046875,7024.10009765625,6845.10009765625,6911.0,9916
2024-08-02,6594.55078125,6874.5498046875,6969.4501953125,6741.0,6827.0,16355
2024-08-05,6367.10791015625,6637.4501953125,6800.0,6560.0,6800.0,18053
2024-08-06,6496.60986328125,6772.4501953125,6820.0,6637.0,6637.0,16177
2024-08-07,6661.5556640625,6944.39990234375,6989.5,6739.2001953125,6767.7001953125,25919
2024-08-08,6642.51416015625,6924.5498046875,7196.85009765625,6903.35009765625,6960.0,32360
2024-08-09,6329.84033203125,6598.60009765625,6649.0,6350.0,6350.0,209303
2024-08-12,6110.21533203125,6369.64990234375,6620.0,6321.85009765625,6600.0,29973
2024-08-13,5960.95263671875,6214.0498046875,6456.0,6197.60009765625,6455.5498046875,22560
2024-08-14,5969.20263671875,6222.64990234375,6315.0,6167.7998046875,6200.0,21953
2024-08-16,5907.857421875,6158.7001953125,6333.25,6044.0,6230.10009765625,49232
2024-08-19,5937.16259765625,6189.25,6252.5,6140.0,6200.0,50366
2024-08-20,5971.552734375,6225.10009765625,6301.0,6188.4501953125,6202.85009765625,117919
2024-08-21,6105.13134765625,6364.35009765625,6415.4501953125,6250.0498046875,6267.75,57252
