date_,adj close_srf.ns,close_srf.ns,high_srf.ns,low_srf.ns,open_srf.ns,volume_srf.ns
2024-01-16,2345.16259765625,2358.14990234375,2368.39990234375,2343.75,2350.0,471010
2024-01-17,2296.8798828125,2309.60009765625,2359.89990234375,2305.0,2348.85009765625,323931
2024-01-18,2281.41552734375,2294.050048828125,2317.0,2261.14990234375,2316.60009765625,328660
2024-01-19,2296.282958984375,2309.0,2342.800048828125,2297.60009765625,2315.0,514147
2024-01-23,2241.6357421875,2254.050048828125,2295.949951171875,2235.5,2294.949951171875,463257
2024-01-24,2272.36572265625,2284.949951171875,2299.39990234375,2255.5,2271.89990234375,485502
2024-01-25,2256.40380859375,2268.89990234375,2302.0,2263.39990234375,2296.0,432584
2024-01-29,2234.22705078125,2246.60009765625,2282.0,2230.0,2270.0,901880
2024-01-30,2210.11083984375,2222.35009765625,2263.25,2210.0,2250.0,365829
2024-01-31,2312.29443359375,2325.10009765625,2333.199951171875,2215.0,2215.0,2855586
2024-02-01,2295.736083984375,2308.449951171875,2324.949951171875,2279.0,2320.0,1374086
2024-02-02,2305.8798828125,2318.64990234375,2325.0,2302.0,2324.89990234375,701436
2024-02-05,2238.7021484375,2251.10009765625,2315.35009765625,2245.0,2315.0,429402
2024-02-06,2271.172119140625,2283.75,2293.199951171875,2249.199951171875,2250.0,529792
2024-02-07,2286.013916015625,2295.050048828125,2309.0,2263.050048828125,2295.050048828125,1464373
2024-02-08,2286.8603515625,2295.89990234375,2326.199951171875,2283.050048828125,2299.949951171875,240843
2024-02-09,2289.499755859375,2298.550048828125,2307.0,2263.89990234375,2304.0,209506
2024-02-12,2277.497314453125,2286.5,2322.35009765625,2266.699951171875,2303.0,163430
2024-02-13,2314.2021484375,2323.35009765625,2326.949951171875,2258.25,2299.0,297034
2024-02-14,2348.864990234375,2358.14990234375,2364.0,2297.699951171875,2314.050048828125,389910
2024-02-15,2341.295166015625,2350.550048828125,2375.0,2346.699951171875,2370.0,211040
2024-02-16,2370.728759765625,2380.10009765625,2403.0,2351.75,2355.75,383890
