date_,adj close_vtl.ns,close_vtl.ns,high_vtl.ns,low_vtl.ns,open_vtl.ns,volume_vtl.ns
2024-01-16,397.411865234375,405.3500061035156,411.95001220703125,396.70001220703125,409.0,217366
2024-01-17,392.2646484375,400.1000061035156,405.8500061035156,397.29998779296875,400.0,205367
2024-01-18,393.5391845703125,401.3999938964844,404.6000061035156,388.6499938964844,401.0,157798
2024-01-19,388.6370849609375,396.3999938964844,404.1499938964844,392.8999938964844,402.95001220703125,202750
2024-01-23,384.42132568359375,392.1000061035156,401.8999938964844,387.3999938964844,401.5,202693
2024-01-24,386.5292053222656,394.25,415.0,385.0,396.79998779296875,1570080
2024-01-25,389.2743835449219,397.04998779296875,402.95001220703125,392.70001220703125,394.0,343711
2024-01-29,393.9803771972656,401.8500061035156,404.5,395.8500061035156,398.3999938964844,243197
2024-01-30,386.9704284667969,394.70001220703125,407.45001220703125,393.04998779296875,403.8999938964844,253368
2024-01-31,419.42218017578125,427.79998779296875,429.95001220703125,395.70001220703125,396.70001220703125,3277732
2024-02-01,418.9319763183594,427.29998779296875,435.95001220703125,421.0,434.70001220703125,902896
2024-02-02,413.9318542480469,422.20001220703125,430.75,413.1000061035156,430.0,403102
2024-02-05,419.42218017578125,427.79998779296875,440.0,423.0,428.3999938964844,920368
2024-02-06,419.0790710449219,427.45001220703125,435.0,423.54998779296875,425.04998779296875,414576
2024-02-07,430.64794921875,439.25,440.0,429.1000061035156,430.25,707746
2024-02-08,436.3834228515625,445.1000061035156,453.79998779296875,441.95001220703125,442.0,982302
2024-02-09,433.7362365722656,442.3999938964844,451.0,428.54998779296875,449.95001220703125,414224
2024-02-12,414.814208984375,423.1000061035156,448.5,412.0,443.3999938964844,436622
2024-02-13,414.814208984375,423.1000061035156,431.04998779296875,410.29998779296875,425.0,304970
2024-02-14,434.1774597167969,442.8500061035156,449.70001220703125,415.0,420.5,344535
2024-02-15,425.5007629394531,434.0,446.5,429.3500061035156,445.1000061035156,290874
2024-02-16,435.4029846191406,444.1000061035156,447.5,430.0,435.79998779296875,289676
2024-02-19,437.0206604003906,445.75,455.95001220703125,441.75,450.04998779296875,371354
2024-02-20,434.1774597167969,442.8500061035156,453.6000061035156,440.3999938964844,446.0,202802
2024-02-21,429.7655944824219,438.3500061035156,451.8999938964844,434.04998779296875,446.0,263311
2024-02-22,424.7654724121094,433.25,441.25,430.54998779296875,439.95001220703125,161331
2024-02-23,426.3831481933594,434.8999938964844,437.20001220703125,427.5,435.3999938964844,163112
2024-02-26,431.5303039550781,440.1499938964844,444.6499938964844,430.6000061035156,434.0,195015
2024-02-27,434.5206298828125,443.20001220703125,445.0,434.6000061035156,444.95001220703125,248409
2024-02-28,420.4516296386719,428.8500061035156,444.79998779296875,425.3999938964844,440.1000061035156,240735
2024-02-29,420.3045654296875,428.70001220703125,432.6000061035156,425.1499938964844,430.0,643275
2024-03-01,421.38299560546875,429.79998779296875,433.6499938964844,428.0,431.95001220703125,155856
2024-03-04,422.3634033203125,430.79998779296875,434.1499938964844,425.8999938964844,429.0,383737
2024-03-05,432.5107421875,441.1499938964844,446.54998779296875,427.04998779296875,430.79998779296875,163043
2024-03-06,426.03997802734375,434.54998779296875,439.95001220703125,427.29998779296875,437.1000061035156,200259
2024-03-07,433.49114990234375,442.1499938964844,444.45001220703125,429.79998779296875,431.0,283158
2024-03-11,425.7948913574219,434.29998779296875,445.0,431.6000061035156,444.3999938964844,144333
2024-03-12,419.71630859375,428.1000061035156,435.3500061035156,425.0,434.3500061035156,271056
2024-03-13,395.8431701660156,403.75,429.0,396.0,429.0,348208
2024-03-14,418.04962158203125,426.3999938964844,435.0,400.0,400.0,199701
2024-03-15,411.9219665527344,420.1499938964844,425.95001220703125,409.3500061035156,425.95001220703125,230260
2024-03-18,411.87298583984375,420.1000061035156,424.95001220703125,411.3500061035156,420.0,210550
2024-03-19,419.3731689453125,427.75,433.0,412.3999938964844,422.0,209796
2024-03-20,418.14764404296875,426.5,433.6000061035156,418.0,426.75,173630
2024-03-21,424.5693359375,433.04998779296875,434.04998779296875,424.0,427.0,128348
2024-03-22,430.69696044921875,439.29998779296875,440.1000061035156,427.6000061035156,433.04998779296875,183297
2024-03-26,432.755859375,441.3999938964844,444.1000061035156,429.25,439.29998779296875,162869
2024-03-27,425.1575927734375,433.6499938964844,441.75,428.6000061035156,441.75,109454
2024-03-28,433.6382141113281,442.29998779296875,446.0,429.3500061035156,433.0,198534
2024-04-01,432.3636779785156,441.0,452.79998779296875,435.3500061035156,449.5,165527
2024-04-02,435.795166015625,444.5,453.20001220703125,438.1499938964844,445.6499938964844,162089
2024-04-03,436.04022216796875,444.75,448.95001220703125,440.54998779296875,444.5,84208
2024-04-04,447.21697998046875,456.1499938964844,469.8500061035156,446.0,449.0,1182575
2024-04-05,433.83428955078125,442.5,457.25,436.1000061035156,451.1499938964844,257250
2024-04-08,440.59918212890625,449.3999938964844,450.79998779296875,443.5,444.8500061035156,126880
2024-04-09,447.1189270019531,456.04998779296875,457.3999938964844,446.1000061035156,451.20001220703125,154569
2024-04-10,455.50152587890625,464.6000061035156,466.70001220703125,453.1499938964844,464.70001220703125,315237
2024-04-12,460.4035949707031,469.6000061035156,475.0,457.0,464.6000061035156,340511
2024-04-15,455.25640869140625,464.3500061035156,469.0,445.25,461.0,198084
2024-04-16,457.11920166015625,466.25,470.5,457.3999938964844,462.45001220703125,162811
2024-04-18,461.580078125,470.79998779296875,475.5,457.25,466.25,310669
2024-04-19,450.4033508300781,459.3999938964844,469.04998779296875,457.25,469.04998779296875,124855
2024-04-22,445.25616455078125,454.1499938964844,466.5,452.0,459.1000061035156,118562
2024-04-23,450.6484680175781,459.6499938964844,465.25,453.8500061035156,454.0,117394
