date_,adj close_powerindia.ns,close_powerindia.ns,high_powerindia.ns,low_powerindia.ns,open_powerindia.ns,volume_powerindia.ns
2024-01-16,5913.8037109375,5917.60009765625,6024.2998046875,5881.0,5900.0,63158
2024-01-17,5866.4345703125,5870.2001953125,6025.0,5815.0,5887.60009765625,58227
2024-01-18,5935.54052734375,5939.35009765625,6015.5,5790.0498046875,5863.0,23546
2024-01-19,6127.6162109375,6131.5498046875,6280.0,5961.0,5961.0,37459
2024-01-23,5798.82763671875,5802.5498046875,6138.35009765625,5780.0,6094.14990234375,32347
2024-01-24,5669.66015625,5673.2998046875,5699.0,5465.5498046875,5686.5,143108
2024-01-25,5885.72216796875,5889.5,6042.7001953125,5673.0498046875,5673.0498046875,45826
2024-01-29,5777.44140625,5781.14990234375,6035.0,5760.0,6000.10009765625,13022
2024-01-30,5610.8486328125,5614.4501953125,5850.0,5590.0,5832.9501953125,21545
2024-01-31,5926.0458984375,5929.85009765625,5946.0,5614.5,5614.5,33885
2024-02-01,5700.791015625,5704.4501953125,5970.0498046875,5679.9501953125,5970.0,25155
2024-02-02,5742.26416015625,5745.9501953125,5840.7001953125,5665.0,5788.0,14882
2024-02-05,6186.6787109375,6190.64990234375,6275.0,5715.39990234375,5772.0,71916
2024-02-06,6143.556640625,6147.5,6520.0,6080.0,6225.0,83838
2024-02-07,6248.78857421875,6252.7998046875,6379.9501953125,6192.10009765625,6200.5,26840
2024-02-08,6245.890625,6249.89990234375,6418.0,6211.35009765625,6288.0,21718
2024-02-09,6186.62890625,6190.60009765625,6298.0,6034.5,6287.89990234375,54047
2024-02-12,6004.5458984375,6008.39990234375,6298.0,5970.0498046875,6198.0,45076
2024-02-13,5948.18212890625,5952.0,6027.0,5850.7998046875,6027.0,53170
2024-02-14,5871.38134765625,5875.14990234375,5995.9501953125,5850.0,5952.64990234375,34315
2024-02-15,5858.03955078125,5861.7998046875,6019.9501953125,5825.35009765625,5904.5,31355
2024-02-16,5977.013671875,5980.85009765625,6070.0,5872.14990234375,5872.14990234375,28877
2024-02-19,6209.6142578125,6213.60009765625,6250.0,5976.4501953125,5979.4501953125,41745
2024-02-20,6099.43505859375,6103.35009765625,6298.0,6061.5,6230.2001953125,11821
2024-02-21,5853.392578125,5857.14990234375,6270.0,5812.0,6135.5,33344
2024-02-22,5815.6669921875,5819.39990234375,5897.9501953125,5737.9501953125,5888.0,43015
2024-02-23,5892.8671875,5896.64990234375,5990.0,5805.0,5844.9501953125,47481
2024-02-26,5877.427734375,5881.2001953125,5950.0,5841.5,5925.0,11821
2024-02-27,5852.44384765625,5856.2001953125,6040.0,5815.60009765625,5904.4501953125,21526
2024-02-28,5910.1064453125,5913.89990234375,5951.7001953125,5810.10009765625,5871.60009765625,22126
2024-02-29,6000.3486328125,6004.2001953125,6050.0,5853.5,5949.89990234375,17650
2024-03-01,6076.6494140625,6080.5498046875,6116.0,6005.0498046875,6046.5498046875,26232
2024-03-04,6097.98583984375,6101.89990234375,6243.75,6048.0498046875,6134.2998046875,71924
2024-03-05,6323.24072265625,6327.2998046875,6412.85009765625,6116.10009765625,6132.39990234375,242731
2024-03-06,6286.46484375,6290.5,6457.2998046875,6113.4501953125,6365.0,38608
2024-03-07,6544.59912109375,6548.7998046875,6596.0,6299.0498046875,6299.0498046875,34922
2024-03-11,6517.41650390625,6521.60009765625,6800.0,6481.5,6620.0,65104
2024-03-12,6464.9501953125,6469.10009765625,6637.7998046875,6363.75,6582.25,30449
2024-03-13,6366.86328125,6370.9501953125,6549.7001953125,6271.10009765625,6500.0,41320
2024-03-14,6713.79052734375,6718.10009765625,6790.0,6300.0,6335.85009765625,58349
2024-03-15,6630.09423828125,6634.35009765625,6875.0,6500.0,6750.0,40094
2024-03-18,6499.2783203125,6503.4501953125,6698.0,6440.0,6698.0,27799
2024-03-19,6496.87939453125,6501.0498046875,6635.35009765625,6480.0498046875,6516.2998046875,17218
2024-03-20,6657.67626953125,6661.9501953125,6749.9501953125,6328.0,6546.89990234375,31354
2024-03-21,7237.3544921875,7242.0,7450.0,6680.0,6680.0,159934
2024-03-22,7174.14501953125,7178.75,7376.5,7094.89990234375,7240.0,71744
2024-03-26,6980.869140625,6985.35009765625,7183.60009765625,6951.0,6952.0,44066
2024-03-27,6999.806640625,7004.2998046875,7077.10009765625,6885.35009765625,6985.0,36568
2024-03-28,6967.22802734375,6971.7001953125,7148.0,6938.9501953125,7032.89990234375,24215
2024-04-01,7019.44482421875,7023.9501953125,7249.9501953125,6954.5,7033.25,34316
2024-04-02,6856.44873046875,6860.85009765625,7130.0,6842.0,7079.60009765625,23813
2024-04-03,6920.90771484375,6925.35009765625,6953.0,6825.64990234375,6867.9501953125,17580
2024-04-04,6872.43896484375,6876.85009765625,7040.0498046875,6851.7001953125,6915.0498046875,20186
2024-04-05,7118.6806640625,7123.25,7222.14990234375,6814.39990234375,6861.2001953125,59151
2024-04-08,7535.81298828125,7540.64990234375,7581.0,7145.10009765625,7145.10009765625,84077
2024-04-09,7732.48681640625,7737.4501953125,7879.4501953125,7550.0498046875,7550.0498046875,122273
2024-04-10,7488.29345703125,7493.10009765625,7845.2998046875,7470.0498046875,7785.14990234375,51557
2024-04-12,7339.13916015625,7343.85009765625,7583.5,7291.14990234375,7514.7998046875,44029
2024-04-15,7194.33251953125,7198.9501953125,7380.0,7080.0498046875,7234.60009765625,29444
2024-04-16,7557.298828125,7562.14990234375,7629.5,7198.9501953125,7199.0,59916
2024-04-18,8283.232421875,8288.5498046875,8400.0,7624.7001953125,7624.7001953125,224896
2024-04-19,8244.3076171875,8249.599609375,8500.0,8030.0,8280.0498046875,182607
2024-04-22,8126.18359375,8131.39990234375,8324.650390625,8081.0,8284.9501953125,42015
