date_,adj close_starhealth.ns,close_starhealth.ns,high_starhealth.ns,low_starhealth.ns,open_starhealth.ns,volume_starhealth.ns
2024-01-16,558.2999877929688,558.2999877929688,560.5499877929688,551.0,555.0999755859375,1017657
2024-01-17,557.0499877929688,557.0499877929688,558.2999877929688,549.0499877929688,555.5999755859375,719810
2024-01-18,568.6500244140625,568.6500244140625,572.5999755859375,548.0,554.9500122070312,1937551
2024-01-19,565.75,565.75,576.75,562.5,574.0,850018
2024-01-23,564.2000122070312,564.2000122070312,572.5,555.2000122070312,572.5,1173122
2024-01-24,557.6500244140625,557.6500244140625,563.4500122070312,551.7000122070312,562.0,700990
2024-01-25,555.75,555.75,560.0499877929688,550.0999755859375,556.0999755859375,2772198
2024-01-29,557.2999877929688,557.2999877929688,561.0,552.0,558.7999877929688,1183461
2024-01-30,565.3499755859375,565.3499755859375,570.8499755859375,554.0,560.0,698989
2024-01-31,578.8499755859375,578.8499755859375,590.0,566.1500244140625,574.0,2020828
2024-02-01,583.7999877929688,583.7999877929688,595.0,572.0,579.9500122070312,1496623
2024-02-02,573.7999877929688,573.7999877929688,589.6500244140625,567.3499755859375,584.7000122070312,653453
2024-02-05,574.2999877929688,574.2999877929688,575.75,566.5999755859375,573.7999877929688,498332
2024-02-06,573.1500244140625,573.1500244140625,581.0,567.0,578.5999755859375,512484
2024-02-07,572.8499755859375,572.8499755859375,577.1500244140625,569.0,576.2999877929688,455031
2024-02-08,561.6500244140625,561.6500244140625,577.0,556.9000244140625,577.0,442372
2024-02-09,555.5,555.5,567.5,553.2000122070312,562.75,1252885
2024-02-12,553.0,553.0,563.4500122070312,550.2999877929688,558.5499877929688,415923
2024-02-13,550.9500122070312,550.9500122070312,554.5,539.25,552.5,340447
2024-02-14,551.2000122070312,551.2000122070312,561.9000244140625,542.5999755859375,550.0,174868
2024-02-15,555.3499755859375,555.3499755859375,564.6500244140625,546.9000244140625,554.0,474094
2024-02-16,550.0499877929688,550.0499877929688,553.9500122070312,547.0499877929688,547.0499877929688,1836636
2024-02-19,562.7999877929688,562.7999877929688,579.5999755859375,559.2999877929688,568.0,1456672
2024-02-20,566.1500244140625,566.1500244140625,571.7999877929688,559.2000122070312,566.5,177263
2024-02-21,564.6500244140625,564.6500244140625,572.8499755859375,562.25,566.1500244140625,700395
2024-02-22,559.7000122070312,559.7000122070312,565.0,554.4000244140625,565.0,380611
2024-02-23,563.5,563.5,564.7999877929688,556.2999877929688,562.0,221254
2024-02-26,576.2000122070312,576.2000122070312,582.0,569.5999755859375,576.0,807255
2024-02-27,579.3499755859375,579.3499755859375,582.9000244140625,573.3499755859375,578.1500244140625,792054
2024-02-28,568.2999877929688,568.2999877929688,585.0,564.6500244140625,582.5999755859375,256508
2024-02-29,561.5,561.5,576.0999755859375,558.4500122070312,568.2999877929688,1189570
2024-03-01,548.9500122070312,548.9500122070312,564.25,454.79998779296875,564.25,1490255
2024-03-04,558.0499877929688,558.0499877929688,567.9000244140625,550.25,567.0,633320
2024-03-05,554.9000244140625,554.9000244140625,559.0,552.0,558.0499877929688,270224
2024-03-06,553.6500244140625,553.6500244140625,556.2000122070312,539.0,554.9000244140625,467651
2024-03-07,549.2999877929688,549.2999877929688,555.4500122070312,543.0499877929688,552.5999755859375,428669
2024-03-11,556.5,556.5,558.5,548.5499877929688,549.2999877929688,266536
2024-03-12,549.9000244140625,549.9000244140625,558.5999755859375,543.0,557.0,284473
2024-03-13,545.5,545.5,555.5499877929688,534.0499877929688,550.0,447320
2024-03-14,550.0999755859375,550.0999755859375,551.0499877929688,533.0499877929688,540.0,430473
2024-03-15,557.5999755859375,557.5999755859375,560.0,543.0,550.0999755859375,390523
2024-03-18,552.9000244140625,552.9000244140625,557.5999755859375,547.9500122070312,557.5999755859375,145984
2024-03-19,542.0999755859375,542.0999755859375,550.0,516.9500122070312,550.0,9201824
2024-03-20,538.0499877929688,538.0499877929688,554.0,534.5999755859375,547.9500122070312,560832
2024-03-21,540.25,540.25,547.9500122070312,537.2000122070312,539.0,228144
2024-03-22,541.3499755859375,541.3499755859375,546.0,538.0,542.0,97492
2024-03-26,539.0999755859375,539.0999755859375,547.6500244140625,535.5,539.0,261516
