date_,adj close_hudco.ns,close_hudco.ns,high_hudco.ns,low_hudco.ns,open_hudco.ns,volume_hudco.ns
2024-01-16,125.3338394165039,131.5500030517578,139.0500030517578,128.14999389648438,133.60000610351562,30753838
2024-01-17,131.24087524414062,137.75,140.39999389648438,127.05000305175781,129.4499969482422,52876313
2024-01-18,131.19322204589844,137.6999969482422,139.5,129.39999389648438,137.9499969482422,29996826
2024-01-19,151.8678436279297,159.39999389648438,163.0,138.60000610351562,138.60000610351562,129698708
2024-01-23,142.81674194335938,149.89999389648438,169.6999969482422,148.0,169.4499969482422,44763598
2024-01-24,157.91778564453125,165.75,168.1999969482422,145.5500030517578,149.89999389648438,46968738
2024-01-25,155.82174682617188,163.5500030517578,169.1999969482422,161.0,165.9499969482422,26833648
2024-01-29,159.8709259033203,167.8000030517578,173.75,164.8000030517578,164.85000610351562,23711910
2024-01-30,156.5839385986328,164.35000610351562,172.89999389648438,162.1999969482422,169.39999389648438,20469228
2024-01-31,164.2059326171875,172.35000610351562,176.0,162.6999969482422,165.4499969482422,39070997
2024-02-01,196.17054748535156,205.89999389648438,206.8000030517578,172.0500030517578,173.5500030517578,185298230
2024-02-02,198.1713409423828,208.0,226.4499969482422,205.0,217.89999389648438,96631232
2024-02-05,191.83555603027344,201.35000610351562,217.89999389648438,190.9499969482422,209.5500030517578,34846849
2024-02-06,192.1213836669922,201.64999389648438,207.14999389648438,191.60000610351562,202.64999389648438,24221574
2024-02-07,188.54859924316406,197.89999389648438,208.0,196.5500030517578,202.60000610351562,12481080
2024-02-08,188.73915100097656,198.10000610351562,202.89999389648438,194.0,199.0,13945384
2024-02-09,190.6922607421875,200.14999389648438,206.60000610351562,182.4499969482422,198.6999969482422,31922898
2024-02-12,171.63731384277344,180.14999389648438,204.3000030517578,180.14999389648438,201.0,20600803
2024-02-13,171.63731384277344,180.14999389648438,185.75,164.5500030517578,170.0,40771765
2024-02-14,188.78677368164062,198.14999389648438,198.14999389648438,174.1999969482422,175.39999389648438,35168331
2024-02-15,193.97926330566406,203.60000610351562,207.8000030517578,194.10000610351562,203.10000610351562,32388546
2024-02-16,189.31077575683594,198.6999969482422,204.8000030517578,197.39999389648438,203.8000030517578,13102776
