date_,adj close_jyothylab.ns,close_jyothylab.ns,high_jyothylab.ns,low_jyothylab.ns,open_jyothylab.ns,volume_jyothylab.ns
2024-01-16,490.5094299316406,499.25,507.5,495.6000061035156,498.6499938964844,446813
2024-01-17,495.12713623046875,503.95001220703125,532.7000122070312,498.0,501.20001220703125,1983749
2024-01-18,509.47149658203125,518.5499877929688,526.0,503.0,503.6499938964844,1591118
2024-01-19,520.8192749023438,530.0999755859375,533.6500244140625,522.6500244140625,526.0,804092
2024-01-23,521.4088134765625,530.7000122070312,534.9500122070312,517.5499877929688,523.0,931754
2024-01-24,526.56689453125,535.9500122070312,554.0,526.9500122070312,538.0,2250831
2024-01-25,537.0303955078125,546.5999755859375,551.2999877929688,537.4500122070312,539.0,820300
2024-01-29,527.6967163085938,537.0999755859375,553.2000122070312,530.0999755859375,551.5499877929688,611783
2024-01-30,526.2721557617188,535.6500244140625,542.4500122070312,530.3499755859375,539.0,401609
2024-01-31,506.1310729980469,515.1500244140625,550.0,489.04998779296875,538.7999877929688,3933427
2024-02-01,499.302734375,508.20001220703125,534.9500122070312,500.3999938964844,516.9500122070312,2028888
2024-02-02,500.7764587402344,509.70001220703125,519.0,503.75,513.7999877929688,1312955
2024-02-05,487.5128173828125,496.20001220703125,514.4500122070312,490.54998779296875,512.0,934186
2024-02-06,489.87078857421875,498.6000061035156,501.95001220703125,495.1499938964844,498.8999938964844,600077
2024-02-07,483.68109130859375,492.29998779296875,509.79998779296875,489.5,504.79998779296875,371024
2024-02-08,453.6168518066406,461.70001220703125,497.70001220703125,457.0,497.20001220703125,954298
2024-02-09,437.7987060546875,445.6000061035156,466.0,443.5,464.1499938964844,1210738
2024-02-12,437.946044921875,445.75,467.6000061035156,440.0,445.75,1648048
2024-02-13,424.7806701660156,432.3500061035156,465.95001220703125,428.3999938964844,450.0,750223
2024-02-14,473.1684265136719,481.6000061035156,514.9000244140625,429.0,432.0,9760123
2024-02-15,458.72576904296875,466.8999938964844,482.0,465.1000061035156,476.5,1396475
2024-02-16,463.7364807128906,472.0,476.8999938964844,462.1499938964844,471.45001220703125,778106
2024-02-19,466.1927185058594,474.5,488.0,472.0,474.3500061035156,722077
2024-02-20,461.4767761230469,469.70001220703125,492.70001220703125,468.1000061035156,476.75,1495446
2024-02-21,463.1961364746094,471.45001220703125,480.0,467.6000061035156,472.25,837248
2024-02-22,462.7539978027344,471.0,474.20001220703125,466.6000061035156,473.6000061035156,522928
