date_,adj close_ultracemco.ns,close_ultracemco.ns,high_ultracemco.ns,low_ultracemco.ns,open_ultracemco.ns,volume_ultracemco.ns
2024-05-14,9543.20703125,9660.650390625,9699.5,9529.9501953125,9535.0498046875,171935
2024-05-15,9497.2216796875,9614.099609375,9693.150390625,9560.0,9691.0,161067
2024-05-16,9591.06640625,9709.099609375,9725.7001953125,9525.5,9630.599609375,368451
2024-05-17,9770.11328125,9890.349609375,9900.0,9685.25,9740.0,283850
2024-05-21,9670.390625,9789.400390625,9850.75,9762.0498046875,9826.0,346947
2024-05-22,9774.55859375,9894.849609375,9950.0,9822.25,9870.0,280237
2024-05-23,10046.90625,10170.5498046875,10199.849609375,9855.0,9905.150390625,521622
2024-05-24,10106.720703125,10231.099609375,10369.0,10122.5498046875,10165.0,519418
2024-05-27,10101.189453125,10225.5,10353.9501953125,10177.650390625,10277.9501953125,389326
2024-05-28,10055.15625,10178.900390625,10365.849609375,10146.4501953125,10264.0,403774
2024-05-29,9901.546875,10023.400390625,10177.9501953125,9961.0,10177.9501953125,317883
2024-05-30,9748.875,9868.849609375,10025.0,9830.0,10021.0,323424
2024-05-31,9794.9580078125,9915.5,10080.0,9750.099609375,9932.0,791072
2024-06-03,10342.765625,10470.0498046875,10519.7998046875,10216.349609375,10300.0,732632
2024-06-04,9797.7236328125,9918.2998046875,10498.5,9534.9501953125,10475.0,972018
2024-06-05,9916.06640625,10038.099609375,10070.0,9740.0,9989.9501953125,361720
2024-06-06,9932.7119140625,10054.9501953125,10176.5,9931.099609375,9995.0,483566
2024-06-07,10335.9501953125,10463.150390625,10505.0,9965.0,9965.0,545284
2024-06-10,10694.6357421875,10826.25,10907.9501953125,10463.150390625,10495.0,705256
2024-06-11,10800.630859375,10933.5498046875,10989.0,10826.25,10903.9501953125,650137
2024-06-12,10910.529296875,11044.7998046875,11099.9501953125,10871.5,10871.5,439143
2024-06-13,11037.9599609375,11173.7998046875,11299.0,10996.150390625,11250.0,602322
2024-06-14,11106.12109375,11242.7998046875,11271.0,11147.2998046875,11170.0,305318
2024-06-18,10983.875,11119.0498046875,11269.349609375,11051.650390625,11250.0,322724
2024-06-19,10861.876953125,10995.5498046875,11177.7001953125,10968.25,11150.0,659266
2024-06-20,10770.650390625,10903.2001953125,11173.900390625,10875.400390625,11008.900390625,445369
2024-06-21,10532.77734375,10662.400390625,10961.4501953125,10611.5498046875,10882.5,586745
2024-06-24,10654.875,10786.0,10845.0,10594.650390625,10717.5,276148
2024-06-25,10714.34375,10846.2001953125,11007.9501953125,10800.400390625,10801.9501953125,562075
2024-06-26,11007.6328125,11143.099609375,11261.0,10903.0,10907.7001953125,793197
2024-06-27,11574.2607421875,11716.7001953125,11874.9501953125,11269.0,11270.0,2339734
2024-06-28,11526.0537109375,11667.900390625,11779.0,11469.849609375,11699.900390625,684790
2024-07-01,11759.92578125,11904.650390625,12031.599609375,11667.900390625,11669.0,520339
2024-07-02,11709.841796875,11853.9501953125,12078.0,11800.0,11944.0,422173
2024-07-03,11727.7705078125,11872.099609375,11899.0,11761.9501953125,11855.25,206171
2024-07-04,11617.0830078125,11760.0498046875,11936.849609375,11721.5498046875,11885.0,227230
2024-07-05,11548.0341796875,11690.150390625,11824.5498046875,11620.25,11796.5498046875,425987
2024-07-08,11442.0869140625,11582.900390625,11714.7998046875,11530.0,11694.0,149210
2024-07-09,11537.80859375,11679.7998046875,11761.7001953125,11484.4501953125,11582.9501953125,530901
2024-07-10,11492.8125,11634.25,11739.7998046875,11470.0,11689.0,202406
2024-07-11,11414.4775390625,11554.9501953125,11640.0,11499.0,11599.0,366819
2024-07-12,11461.2509765625,11602.2998046875,11680.0,11470.0498046875,11554.0,366274
2024-07-15,11689.7890625,11833.650390625,11898.0,11661.900390625,11752.900390625,394470
2024-07-16,11516.9658203125,11658.7001953125,11907.0498046875,11631.900390625,11907.0498046875,556056
2024-07-18,11505.6552734375,11647.25,11683.849609375,11475.0,11650.0,731274
2024-07-19,11121.43359375,11258.2998046875,11645.0,11228.650390625,11645.0,514154
2024-07-22,11375.7041015625,11515.7001953125,11570.0,11231.2998046875,11289.900390625,573833
2024-07-23,11405.4375,11545.7998046875,11735.400390625,11329.099609375,11649.9501953125,525157
2024-07-24,11314.162109375,11453.400390625,11560.75,11355.650390625,11540.0,268139
2024-07-25,11302.40625,11441.5,11476.7998046875,11291.0,11418.0,254683
2024-07-26,11531.140625,11673.0498046875,11742.4501953125,11395.599609375,11441.5,333210
2024-07-29,11729.4501953125,11873.7998046875,11940.0,11673.0498046875,11680.0,496437
2024-07-30,11732.083984375,11806.4501953125,11858.0,11644.5,11858.0,438108
2024-07-31,11812.3251953125,11887.2001953125,11915.0,11750.349609375,11818.9501953125,322531
