date_,adj close_mphasis.ns,close_mphasis.ns,high_mphasis.ns,low_mphasis.ns,open_mphasis.ns,volume_mphasis.ns
2024-01-16,2498.511962890625,2603.5,2638.949951171875,2586.199951171875,2613.0,691337
2024-01-17,2521.064453125,2627.0,2643.300048828125,2549.949951171875,2555.0,379998
2024-01-18,2412.717041015625,2514.10009765625,2615.0,2480.60009765625,2615.0,692100
2024-01-19,2446.257568359375,2549.050048828125,2572.35009765625,2515.0,2542.89990234375,435734
2024-01-23,2431.046630859375,2533.199951171875,2600.0,2511.39990234375,2600.0,293638
2024-01-24,2462.284423828125,2565.75,2600.0,2502.0,2533.199951171875,234273
2024-01-25,2420.68212890625,2522.39990234375,2584.89990234375,2492.300048828125,2574.949951171875,534988
2024-01-29,2478.550537109375,2582.699951171875,2597.39990234375,2515.10009765625,2522.39990234375,557540
2024-01-30,2498.511962890625,2603.5,2638.64990234375,2575.0,2598.89990234375,1047150
2024-01-31,2493.713623046875,2598.5,2602.050048828125,2551.85009765625,2587.0,300418
2024-02-01,2495.297119140625,2600.14990234375,2630.0,2558.0,2594.0,558575
2024-02-02,2456.957763671875,2560.199951171875,2637.300048828125,2520.050048828125,2525.0,2414696
2024-02-05,2399.809326171875,2500.64990234375,2560.0,2492.050048828125,2560.0,814978
2024-02-06,2474.663818359375,2578.64990234375,2592.39990234375,2472.0,2498.0,885293
2024-02-07,2486.468017578125,2590.949951171875,2610.0,2545.0,2592.199951171875,390384
2024-02-08,2492.75390625,2597.5,2659.85009765625,2587.10009765625,2608.0,429043
2024-02-09,2484.884765625,2589.300048828125,2648.0,2550.550048828125,2580.0,413772
2024-02-12,2496.11279296875,2601.0,2652.5,2580.0,2580.0,1173812
2024-02-13,2522.5517578125,2628.550048828125,2632.949951171875,2552.10009765625,2614.699951171875,188101
2024-02-14,2456.622314453125,2559.85009765625,2604.699951171875,2521.550048828125,2604.699951171875,460554
2024-02-15,2599.373779296875,2708.60009765625,2725.0,2574.0,2574.0,1010278
2024-02-16,2688.959228515625,2801.949951171875,2818.699951171875,2696.10009765625,2708.60009765625,1103339
2024-02-19,2667.270751953125,2779.35009765625,2837.60009765625,2752.0,2820.0,743014
2024-02-20,2653.35546875,2764.85009765625,2822.0,2729.699951171875,2779.35009765625,332331
2024-02-21,2547.311279296875,2654.35009765625,2782.14990234375,2640.0,2766.949951171875,400996
2024-02-22,2589.633056640625,2698.449951171875,2723.949951171875,2655.35009765625,2680.89990234375,765173
2024-02-23,2617.607666015625,2727.60009765625,2785.0,2720.0,2739.0,373872
2024-02-26,2568.999755859375,2676.949951171875,2725.0,2628.0,2725.0,1081304
2024-02-27,2580.468017578125,2688.89990234375,2699.89990234375,2647.800048828125,2676.949951171875,373642
2024-02-28,2546.87939453125,2653.89990234375,2736.5,2622.0,2705.0,371605
2024-02-29,2511.8037109375,2617.35009765625,2654.89990234375,2581.39990234375,2653.89990234375,603665
2024-03-01,2511.70751953125,2617.25,2660.75,2600.0,2621.0,316488
2024-03-04,2495.72900390625,2600.60009765625,2657.0,2590.89990234375,2657.0,501243
2024-03-05,2441.60302734375,2544.199951171875,2608.64990234375,2530.0,2602.5,285581
2024-03-06,2421.4501953125,2523.199951171875,2534.699951171875,2461.0,2534.699951171875,447965
2024-03-07,2392.323974609375,2492.85009765625,2556.60009765625,2485.89990234375,2555.0,283798
2024-03-11,2370.107421875,2469.699951171875,2519.0,2442.050048828125,2519.0,552199
2024-03-12,2328.505859375,2426.35009765625,2503.5,2419.550048828125,2461.0,524536
2024-03-13,2279.51416015625,2375.300048828125,2460.800048828125,2348.050048828125,2439.050048828125,531757
2024-03-14,2382.439208984375,2482.550048828125,2498.89990234375,2335.050048828125,2365.0,961391
2024-03-15,2387.525634765625,2487.85009765625,2502.0,2455.85009765625,2469.050048828125,404952
2024-03-18,2362.573974609375,2461.85009765625,2518.0,2449.0,2490.0,550690
2024-03-19,2291.51025390625,2387.800048828125,2469.60009765625,2371.0,2460.0,320135
2024-03-20,2288.487060546875,2384.64990234375,2425.0,2366.550048828125,2380.5,444932
2024-03-21,2338.582275390625,2436.85009765625,2454.35009765625,2400.25,2424.0,332097
2024-03-22,2293.045654296875,2389.39990234375,2408.0,2306.0,2367.0,885281
2024-03-26,2281.529296875,2377.39990234375,2405.75,2364.0,2377.800048828125,548700
2024-03-27,2309.93603515625,2407.0,2448.0,2382.0,2392.949951171875,526025
2024-03-28,2291.750244140625,2388.050048828125,2421.0,2376.949951171875,2421.0,380516
2024-04-01,2362.47802734375,2461.75,2468.35009765625,2388.800048828125,2401.0,542188
2024-04-02,2368.907958984375,2468.449951171875,2472.5,2448.0,2460.0,158324
2024-04-03,2384.022705078125,2484.199951171875,2517.0,2441.699951171875,2455.10009765625,283686
2024-04-04,2413.0048828125,2514.39990234375,2528.949951171875,2476.5,2500.0,181472
2024-04-05,2409.358154296875,2510.60009765625,2523.699951171875,2489.5,2510.0,137970
2024-04-08,2355.232421875,2454.199951171875,2533.949951171875,2408.5,2519.800048828125,830250
2024-04-09,2358.207763671875,2457.300048828125,2529.0,2440.0,2464.0,318201
2024-04-10,2346.595458984375,2445.199951171875,2478.25,2439.050048828125,2465.0,477724
2024-04-12,2347.50732421875,2446.14990234375,2476.050048828125,2438.550048828125,2451.5,482559
2024-04-15,2297.748046875,2394.300048828125,2457.10009765625,2386.550048828125,2430.0,540342
2024-04-16,2214.92822265625,2308.0,2390.449951171875,2302.0,2379.949951171875,671182
2024-04-18,2242.23095703125,2336.449951171875,2391.449951171875,2317.699951171875,2365.35009765625,520011
2024-04-19,2188.34521484375,2280.300048828125,2325.050048828125,2274.0,2300.0,504287
2024-04-22,2147.079345703125,2237.300048828125,2298.949951171875,2228.449951171875,2296.949951171875,604348
2024-04-23,2153.077392578125,2243.550048828125,2261.85009765625,2236.0,2249.050048828125,475017
2024-04-24,2153.029296875,2243.5,2264.199951171875,2240.050048828125,2255.0,186524
2024-04-25,2139.40185546875,2229.300048828125,2255.0,2208.449951171875,2243.5,607132
2024-04-26,2205.427490234375,2298.10009765625,2372.39990234375,2240.0,2240.0,1906257
2024-04-29,2246.45361328125,2340.85009765625,2387.199951171875,2305.050048828125,2306.300048828125,726584
2024-04-30,2221.501953125,2314.85009765625,2371.5,2308.050048828125,2340.949951171875,383386
2024-05-02,2225.868408203125,2319.39990234375,2335.199951171875,2302.0,2310.14990234375,213301
