date_,adj close_crompton.ns,close_crompton.ns,high_crompton.ns,low_crompton.ns,open_crompton.ns,volume_crompton.ns
2024-02-26,283.5055236816406,288.04998779296875,293.0,286.29998779296875,292.95001220703125,1676422
2024-02-27,286.21209716796875,290.79998779296875,296.95001220703125,289.75,292.75,2971531
2024-02-28,287.1471252441406,291.75,295.6000061035156,289.6499938964844,291.79998779296875,5812712
2024-02-29,286.40899658203125,291.0,293.0,286.5,293.0,4760712
2024-03-01,291.08404541015625,295.75,297.0,291.25,292.3500061035156,2603483
2024-03-04,294.67645263671875,299.3999938964844,302.8500061035156,297.3999938964844,301.75,2551273
2024-03-05,290.0013732910156,294.6499938964844,300.95001220703125,293.6000061035156,300.95001220703125,1150650
2024-03-06,286.7042541503906,291.29998779296875,295.70001220703125,288.3500061035156,295.20001220703125,2981128
2024-03-07,286.0644836425781,290.6499938964844,296.70001220703125,289.95001220703125,291.5,1938855
2024-03-11,284.24365234375,288.79998779296875,293.1499938964844,288.0,291.8999938964844,593630
2024-03-12,281.48785400390625,286.0,290.79998779296875,285.25,289.0,1936402
2024-03-13,272.7774658203125,277.1499938964844,289.3999938964844,274.54998779296875,287.25,4668709
2024-03-14,274.7951354980469,279.20001220703125,284.29998779296875,275.8500061035156,277.1499938964844,2216147
2024-03-15,271.1535339355469,275.5,285.79998779296875,274.3500061035156,281.75,3406199
2024-03-18,267.4626770019531,271.75,278.25,268.20001220703125,277.45001220703125,4738220
2024-03-19,262.78759765625,267.0,273.5,266.29998779296875,272.0,2180704
2024-03-20,260.7207336425781,264.8999938964844,268.0,262.25,268.0,5153884
2024-03-21,265.4942321777344,269.75,270.6499938964844,266.5,268.0,2874783
2024-03-22,265.10052490234375,269.3500061035156,271.70001220703125,261.25,268.75,11215203
2024-03-26,266.7245178222656,271.0,272.70001220703125,269.54998779296875,271.3500061035156,3867946
2024-03-27,261.4096984863281,265.6000061035156,271.5,264.5,271.0,6728331
2024-03-28,263.27972412109375,267.5,268.8999938964844,263.5,266.1000061035156,2999646
2024-04-01,265.8879089355469,270.1499938964844,272.0,268.95001220703125,272.0,1743700
2024-04-02,275.1888427734375,279.6000061035156,283.0,270.75,272.0,10254553
2024-04-03,276.369873046875,280.79998779296875,285.25,277.5,281.79998779296875,5481815
2024-04-04,276.2222595214844,280.6499938964844,282.8999938964844,278.5,282.0,1743788
2024-04-05,276.6159362792969,281.04998779296875,283.5,278.8500061035156,280.5,2996712
2024-04-08,285.62158203125,290.20001220703125,291.6000061035156,282.20001220703125,282.5,7475183
2024-04-09,282.17681884765625,286.70001220703125,293.0,286.0,293.0,2868821
2024-04-10,285.81842041015625,290.3999938964844,291.1000061035156,285.6000061035156,288.04998779296875,1418203
2024-04-12,294.2335510253906,298.95001220703125,301.0,284.5,284.6000061035156,9741673
2024-04-15,287.5900573730469,292.20001220703125,299.29998779296875,290.95001220703125,296.0,8578221
2024-04-16,284.9326171875,289.5,294.3500061035156,287.45001220703125,291.0,2331311
2024-04-18,293.052490234375,297.75,300.0,290.70001220703125,290.75,7881121
2024-04-19,292.363525390625,297.04998779296875,300.6499938964844,292.54998779296875,297.8500061035156,7287089
2024-04-22,302.3534240722656,307.20001220703125,309.6000061035156,298.1000061035156,300.0,6505420
2024-04-23,303.091552734375,307.95001220703125,311.6499938964844,302.95001220703125,308.6000061035156,4924806
2024-04-24,306.9792175292969,311.8999938964844,314.8999938964844,308.75,310.0,4572140
2024-04-25,304.8631591796875,309.75,312.8500061035156,306.79998779296875,311.95001220703125,5648355
2024-04-26,308.5539855957031,313.5,317.3500061035156,307.79998779296875,310.0,2939140
2024-04-29,309.29217529296875,314.25,315.70001220703125,312.0,315.0,946710
2024-04-30,313.3766784667969,318.3999938964844,319.3500061035156,314.5,315.0,3199162
2024-05-02,318.9375305175781,324.04998779296875,331.45001220703125,320.0,321.3500061035156,8599222
2024-05-03,320.3154602050781,325.45001220703125,329.75,321.6499938964844,326.29998779296875,2525330
2024-05-06,318.3470153808594,323.45001220703125,334.0,321.04998779296875,327.0,4928259
2024-05-07,317.11676025390625,322.20001220703125,326.8999938964844,317.79998779296875,324.79998779296875,2846103
2024-05-08,334.63592529296875,340.0,342.5,319.5,322.5,13023406
2024-05-09,330.5021667480469,335.79998779296875,345.20001220703125,334.25,341.70001220703125,7431822
2024-05-10,324.69525146484375,329.8999938964844,339.45001220703125,325.54998779296875,335.45001220703125,4004683
2024-05-13,321.4965515136719,326.6499938964844,330.8999938964844,320.1499938964844,330.75,2076617
2024-05-14,327.8939514160156,333.1499938964844,334.29998779296875,324.45001220703125,327.95001220703125,2337229
2024-05-15,332.7658996582031,338.1000061035156,339.8999938964844,330.79998779296875,332.95001220703125,4231184
2024-05-16,333.7501220703125,339.1000061035156,339.75,332.6000061035156,339.6000061035156,2777003
2024-05-17,385.71710205078125,391.8999938964844,398.79998779296875,350.5,350.5,51087530
2024-05-21,384.48681640625,390.6499938964844,403.70001220703125,388.3999938964844,399.0,7962200
2024-05-22,383.1089172363281,389.25,394.8999938964844,386.0,389.0,3717542
2024-05-23,387.53790283203125,393.75,394.75,385.8500061035156,390.0,3362910
2024-05-24,386.5536804199219,392.75,399.6000061035156,390.1000061035156,394.5,2395863
2024-05-27,382.2231140136719,388.3500061035156,399.0,387.1000061035156,392.75,1381409
2024-05-28,384.142333984375,390.29998779296875,392.8500061035156,384.04998779296875,388.3500061035156,1842448
2024-05-29,387.685546875,393.8999938964844,401.79998779296875,385.29998779296875,389.0,2848260
2024-05-30,385.17578125,391.3500061035156,396.20001220703125,388.0,394.8999938964844,1573895
2024-05-31,386.06158447265625,392.25,393.8500061035156,389.0,392.0,1667055
2024-06-03,389.407958984375,395.6499938964844,402.0,390.6000061035156,400.95001220703125,1995891
2024-06-04,370.8553161621094,376.79998779296875,399.54998779296875,358.0,396.29998779296875,3602304
