date_,adj close_lauruslabs.ns,close_lauruslabs.ns,high_lauruslabs.ns,low_lauruslabs.ns,open_lauruslabs.ns,volume_lauruslabs.ns
2024-01-16,413.1693115234375,414.79998779296875,422.95001220703125,411.25,422.95001220703125,1180677
2024-01-17,410.08154296875,411.70001220703125,415.8999938964844,406.5,414.79998779296875,1214218
2024-01-18,413.4183349609375,415.04998779296875,417.20001220703125,400.95001220703125,411.70001220703125,1619529
2024-01-19,410.57952880859375,412.20001220703125,419.75,411.1000061035156,415.25,1425537
2024-01-23,397.3816223144531,398.95001220703125,408.6000061035156,394.3999938964844,402.95001220703125,1410373
2024-01-24,399.3239440917969,400.8999938964844,409.8500061035156,395.0,401.6499938964844,3486729
2024-01-25,377.3108215332031,378.79998779296875,386.79998779296875,360.8500061035156,360.8500061035156,22793886
2024-01-29,372.72894287109375,374.20001220703125,383.0,371.29998779296875,378.79998779296875,2807796
2024-01-30,368.84423828125,370.29998779296875,377.29998779296875,368.29998779296875,377.0,2247421
2024-01-31,379.850830078125,381.3500061035156,384.0,370.8999938964844,372.0,2603015
2024-02-01,387.7197570800781,389.25,391.75,379.70001220703125,381.3500061035156,2427481
2024-02-02,391.0566101074219,392.6000061035156,395.25,388.5,389.8999938964844,1640723
2024-02-05,385.2793884277344,386.79998779296875,395.79998779296875,385.0,392.0,873002
2024-02-06,397.0827941894531,398.6499938964844,399.8999938964844,386.79998779296875,387.1499938964844,1418481
2024-02-07,397.0827941894531,398.6499938964844,402.6499938964844,396.29998779296875,400.79998779296875,629806
2024-02-08,393.4969177246094,395.04998779296875,399.8999938964844,393.54998779296875,398.70001220703125,650046
2024-02-09,390.95697021484375,392.5,396.0,386.0,396.0,853538
2024-02-12,389.36328125,390.8999938964844,403.70001220703125,388.5,394.04998779296875,1426972
2024-02-13,390.85736083984375,392.3999938964844,394.25,385.5,392.45001220703125,1198771
2024-02-14,390.2099304199219,391.75,394.5,387.5,390.5,699188
2024-02-15,391.0068054199219,392.54998779296875,398.6499938964844,390.75,392.1000061035156,785132
2024-02-16,398.2781066894531,399.8500061035156,403.25,390.8500061035156,392.0,1796973
2024-02-19,404.8521728515625,406.45001220703125,411.6000061035156,398.20001220703125,399.8500061035156,2128769
2024-02-20,399.672607421875,401.25,413.29998779296875,397.0,410.0,2132811
2024-02-21,394.0945739746094,395.6499938964844,406.20001220703125,392.6499938964844,403.04998779296875,1044889
2024-02-22,398.427490234375,400.0,400.8500061035156,392.6000061035156,395.6499938964844,718533
2024-02-23,396.98321533203125,398.54998779296875,403.75,397.0,400.0,610439
2024-02-26,393.8954162597656,395.45001220703125,400.79998779296875,393.3500061035156,395.1000061035156,624059
2024-02-27,398.3777160644531,399.95001220703125,403.3999938964844,395.20001220703125,397.5,2110457
2024-02-28,403.4576110839844,405.04998779296875,408.6000061035156,397.29998779296875,400.1000061035156,3995040
2024-02-29,404.45367431640625,406.04998779296875,409.25,401.29998779296875,408.0,3626698
2024-03-01,408.18896484375,409.79998779296875,411.70001220703125,405.3500061035156,408.25,2045123
2024-03-04,415.90850830078125,417.54998779296875,418.6499938964844,408.95001220703125,408.95001220703125,2354064
2024-03-05,418.498291015625,420.1499938964844,422.25,417.6499938964844,420.0,1284788
2024-03-06,409.03564453125,410.6499938964844,420.0,402.6499938964844,420.0,2206218
2024-03-07,420.34100341796875,422.0,425.0,409.1000061035156,409.1000061035156,1744671
2024-03-11,408.2388000488281,409.8500061035156,425.8500061035156,408.6000061035156,425.0,1325931
2024-03-12,412.4222717285156,414.04998779296875,420.8500061035156,405.1499938964844,412.75,2098319
2024-03-13,399.0251770019531,400.6000061035156,418.20001220703125,393.6499938964844,415.0,2542891
2024-03-14,399.0251770019531,400.6000061035156,407.25,394.0,400.0,767537
2024-03-15,399.3239440917969,400.8999938964844,403.1000061035156,389.5,402.75,1187649
2024-03-18,395.9373474121094,397.5,401.70001220703125,393.70001220703125,400.95001220703125,663908
2024-03-19,385.7276306152344,387.25,397.75,386.25,396.5,850564
2024-03-20,377.55987548828125,379.04998779296875,391.29998779296875,373.1000061035156,391.29998779296875,2264926
2024-03-21,382.3907775878906,383.8999938964844,385.8999938964844,379.6499938964844,382.1499938964844,3729334
2024-03-22,396.23614501953125,397.79998779296875,400.95001220703125,381.6499938964844,381.75,2124198
2024-03-26,396.08673095703125,397.6499938964844,404.8999938964844,394.95001220703125,397.8500061035156,2861670
2024-03-27,390.65814208984375,392.20001220703125,399.6000061035156,390.20001220703125,398.79998779296875,1786066
2024-03-28,390.80755615234375,392.3500061035156,396.25,389.54998779296875,391.54998779296875,1534903
2024-04-01,403.6568603515625,405.25,406.0,393.1000061035156,394.5,1061080
2024-04-02,413.6175537109375,415.25,416.95001220703125,405.0,406.0,1574018
2024-04-03,438.120849609375,439.8500061035156,448.0,412.1000061035156,415.25,8562100
2024-04-04,435.6804504394531,437.3999938964844,453.3999938964844,435.20001220703125,442.0,3297239
2024-04-05,437.572998046875,439.29998779296875,445.79998779296875,431.5,436.0,3148534
2024-04-08,460.63201904296875,462.45001220703125,466.0,439.29998779296875,444.0,4779643
2024-04-09,452.2650146484375,454.04998779296875,467.8999938964844,451.45001220703125,467.8999938964844,3112433
2024-04-10,457.693603515625,459.5,471.0,452.1000061035156,454.0,4113449
2024-04-12,440.1628112792969,441.8999938964844,456.5,440.0,440.0,4964802
