date_,adj close_atul.ns,close_atul.ns,high_atul.ns,low_atul.ns,open_atul.ns,volume_atul.ns
2024-01-16,6725.56103515625,6767.85009765625,6899.14990234375,6757.0,6828.5,17049
2024-01-17,6587.3798828125,6628.7998046875,6777.0498046875,6611.0,6750.0,33449
2024-01-18,6561.19482421875,6602.4501953125,6643.0498046875,6520.0498046875,6588.0498046875,25096
2024-01-19,6560.99560546875,6602.25,6749.7998046875,6532.0498046875,6640.0,120770
2024-01-23,6135.57080078125,6174.14990234375,6498.5,6161.60009765625,6488.10009765625,108356
2024-01-24,6384.50537109375,6424.64990234375,6450.0,6165.0,6174.14990234375,52853
2024-01-25,6287.16796875,6326.7001953125,6453.39990234375,6309.0498046875,6424.64990234375,19367
2024-01-29,6240.11376953125,6279.35009765625,6386.0,6266.0,6326.7001953125,40349
2024-01-30,6142.52734375,6181.14990234375,6335.0,6132.0,6282.0,50580
2024-01-31,6391.064453125,6431.25,6503.5,6176.0498046875,6185.0,87638
2024-02-01,6256.908203125,6296.25,6496.0,6283.2001953125,6496.0,28611
2024-02-02,6337.69970703125,6377.5498046875,6397.5498046875,6273.7998046875,6300.0,25626
2024-02-05,6249.15673828125,6288.4501953125,6435.14990234375,6260.0,6398.89990234375,30387
2024-02-06,6328.7060546875,6368.5,6420.0,6292.0,6321.0,32055
2024-02-07,6298.943359375,6338.5498046875,6435.0,6310.0498046875,6435.0,24556
2024-02-08,6195.74267578125,6234.7001953125,6372.7998046875,6208.64990234375,6356.0,43044
2024-02-09,6334.6689453125,6374.5,6398.0,6133.7998046875,6293.9501953125,44981
2024-02-12,6318.3212890625,6358.0498046875,6459.9501953125,6329.4501953125,6431.2001953125,27040
2024-02-13,6354.4443359375,6394.39990234375,6405.0,6308.0,6321.0,18171
2024-02-14,6351.41357421875,6391.35009765625,6423.9501953125,6334.0498046875,6370.0,13030
2024-02-15,6320.5576171875,6360.2998046875,6494.0,6350.0,6390.0,25812
2024-02-16,6331.787109375,6371.60009765625,6455.9501953125,6355.0,6360.2998046875,23104
2024-02-19,6273.0068359375,6312.4501953125,6386.5498046875,6270.0498046875,6359.0498046875,18669
2024-02-20,6298.8935546875,6338.5,6408.0,6283.0,6375.60009765625,24939
2024-02-21,6271.26806640625,6310.7001953125,6390.0,6295.0,6350.0,20233
2024-02-22,6286.1240234375,6325.64990234375,6340.0,6247.7998046875,6310.0,14722
2024-02-23,6252.73388671875,6292.0498046875,6353.89990234375,6280.0,6310.0498046875,13500
2024-02-26,6248.26220703125,6287.5498046875,6325.0,6249.85009765625,6325.0,13794
2024-02-27,6180.38916015625,6219.25,6301.64990234375,6208.0,6287.5498046875,16209
2024-02-28,6043.69873046875,6081.7001953125,6246.2001953125,6024.7001953125,6228.0,38628
2024-02-29,6178.8984375,6217.75,6269.0498046875,6011.0,6081.7001953125,72443
2024-03-01,6105.1123046875,6143.5,6238.10009765625,6120.39990234375,6218.0,52530
2024-03-04,6042.25732421875,6080.25,6192.9501953125,6070.0498046875,6166.4501953125,26308
