date_,adj close_jwl.ns,close_jwl.ns,high_jwl.ns,low_jwl.ns,open_jwl.ns,volume_jwl.ns
2024-01-16,382.0431213378906,384.29998779296875,390.45001220703125,361.3999938964844,381.0,5174237
2024-01-17,385.5225524902344,387.79998779296875,400.3999938964844,370.0,379.8500061035156,4344414
2024-01-18,383.3851623535156,385.6499938964844,396.0,368.45001220703125,396.0,1877703
2024-01-19,396.75616455078125,399.1000061035156,403.3999938964844,387.0,391.8999938964844,2970304
2024-01-23,395.7620849609375,398.1000061035156,434.0,398.1000061035156,433.0,2207494
2024-01-24,385.5225524902344,387.79998779296875,403.70001220703125,378.20001220703125,388.95001220703125,2524882
2024-01-25,391.73583984375,394.04998779296875,398.25,388.8999938964844,388.95001220703125,1090559
2024-01-29,390.9902648925781,393.29998779296875,404.95001220703125,391.54998779296875,404.95001220703125,1040643
2024-01-30,382.8880920410156,385.1499938964844,399.45001220703125,383.04998779296875,396.0,787592
2024-01-31,401.62744140625,404.0,404.3999938964844,385.1499938964844,388.3999938964844,1792383
2024-02-01,393.57501220703125,395.8999938964844,414.3999938964844,393.45001220703125,404.0,2431274
2024-02-02,403.0689392089844,405.45001220703125,415.6499938964844,404.0,415.6499938964844,3392742
2024-02-05,391.0399475097656,393.3500061035156,414.79998779296875,390.6499938964844,409.8999938964844,1558675
2024-02-06,389.4493713378906,391.75,398.5,387.0,396.8999938964844,747600
2024-02-07,388.1072998046875,390.3999938964844,405.0,388.5,405.0,1130961
2024-02-08,376.4760437011719,378.70001220703125,396.95001220703125,375.1499938964844,395.0,2643378
2024-02-09,371.1076965332031,373.29998779296875,383.0,365.0,380.79998779296875,1244919
2024-02-12,342.2779846191406,344.29998779296875,379.5,340.0,373.5,1586600
2024-02-13,344.3656921386719,346.3999938964844,357.0,337.3500061035156,343.8500061035156,1407483
2024-02-14,348.6901550292969,350.75,355.79998779296875,333.3999938964844,337.6000061035156,1008958
2024-02-15,365.5903015136719,367.75,380.8500061035156,354.79998779296875,354.79998779296875,1939557
2024-02-16,366.683837890625,368.8500061035156,378.5,363.54998779296875,375.0,811233
2024-02-19,383.88226318359375,386.1499938964844,396.04998779296875,378.5,378.5,2032239
2024-02-20,382.14251708984375,384.3999938964844,397.70001220703125,382.20001220703125,391.5,1591082
2024-02-21,373.7918395996094,376.0,393.0,374.0,386.3500061035156,927685
