date_,adj close_trident.ns,close_trident.ns,high_trident.ns,low_trident.ns,open_trident.ns,volume_trident.ns
2024-01-16,44.433589935302734,45.54999923706055,46.75,44.0,46.54999923706055,23248114
2024-01-17,43.21422576904297,44.29999923706055,45.29999923706055,44.0,44.79999923706055,16677569
2024-01-18,44.628684997558594,45.75,46.25,42.849998474121094,44.29999923706055,35030329
2024-01-19,44.5311393737793,45.650001525878906,46.5,45.25,46.20000076293945,15514016
2024-01-23,41.897315979003906,42.95000076293945,45.5,42.650001525878906,45.150001525878906,21171097
2024-01-24,44.72623825073242,45.849998474121094,46.70000076293945,42.5,43.0,57397809
2024-01-25,44.287269592285156,45.400001525878906,46.5,45.150001525878906,46.0,20007100
2024-01-29,43.9946174621582,45.099998474121094,46.099998474121094,44.79999923706055,45.70000076293945,14697439
2024-01-30,47.018638610839844,48.20000076293945,48.75,45.29999923706055,45.5,77346052
2024-01-31,46.43334197998047,47.599998474121094,48.849998474121094,46.75,48.5,39992599
2024-02-01,45.31153106689453,46.45000076293945,48.20000076293945,46.20000076293945,47.900001525878906,25313541
2024-02-02,45.848052978515625,47.0,48.349998474121094,46.54999923706055,46.849998474121094,30683019
2024-02-05,44.87255859375,46.0,47.79999923706055,45.599998474121094,47.20000076293945,22571261
2024-02-06,43.70197296142578,44.79999923706055,49.150001525878906,44.099998474121094,46.20000076293945,68377522
2024-02-07,44.5311393737793,45.650001525878906,46.099998474121094,44.849998474121094,45.04999923706055,26745195
2024-02-08,43.799522399902344,44.900001525878906,46.099998474121094,44.599998474121094,46.0,13659998
2024-02-09,43.21422576904297,44.29999923706055,45.20000076293945,43.25,45.099998474121094,17377966
2024-02-12,41.604671478271484,42.650001525878906,44.95000076293945,42.20000076293945,44.45000076293945,21947732
2024-02-13,41.409568786621094,42.45000076293945,42.849998474121094,40.79999923706055,42.599998474121094,17780607
2024-02-14,42.04364013671875,43.099998474121094,43.45000076293945,41.20000076293945,41.5,12298306
2024-02-15,42.433834075927734,43.5,44.25,43.20000076293945,43.45000076293945,13050525
2024-02-16,44.04339599609375,45.150001525878906,46.25,43.400001525878906,43.70000076293945,37866855
2024-02-19,43.7507438659668,44.849998474121094,45.70000076293945,44.70000076293945,45.5,11899496
2024-02-20,43.16545486450195,44.25,45.25,44.150001525878906,44.900001525878906,9848287
2024-02-21,42.38506317138672,43.45000076293945,44.79999923706055,43.29999923706055,44.45000076293945,9180869
2024-02-22,43.11668014526367,44.20000076293945,44.45000076293945,42.849998474121094,43.75,11142795
2024-02-23,42.82403564453125,43.900001525878906,44.54999923706055,43.79999923706055,44.400001525878906,8514109
2024-02-26,43.11668014526367,44.20000076293945,45.04999923706055,44.0,44.150001525878906,10378204
2024-02-27,42.53137969970703,43.599998474121094,44.5,43.45000076293945,44.45000076293945,8071886
2024-02-28,41.11692428588867,42.150001525878906,43.849998474121094,41.849998474121094,43.70000076293945,10236517
2024-02-29,41.263248443603516,42.29999923706055,42.650001525878906,41.099998474121094,42.0,11574257
