date_,adj close_swancorp.ns,close_swancorp.ns,high_swancorp.ns,low_swancorp.ns,open_swancorp.ns,volume_swancorp.ns
2024-01-16,541.4472045898438,541.6500244140625,552.2999877929688,531.5,545.2000122070312,3433178
2024-01-17,539.048095703125,539.25,546.4000244140625,528.4000244140625,530.0,3016675
2024-01-18,548.9444580078125,549.1500244140625,552.5999755859375,525.7999877929688,536.0999755859375,3195368
2024-01-19,584.7310180664062,584.9500122070312,590.9500122070312,551.7999877929688,556.0,9583379
2024-01-23,583.5314331054688,583.75,612.0999755859375,571.0999755859375,606.0,5673233
2024-01-24,579.3829956054688,579.5999755859375,586.0,566.3499755859375,581.7000122070312,4973130
2024-01-25,608.971923828125,609.2000122070312,617.9000244140625,582.7000122070312,582.9500122070312,6518078
2024-01-29,607.0226440429688,607.25,620.9000244140625,594.0,610.5,7909487
2024-01-30,622.2169799804688,622.4500122070312,631.0,605.0,613.0,8660105
2024-01-31,638.8107299804688,639.0499877929688,641.9000244140625,616.0,623.0,8745894
2024-02-01,648.9569091796875,649.2000122070312,665.9500122070312,643.25,660.0,6454725
2024-02-02,686.6428833007812,686.9000244140625,693.7000122070312,648.0,656.0,16657700
2024-02-05,675.9468383789062,676.2000122070312,698.75,671.5,686.9000244140625,4033116
2024-02-06,673.3477783203125,673.5999755859375,685.0,666.0499877929688,677.5,2618820
2024-02-07,660.802490234375,661.0499877929688,675.75,656.25,670.0999755859375,1305273
2024-02-08,658.2034912109375,658.4500122070312,684.7999877929688,652.3499755859375,664.0,3470007
2024-02-09,707.934814453125,708.2000122070312,711.4000244140625,653.2000122070312,662.0,12687415
2024-02-12,694.43994140625,694.7000122070312,720.0,677.6500244140625,709.25,5327006
2024-02-13,708.83447265625,709.0999755859375,713.9000244140625,678.0499877929688,699.0,3367363
2024-02-14,718.8307495117188,719.0999755859375,722.2000122070312,695.0,697.5,4218962
2024-02-15,737.1239013671875,737.4000244140625,741.0,723.0499877929688,726.0,6000183
2024-02-16,728.8770141601562,729.1500244140625,764.25,716.5999755859375,745.0499877929688,5602826
2024-02-19,728.17724609375,728.4500122070312,736.7999877929688,711.3499755859375,716.0,2972231
2024-02-20,751.0187377929688,751.2999877929688,756.0,729.25,731.9500122070312,3093865
