date_,adj close_dlf.ns,close_dlf.ns,high_dlf.ns,low_dlf.ns,open_dlf.ns,volume_dlf.ns
2024-01-16,776.6976318359375,786.8499755859375,806.3499755859375,777.1500244140625,804.4000244140625,3800255
2024-01-17,765.2966918945312,775.2999877929688,790.0,771.0499877929688,780.0,6183356
2024-01-18,765.4447631835938,775.4500122070312,780.5999755859375,762.75,776.0,8727583
2024-01-19,775.4144287109375,785.5499877929688,788.0,777.7000122070312,780.7000122070312,3519988
2024-01-23,729.7611694335938,739.2999877929688,791.9000244140625,733.9500122070312,790.0,19908675
2024-01-24,737.7567138671875,747.4000244140625,749.0,732.2999877929688,739.9500122070312,6963379
2024-01-25,748.8615112304688,758.6500244140625,776.0,749.2999877929688,776.0,9110800
2024-01-29,757.4492797851562,767.3499755859375,771.7000122070312,755.25,761.0,5504653
2024-01-30,776.7470092773438,786.9000244140625,798.7000122070312,767.0,770.5,10661351
2024-01-31,792.2444458007812,802.5999755859375,806.7000122070312,782.5,786.9000244140625,7997614
2024-02-01,789.7273559570312,800.0499877929688,808.75,791.0499877929688,802.5499877929688,5565773
2024-02-02,781.2383422851562,791.4500122070312,808.4000244140625,783.2000122070312,801.2000122070312,3474878
2024-02-05,776.4508666992188,786.5999755859375,806.0,783.2000122070312,784.9000244140625,3023829
2024-02-06,787.0621337890625,797.3499755859375,802.0,784.2000122070312,794.0,3996095
2024-02-07,816.7738647460938,827.4500122070312,838.2999877929688,806.0,806.0,10550511
2024-02-08,820.1299438476562,830.8499755859375,840.9000244140625,823.1500244140625,828.7999877929688,3355261
2024-02-09,823.6342163085938,834.4000244140625,837.0,810.0,830.8499755859375,4351187
2024-02-12,797.179931640625,807.5999755859375,837.5999755859375,803.3499755859375,833.0,2814982
2024-02-13,818.6492919921875,829.3499755859375,831.9500122070312,799.0499877929688,810.0,3526880
2024-02-14,832.9129028320312,843.7999877929688,847.4500122070312,816.2000122070312,819.0,2710385
2024-02-15,840.4148559570312,851.4000244140625,857.9500122070312,842.5,848.0,3505476
2024-02-16,852.1612548828125,863.2999877929688,869.2999877929688,848.7999877929688,857.0,3451534
2024-02-19,837.6509399414062,848.5999755859375,866.7000122070312,845.3499755859375,864.2999877929688,2390450
2024-02-20,852.7536010742188,863.9000244140625,869.5,846.2000122070312,852.0,4100739
2024-02-21,875.4074096679688,886.8499755859375,896.75,863.9000244140625,865.0,8801547
2024-02-22,880.7377319335938,892.25,895.0,878.8499755859375,894.0,3784762
2024-02-23,887.6473999023438,899.25,905.0,892.3499755859375,898.0,3438995
2024-02-26,891.2504272460938,902.9000244140625,910.25,887.7000122070312,898.0,4080998
2024-02-27,904.5762329101562,916.4000244140625,918.2000122070312,902.9000244140625,905.0,3614155
2024-02-28,887.4006958007812,899.0,919.9500122070312,893.5999755859375,914.2000122070312,3541248
2024-02-29,889.5723266601562,901.2000122070312,911.9500122070312,881.6500244140625,898.0,19571487
2024-03-01,898.1600341796875,909.9000244140625,917.0,901.2000122070312,902.0,2562306
2024-03-04,919.7774658203125,931.7999877929688,941.9000244140625,923.6500244140625,925.2000122070312,3951444
2024-03-05,920.0242309570312,932.0499877929688,939.4000244140625,926.0,930.0,2846188
2024-03-06,910.7948608398438,922.7000122070312,933.9000244140625,908.0999755859375,930.9500122070312,3258284
2024-03-07,908.4258422851562,920.2999877929688,929.0,917.1500244140625,925.5999755859375,2108204
2024-03-11,899.4926147460938,911.25,933.2999877929688,907.2000122070312,928.0,4511073
