date_,adj close_bse.ns,close_bse.ns,high_bse.ns,low_bse.ns,open_bse.ns,volume_bse.ns
2024-01-16,762.9580688476562,769.5833129882812,773.3333129882812,746.6666870117188,748.0,2865639
2024-01-17,755.7705078125,762.3333129882812,785.2999877929688,756.4666748046875,763.3333129882812,3393780
2024-01-18,759.3064575195312,765.9000244140625,775.9166870117188,753.3333129882812,764.0,2128101
2024-01-19,752.0858154296875,758.6166381835938,776.6666870117188,748.3333129882812,771.6666870117188,1545279
2024-01-23,697.6915283203125,703.75,751.3333129882812,700.0,748.0,2791503
2024-01-24,697.9888916015625,704.0499877929688,716.5499877929688,660.2000122070312,700.0,4338156
2024-01-25,701.2274780273438,707.316650390625,718.4666748046875,703.0166625976562,704.0499877929688,2359242
2024-01-29,703.5242309570312,709.6333618164062,723.3333129882812,706.7000122070312,710.8666381835938,1332561
2024-01-30,722.9884643554688,729.2666625976562,740.0,712.3333129882812,713.2833251953125,2263062
2024-01-31,767.8654174804688,774.5333251953125,780.9500122070312,728.3333129882812,736.4000244140625,3281166
2024-02-01,823.9947509765625,831.1500244140625,836.0,780.0,780.9000244140625,7848948
2024-02-02,814.5930786132812,821.6666870117188,839.4666748046875,812.3499755859375,836.6666870117188,3057792
2024-02-05,846.3341064453125,853.683349609375,866.316650390625,826.6666870117188,826.6666870117188,4634430
2024-02-06,816.030517578125,823.1166381835938,853.0,793.4666748046875,853.0,4928013
2024-02-07,826.754150390625,833.933349609375,846.6500244140625,810.9166870117188,830.0,2395305
2024-02-08,830.042236328125,837.25,844.0,816.6666870117188,843.3333129882812,1665039
2024-02-09,822.722412109375,829.8666381835938,857.0,802.3333129882812,840.9000244140625,2296917
2024-02-12,780.637939453125,787.4166870117188,835.0999755859375,775.066650390625,833.3333129882812,1643832
2024-02-13,773.9129638671875,780.6333618164062,799.3333129882812,764.0166625976562,798.3333129882812,1252179
2024-02-14,775.6644287109375,782.4000244140625,794.433349609375,758.3333129882812,760.0,912108
2024-02-15,767.9315185546875,774.5999755859375,794.0,771.6666870117188,790.0,1167582
2024-02-16,761.322265625,767.933349609375,781.566650390625,766.683349609375,781.3333129882812,813639
2024-02-19,761.6032104492188,768.2166748046875,784.0333251953125,764.0,773.3666381835938,1780167
2024-02-20,759.0586547851562,765.6500244140625,779.0,764.7999877929688,771.6666870117188,723558
2024-02-21,732.3737182617188,738.7333374023438,770.2999877929688,730.0,769.3333129882812,1678551
2024-02-22,727.0862426757812,733.4000244140625,740.9500122070312,719.9500122070312,738.3333129882812,1406748
2024-02-23,752.3997802734375,758.933349609375,783.0,735.6666870117188,741.6500244140625,2705649
2024-02-26,753.1102905273438,759.6500244140625,766.3333129882812,750.3333129882812,764.3333129882812,989763
2024-02-27,791.8241577148438,798.7000122070312,803.0333251953125,760.0,763.5499877929688,3614343
2024-02-28,772.392822265625,779.0999755859375,806.6666870117188,760.8833618164062,803.3333129882812,3113067
2024-02-29,782.1580810546875,788.9500122070312,793.3333129882812,762.4500122070312,773.316650390625,1199655
2024-03-01,772.1119384765625,778.816650390625,795.2999877929688,775.0,790.0,1929378
2024-03-04,766.527099609375,773.183349609375,788.6666870117188,770.0,788.4666748046875,762198
2024-03-05,755.7705078125,762.3333129882812,774.7666625976562,758.0,774.7666625976562,956667
2024-03-06,759.7525634765625,766.3499755859375,776.6666870117188,750.0,762.3333129882812,2189610
2024-03-07,741.5110473632812,747.9500122070312,766.433349609375,746.6666870117188,761.3333129882812,1550508
2024-03-11,728.3750610351562,734.7000122070312,747.9500122070312,730.1166381835938,747.9500122070312,1684143
2024-03-12,710.017822265625,716.183349609375,734.7000122070312,686.6666870117188,734.7000122070312,3540390
2024-03-13,664.7938232421875,670.566650390625,756.6666870117188,657.4833374023438,746.6666870117188,4970817
2024-03-14,676.9383544921875,682.816650390625,699.316650390625,657.8666381835938,670.6666870117188,2402718
2024-03-15,688.1576538085938,694.1333618164062,698.1666870117188,675.3499755859375,684.9500122070312,1434987
2024-03-18,672.6588745117188,678.5,692.3333129882812,670.0,692.3333129882812,2174247
2024-03-19,646.601806640625,652.2166748046875,682.0,647.0166625976562,680.0,2106249
2024-03-20,671.88232421875,677.7166748046875,680.0,656.6666870117188,656.6666870117188,2790846
2024-03-21,741.26318359375,747.7000122070312,755.7333374023438,691.683349609375,695.3333129882812,6039216
2024-03-22,726.2931518554688,732.5999755859375,758.2999877929688,730.0,749.6666870117188,1888842
2024-03-26,763.437255859375,770.066650390625,775.0,738.3333129882812,741.3333129882812,3695259
2024-03-27,814.1304321289062,821.2000122070312,825.1333618164062,772.3333129882812,777.3333129882812,6939876
2024-03-28,831.4136962890625,838.6333618164062,856.6666870117188,805.25,829.4000244140625,5044320
2024-04-01,895.5235595703125,903.2999877929688,908.0,843.3333129882812,852.4666748046875,9280776
2024-04-02,910.8736572265625,918.7833251953125,925.7000122070312,890.3333129882812,906.183349609375,5563455
2024-04-03,945.5228271484375,953.7333374023438,960.0,908.3333129882812,913.3333129882812,4646682
2024-04-04,955.1062622070312,963.4000244140625,978.6666870117188,925.5,961.3333129882812,4809942
2024-04-05,950.2814331054688,958.5333251953125,978.3333129882812,950.0,956.6666870117188,2663814
2024-04-08,925.8601684570312,933.9000244140625,967.566650390625,923.3499755859375,962.6333618164062,2370213
2024-04-09,907.354248046875,915.2333374023438,937.5999755859375,911.0,934.0,1593798
2024-04-10,946.2828369140625,954.5,966.6666870117188,898.566650390625,915.2000122070312,3871380
2024-04-12,934.8652954101562,942.9833374023438,984.9666748046875,938.3666381835938,953.5,3536700
2024-04-15,920.0935668945312,928.0833129882812,956.2833251953125,908.3333129882812,915.566650390625,2969838
2024-04-16,937.1124877929688,945.25,951.3499755859375,927.7666625976562,928.3333129882812,2031522
2024-04-18,919.0526123046875,927.0333251953125,965.1666870117188,915.0,952.9000244140625,2191128
2024-04-19,914.9052734375,922.8499755859375,933.3333129882812,901.0833129882812,914.0,1840695
2024-04-22,942.251220703125,950.433349609375,956.6666870117188,932.066650390625,932.066650390625,1670124
2024-04-23,1057.434326171875,1066.61669921875,1082.4666748046875,956.6666870117188,957.433349609375,12193113
2024-04-24,1034.3348388671875,1043.316650390625,1088.2332763671875,1023.3333129882812,1080.2833251953125,6382407
