date_,adj close_apollotyre.ns,close_apollotyre.ns,high_apollotyre.ns,low_apollotyre.ns,open_apollotyre.ns,volume_apollotyre.ns
2024-01-16,462.2877197265625,472.6000061035156,476.79998779296875,467.1000061035156,471.95001220703125,1690869
2024-01-17,461.45623779296875,471.75,482.8500061035156,465.54998779296875,468.0,2717197
2024-01-18,489.13873291015625,500.04998779296875,506.29998779296875,468.29998779296875,473.20001220703125,8869857
2024-01-19,492.4645690917969,503.45001220703125,504.5,494.54998779296875,503.95001220703125,2351287
2024-01-23,499.26287841796875,510.3999938964844,532.0,508.3999938964844,525.9500122070312,2409894
2024-01-24,514.2779541015625,525.75,526.8499755859375,508.95001220703125,513.2000122070312,1694554
2024-01-25,506.3057861328125,517.5999755859375,528.6500244140625,512.8499755859375,528.0999755859375,1623437
2024-01-29,515.7451782226562,527.25,528.9500122070312,515.1500244140625,518.0,1328581
2024-01-30,520.3916015625,532.0,537.4500122070312,526.2000122070312,531.2000122070312,1734251
2024-01-31,528.7061157226562,540.5,547.8499755859375,525.0999755859375,535.7999877929688,3944608
2024-02-01,522.2990112304688,533.9500122070312,544.0,533.0,544.0,1821545
2024-02-02,527.923583984375,539.7000122070312,544.7000122070312,536.8499755859375,539.9000244140625,895826
2024-02-05,533.5970458984375,545.5,552.3499755859375,539.7000122070312,541.5,1330649
2024-02-06,540.933349609375,553.0,554.9500122070312,546.0,549.5,1628120
2024-02-07,540.15087890625,552.2000122070312,556.7000122070312,547.25,556.0,999927
2024-02-08,527.043212890625,538.7999877929688,557.9000244140625,537.5499877929688,556.0,2207877
2024-02-09,498.7738037109375,509.8999938964844,532.0,499.8500061035156,532.0,4008573
2024-02-12,501.4638366699219,512.6500244140625,520.9500122070312,508.25,518.0,2572741
2024-02-13,499.6541442871094,510.79998779296875,518.2000122070312,504.04998779296875,515.9500122070312,1283153
2024-02-14,506.6481628417969,517.9500122070312,520.0,502.8500061035156,508.0,1572177
2024-02-15,509.1914367675781,520.5499877929688,525.0,517.0499877929688,522.5999755859375,1429181
2024-02-16,517.1146850585938,528.6500244140625,532.4500122070312,522.0,524.4500122070312,1555307
2024-02-19,520.1959228515625,531.7999877929688,537.2000122070312,527.0499877929688,530.0,1638779
2024-02-20,506.8927307128906,518.2000122070312,532.7999877929688,516.0499877929688,531.0,1786636
2024-02-21,504.9852600097656,516.25,525.0,514.0,521.0,846319
