date_,adj close_sunpharma.ns,close_sunpharma.ns,high_sunpharma.ns,low_sunpharma.ns,open_sunpharma.ns,volume_sunpharma.ns
2024-01-16,1289.831787109375,1313.449951171875,1331.550048828125,1307.550048828125,1330.050048828125,824502
2024-01-17,1275.6417236328125,1299.0,1320.449951171875,1294.3499755859375,1312.0,2544642
2024-01-18,1311.7308349609375,1335.75,1343.4000244140625,1290.0,1298.949951171875,2842572
2024-01-19,1311.58349609375,1335.5999755859375,1344.4000244140625,1329.1500244140625,1340.0,1605745
2024-01-23,1353.5157470703125,1378.300048828125,1394.5999755859375,1316.0,1316.0,4129729
2024-01-24,1357.2474365234375,1382.0999755859375,1390.0,1360.3499755859375,1380.0,1719845
2024-01-25,1343.6956787109375,1368.300048828125,1390.0999755859375,1348.5,1383.550048828125,1870910
2024-01-29,1375.66015625,1400.8499755859375,1420.8499755859375,1355.199951171875,1365.0,3413149
2024-01-30,1347.0836181640625,1371.75,1409.199951171875,1369.1500244140625,1401.9000244140625,1935332
2024-01-31,1392.94384765625,1418.449951171875,1438.9000244140625,1366.9000244140625,1371.699951171875,5796356
2024-02-01,1382.6324462890625,1407.949951171875,1430.449951171875,1398.9000244140625,1427.0,2442481
2024-02-02,1391.176025390625,1416.6500244140625,1433.8499755859375,1405.1500244140625,1409.0,1775449
2024-02-05,1437.478271484375,1463.800048828125,1466.0,1423.5999755859375,1426.800048828125,3481964
2024-02-06,1448.5750732421875,1475.0999755859375,1478.0,1446.550048828125,1450.0,1893995
2024-02-07,1469.295654296875,1496.199951171875,1500.449951171875,1480.4000244140625,1483.0,2259235
2024-02-08,1472.634521484375,1499.5999755859375,1507.5,1485.3499755859375,1501.050048828125,2213750
2024-02-09,1515.79345703125,1534.800048828125,1539.0,1492.25,1500.9000244140625,6343881
2024-02-12,1515.44775390625,1534.449951171875,1555.0999755859375,1521.0999755859375,1539.8499755859375,4059288
2024-02-13,1523.1016845703125,1542.199951171875,1551.0,1525.449951171875,1537.5,4687838
2024-02-14,1501.5716552734375,1520.4000244140625,1545.800048828125,1508.050048828125,1545.800048828125,2105672
2024-02-15,1491.2017822265625,1509.9000244140625,1529.050048828125,1505.550048828125,1529.050048828125,2161691
2024-02-16,1491.2509765625,1509.949951171875,1522.0,1504.8499755859375,1515.0,3480879
2024-02-19,1511.1514892578125,1530.0999755859375,1532.75,1507.4000244140625,1514.8499755859375,777823
2024-02-20,1519.64501953125,1538.699951171875,1542.0,1512.25,1532.0,2230669
2024-02-21,1524.286865234375,1543.4000244140625,1549.5,1533.0,1540.050048828125,1993748
2024-02-22,1538.7554931640625,1558.050048828125,1561.0,1535.0,1549.5999755859375,1981678
2024-02-23,1541.9158935546875,1561.25,1568.449951171875,1550.4000244140625,1558.0,1340283
2024-02-26,1537.6690673828125,1556.949951171875,1566.9000244140625,1548.699951171875,1562.0,974892
2024-02-27,1563.149658203125,1582.75,1585.449951171875,1549.050048828125,1556.75,2140963
2024-02-28,1554.3597412109375,1573.8499755859375,1587.449951171875,1562.6500244140625,1586.5,578316
2024-02-29,1558.408935546875,1577.949951171875,1587.800048828125,1556.5,1575.0,2350244
2024-03-01,1539.9404296875,1559.25,1581.9000244140625,1548.050048828125,1580.0,4069161
2024-03-04,1532.879150390625,1552.0999755859375,1569.0999755859375,1548.9000244140625,1550.550048828125,2298105
2024-03-05,1554.705322265625,1574.199951171875,1576.4000244140625,1535.4000244140625,1553.800048828125,1408172
2024-03-06,1584.1363525390625,1604.0,1606.75,1566.4000244140625,1575.0,1761032
2024-03-07,1585.8154296875,1605.699951171875,1619.949951171875,1600.4000244140625,1610.75,2440999
2024-03-11,1573.865234375,1593.5999755859375,1627.0,1586.4000244140625,1615.1500244140625,2994345
2024-03-12,1564.680419921875,1584.300048828125,1603.800048828125,1580.1500244140625,1592.199951171875,1294598
2024-03-13,1539.298583984375,1558.5999755859375,1592.199951171875,1544.0,1581.199951171875,2881503
