date_,adj close_centralbk.ns,close_centralbk.ns,high_centralbk.ns,low_centralbk.ns,open_centralbk.ns,volume_centralbk.ns
2024-01-16,52.29866409301758,53.099998474121094,54.349998474121094,51.5,52.75,53135534
2024-01-17,50.5750732421875,51.349998474121094,52.70000076293945,51.04999923706055,52.099998474121094,25793885
2024-01-18,52.00318908691406,52.79999923706055,53.400001525878906,49.25,51.599998474121094,40878518
2024-01-19,53.726776123046875,54.54999923706055,55.0,52.54999923706055,53.099998474121094,90258328
2024-01-23,52.15092849731445,52.95000076293945,57.5,52.599998474121094,57.25,45383881
2024-01-24,54.02225112915039,54.849998474121094,55.099998474121094,51.54999923706055,53.20000076293945,38909793
2024-01-25,53.5297966003418,54.349998474121094,55.45000076293945,53.70000076293945,54.70000076293945,20464938
2024-01-29,55.1548957824707,56.0,57.5,54.45000076293945,54.5,38657218
2024-01-30,55.253387451171875,56.099998474121094,58.70000076293945,55.099998474121094,56.29999923706055,48386782
2024-01-31,56.632259368896484,57.5,58.79999923706055,55.70000076293945,56.04999923706055,44289077
2024-02-01,58.65132141113281,59.54999923706055,59.95000076293945,55.75,57.900001525878906,78746142
2024-02-02,61.11359405517578,62.04999923706055,63.45000076293945,60.599998474121094,61.0,87281980
2024-02-05,63.871334075927734,64.8499984741211,70.30000305175781,61.70000076293945,62.5,155196600
2024-02-06,65.54569244384766,66.55000305175781,68.8499984741211,64.5,65.25,60062362
2024-02-07,73.03099822998047,74.1500015258789,76.9000015258789,66.94999694824219,66.94999694824219,154612545
2024-02-08,68.7958755493164,69.8499984741211,76.4000015258789,69.30000305175781,76.05000305175781,90182075
2024-02-09,66.97380065917969,68.0,72.4000015258789,65.0,70.44999694824219,58441930
2024-02-12,59.0452880859375,59.95000076293945,68.19999694824219,58.29999923706055,68.0,49978373
2024-02-13,62.344730377197266,63.29999923706055,63.95000076293945,58.400001525878906,59.0,60568781
2024-02-14,64.61002349853516,65.5999984741211,66.19999694824219,60.45000076293945,60.5,41099283
2024-02-15,66.43209838867188,67.44999694824219,68.0,64.19999694824219,65.9000015258789,50957276
2024-02-16,65.59493255615234,66.5999984741211,69.0,66.0999984741211,68.0,34547539
