date_,adj close_jswenergy.ns,close_jswenergy.ns,high_jswenergy.ns,low_jswenergy.ns,open_jswenergy.ns,volume_jswenergy.ns
2024-01-16,462.2442321777344,465.6000061035156,475.0,456.0,473.45001220703125,2560974
2024-01-17,468.6973876953125,472.1000061035156,474.29998779296875,451.6499938964844,452.0,3771709
2024-01-18,475.2994384765625,478.75,481.5,457.0,470.79998779296875,4329665
2024-01-19,497.7862243652344,501.3999938964844,510.0,483.0,483.0,8422478
2024-01-23,481.4051208496094,484.8999938964844,516.2000122070312,474.0,513.0,4062512
2024-01-24,485.2770080566406,488.79998779296875,498.5,467.1000061035156,475.0,6192346
2024-01-25,484.1352844238281,487.6499938964844,501.25,481.20001220703125,492.8500061035156,1873409
2024-01-29,492.72296142578125,496.29998779296875,504.8500061035156,490.95001220703125,492.45001220703125,2296482
2024-01-30,486.41876220703125,489.95001220703125,500.3999938964844,487.6499938964844,499.0,1725003
2024-01-31,501.112060546875,504.75,508.6000061035156,491.1499938964844,494.5,2885641
2024-02-01,488.1064758300781,491.6499938964844,507.5,490.0,507.5,1925034
2024-02-02,479.4195556640625,482.8999938964844,501.8500061035156,477.8500061035156,494.79998779296875,2771930
2024-02-05,489.3474426269531,492.8999938964844,506.95001220703125,485.79998779296875,487.79998779296875,2921559
2024-02-06,488.1064758300781,491.6499938964844,503.79998779296875,487.1000061035156,495.20001220703125,2051836
2024-02-07,490.389892578125,493.95001220703125,509.3500061035156,491.70001220703125,493.8999938964844,3369728
2024-02-08,503.1969299316406,506.8500061035156,520.0,496.79998779296875,496.8999938964844,5703530
2024-02-09,496.5948791503906,500.20001220703125,511.8999938964844,484.1000061035156,509.0,3188552
2024-02-12,493.61651611328125,497.20001220703125,521.6500244140625,494.5,507.6499938964844,6118550
2024-02-13,483.53961181640625,487.04998779296875,507.45001220703125,484.75,507.45001220703125,4131893
2024-02-14,476.24261474609375,479.70001220703125,485.70001220703125,474.0,474.0,2319951
2024-02-15,480.6605224609375,484.1499938964844,493.29998779296875,483.0,484.5,2197718
2024-02-16,476.9872131347656,480.45001220703125,489.5,479.1499938964844,488.3999938964844,1131246
2024-02-19,495.6517028808594,499.25,501.8999938964844,480.5,484.1000061035156,4573746
2024-02-20,487.0640563964844,490.6000061035156,498.0,486.5,497.75,2420333
2024-02-21,481.15692138671875,484.6499938964844,494.0,480.6000061035156,490.6000061035156,1545884
2024-02-22,484.4827880859375,488.0,496.6000061035156,482.79998779296875,485.8999938964844,2107198
2024-02-23,503.1969299316406,506.8500061035156,510.75,486.1000061035156,489.75,5304876
2024-02-26,519.9254760742188,523.7000122070312,537.9500122070312,510.25,511.5,14220530
