date_,adj close_welcorp.ns,close_welcorp.ns,high_welcorp.ns,low_welcorp.ns,open_welcorp.ns,volume_welcorp.ns
2024-01-16,533.1832275390625,540.9500122070312,544.9000244140625,529.5,531.0,1717100
2024-01-17,562.1611328125,570.3499755859375,575.0,532.0499877929688,539.0,2228965
2024-01-18,590.8433227539062,599.4500122070312,608.0,565.0,585.0,2760175
2024-01-19,591.237548828125,599.8499755859375,607.7999877929688,583.4500122070312,605.2000122070312,998210
2024-01-23,580.4940795898438,588.9500122070312,613.0,585.5999755859375,593.0,935491
2024-01-24,580.6912231445312,589.1500244140625,598.6500244140625,585.0999755859375,589.9000244140625,466407
2024-01-25,570.4898071289062,578.7999877929688,595.2000122070312,570.0499877929688,590.9500122070312,666377
2024-01-29,571.2783203125,579.5999755859375,590.0,577.2000122070312,584.9500122070312,899492
2024-01-30,572.8060913085938,581.1500244140625,589.0,575.0999755859375,583.8499755859375,329625
2024-01-31,578.9663696289062,587.4000244140625,597.25,572.5999755859375,585.2000122070312,2993167
2024-02-01,580.3462524414062,588.7999877929688,594.9500122070312,583.0,590.0,500725
2024-02-02,582.3175048828125,590.7999877929688,605.9500122070312,585.9500122070312,597.0,532653
2024-02-05,587.1471557617188,595.7000122070312,609.8499755859375,588.0,590.0,922243
2024-02-06,587.5413818359375,596.0999755859375,623.9000244140625,580.0,598.9500122070312,2725969
2024-02-07,578.5720825195312,587.0,611.7000122070312,584.0,605.2000122070312,983338
2024-02-08,569.2577514648438,577.5499877929688,593.4500122070312,574.8499755859375,590.6500244140625,580611
2024-02-09,549.9884033203125,558.0,580.2999877929688,541.5999755859375,579.0,1563683
2024-02-12,534.2673950195312,542.0499877929688,570.9000244140625,538.0,560.0999755859375,553032
2024-02-13,540.2305908203125,548.0999755859375,550.75,525.0999755859375,540.0999755859375,401389
2024-02-14,552.6004028320312,560.6500244140625,563.7000122070312,539.9500122070312,540.0,375649
2024-02-15,555.75439453125,563.8499755859375,574.9000244140625,562.2000122070312,564.4000244140625,298607
2024-02-16,536.78076171875,544.5999755859375,575.0,537.0499877929688,568.4000244140625,1263567
2024-02-19,541.364013671875,549.25,560.5999755859375,546.5499877929688,548.4000244140625,357026
2024-02-20,534.415283203125,542.2000122070312,554.3499755859375,539.0,550.0,336289
2024-02-21,521.848388671875,529.4500122070312,548.8499755859375,527.7999877929688,542.2000122070312,617550
2024-02-22,535.6473388671875,543.4500122070312,545.9500122070312,512.5,530.0999755859375,1083557
2024-02-23,557.7257080078125,565.8499755859375,568.0,541.0,544.75,1156496
2024-02-26,558.8591918945312,567.0,571.7999877929688,557.5,562.0499877929688,527927
2024-02-27,550.1362915039062,558.1500244140625,572.7000122070312,554.5999755859375,562.0,472351
2024-02-28,520.9119873046875,528.5,559.6500244140625,523.2999877929688,555.0,891660
2024-02-29,502.92401123046875,510.25,530.0,507.04998779296875,525.0,1312973
2024-03-01,526.1359252929688,533.7999877929688,543.7000122070312,519.6500244140625,521.5,1087875
2024-03-04,537.6679077148438,545.5,551.0,534.4500122070312,543.0,800140
2024-03-05,541.75830078125,549.6500244140625,553.7000122070312,540.0999755859375,540.0999755859375,325795
2024-03-06,530.226318359375,537.9500122070312,554.0,527.2000122070312,537.2999877929688,519081
2024-03-07,539.9841918945312,547.8499755859375,551.0,537.0499877929688,542.6500244140625,344537
2024-03-11,535.0066528320312,542.7999877929688,547.8499755859375,528.1500244140625,547.8499755859375,340086
2024-03-12,517.3637084960938,524.9000244140625,548.8499755859375,515.7000122070312,542.0,526517
2024-03-13,487.6958312988281,494.79998779296875,530.2000122070312,491.25,528.4500122070312,1018203
2024-03-14,502.8747253417969,510.20001220703125,513.0499877929688,469.8999938964844,480.1000061035156,619176
2024-03-15,504.3039245605469,511.6499938964844,514.0,487.3999938964844,510.75,577742
2024-03-18,508.7886047363281,516.2000122070312,520.2999877929688,502.6499938964844,512.0999755859375,404461
2024-03-19,493.6589660644531,500.8500061035156,519.0,496.6000061035156,518.7999877929688,267392
2024-03-20,498.8829040527344,506.1499938964844,508.95001220703125,500.95001220703125,500.95001220703125,174352
2024-03-21,516.6244506835938,524.1500244140625,531.0,510.0,514.2000122070312,305555
2024-03-22,528.2550659179688,535.9500122070312,544.5,522.0,526.4000244140625,491887
2024-03-26,511.00628662109375,518.4500122070312,536.7000122070312,515.0,532.0999755859375,440770
