date_,adj close_cgcl.ns,close_cgcl.ns,high_cgcl.ns,low_cgcl.ns,open_cgcl.ns,volume_cgcl.ns
2024-01-16,239.07687377929688,239.5,243.9499969482422,218.08749389648438,234.9875030517578,17235468
2024-01-17,246.68841552734375,247.125,262.25,245.5,252.75,20254440
2024-01-18,238.0786590576172,238.5,254.0749969482422,236.27499389648438,246.75,6871400
2024-01-19,245.05381774902344,245.4875030517578,248.72500610351562,238.7624969482422,240.9250030517578,2297528
2024-01-23,238.4904327392578,238.91250610351562,247.4250030517578,236.25,247.4250030517578,792416
2024-01-24,238.30325317382812,238.72500610351562,242.7624969482422,235.02499389648438,239.75,1366296
2024-01-25,234.67218017578125,235.08749389648438,247.9875030517578,232.5,238.72500610351562,2844856
2024-01-29,248.5601043701172,249.0,256.2250061035156,240.3874969482422,245.0,3004788
2024-01-30,236.59378051757812,237.0124969482422,251.375,235.6750030517578,247.5,2250068
2024-01-31,236.4939727783203,236.91250610351562,238.97500610351562,235.6750030517578,236.75,440436
2024-02-01,241.2729949951172,241.6999969482422,242.5,237.5749969482422,237.9250030517578,631036
2024-02-02,241.1357421875,241.5625,244.9250030517578,239.0500030517578,244.72500610351562,820816
2024-02-05,232.02687072753906,232.4375,244.75,231.7624969482422,243.5,1477336
2024-02-06,230.82899475097656,231.2375030517578,237.14999389648438,230.58749389648438,234.35000610351562,481064
2024-02-07,229.68101501464844,230.08749389648438,236.9250030517578,229.75,236.1999969482422,1708252
2024-02-08,230.15518188476562,230.5625,233.75,226.5,231.28750610351562,1563612
2024-02-09,230.7915496826172,231.1999969482422,234.78750610351562,229.02499389648438,232.5,614056
2024-02-12,224.57754516601562,224.97500610351562,233.0,223.0124969482422,233.0,410860
2024-02-13,231.27818298339844,231.6875,232.5,223.75,226.08749389648438,558228
2024-02-14,231.9395294189453,232.35000610351562,234.4250030517578,228.5625,230.2375030517578,221168
2024-02-15,236.39413452148438,236.8125,237.5,233.0,235.0,266516
2024-02-16,237.6793670654297,238.10000610351562,241.02499389648438,236.83749389648438,238.75,386596
2024-02-19,237.99131774902344,238.41250610351562,241.64999389648438,237.8874969482422,241.64999389648438,270848
2024-02-20,236.96812438964844,237.3874969482422,239.6125030517578,236.5,239.4875030517578,137980
2024-02-21,239.08937072753906,239.5124969482422,241.96249389648438,237.7375030517578,238.5500030517578,3224672
2024-02-22,238.80238342285156,239.22500610351562,241.625,238.02499389648438,240.75,294764
2024-02-23,240.33714294433594,240.7624969482422,242.6750030517578,239.2375030517578,239.6374969482422,347732
2024-02-26,249.33372497558594,249.77499389648438,257.4750061035156,242.5124969482422,243.0749969482422,4532616
2024-02-27,244.0555877685547,244.4875030517578,252.47500610351562,243.75,248.0,898288
2024-02-28,242.4459228515625,242.875,248.25,241.25,247.125,426132
2024-02-29,240.7738800048828,241.1999969482422,244.16250610351562,238.02499389648438,243.0124969482422,392932
2024-03-01,246.9754180908203,247.41250610351562,248.6374969482422,241.8874969482422,243.22500610351562,723524
2024-03-04,240.61167907714844,241.03750610351562,248.4875030517578,240.0,246.25,730536
2024-03-05,288.7389831542969,289.25,289.25,256.0,256.0,2707312
2024-03-06,247.96116638183594,248.39999389648438,282.70001220703125,245.0,280.0,3797289
2024-03-07,247.1126708984375,247.5500030517578,256.3999938964844,237.39999389648438,248.10000610351562,1797056
2024-03-11,228.89491271972656,229.3000030517578,250.8000030517578,228.35000610351562,248.10000610351562,572747
2024-03-12,220.90904235839844,221.3000030517578,230.1999969482422,219.8000030517578,230.14999389648438,551020
2024-03-13,204.58792114257812,204.9499969482422,226.0,201.8000030517578,221.0,318755
2024-03-14,211.12635803222656,211.5,214.64999389648438,195.5500030517578,204.25,411369
2024-03-15,208.13165283203125,208.5,213.0500030517578,202.9499969482422,211.5500030517578,115936
2024-03-18,214.32070922851562,214.6999969482422,219.0,202.39999389648438,208.4499969482422,194687
2024-03-19,205.53623962402344,205.89999389648438,214.0,202.5,206.0,411514
2024-03-20,207.9320068359375,208.3000030517578,211.9499969482422,196.0,207.0,430566
2024-03-21,204.8374786376953,205.1999969482422,209.75,197.64999389648438,207.14999389648438,625267
2024-03-22,201.8427734375,202.1999969482422,208.85000610351562,201.1999969482422,205.89999389648438,143928
2024-03-26,202.39181518554688,202.75,204.8000030517578,198.89999389648438,203.64999389648438,311295
2024-03-27,204.2884521484375,204.64999389648438,208.0,200.0,202.75,1061285
2024-03-28,203.73944091796875,204.10000610351562,208.0,200.0,205.6999969482422,273787
2024-04-01,201.54330444335938,201.89999389648438,204.5,200.0,204.10000610351562,317593
2024-04-02,204.0388946533203,204.39999389648438,207.4499969482422,201.5500030517578,202.0,277368
2024-04-03,237.92892456054688,238.35000610351562,243.0,204.35000610351562,204.39999389648438,11210585
2024-04-04,220.90904235839844,221.3000030517578,236.89999389648438,219.35000610351562,236.89999389648438,3704352
