date_,adj close_indiamart.ns,close_indiamart.ns,high_indiamart.ns,low_indiamart.ns,open_indiamart.ns,volume_indiamart.ns
2024-01-16,2579.34375,2654.199951171875,2700.800048828125,2611.449951171875,2624.89990234375,259288
2024-01-17,2527.69287109375,2601.050048828125,2659.0,2595.0,2643.550048828125,112781
2024-01-18,2418.462890625,2488.64990234375,2636.0,2393.35009765625,2600.0,762462
2024-01-19,2559.227783203125,2633.5,2704.949951171875,2501.35009765625,2509.050048828125,1153028
2024-01-23,2370.261962890625,2439.050048828125,2600.0,2421.0,2579.0,315494
2024-01-24,2380.4169921875,2449.5,2466.85009765625,2416.64990234375,2466.85009765625,201678
2024-01-25,2380.12548828125,2449.199951171875,2467.14990234375,2435.10009765625,2454.449951171875,161178
2024-01-29,2458.306396484375,2529.64990234375,2539.0,2438.550048828125,2469.949951171875,151380
2024-01-30,2429.104248046875,2499.60009765625,2557.5,2488.85009765625,2557.5,135834
2024-01-31,2450.24072265625,2521.35009765625,2528.949951171875,2461.449951171875,2500.0,222003
2024-02-01,2487.606201171875,2559.800048828125,2565.0,2495.10009765625,2500.0,131131
2024-02-02,2489.79296875,2562.050048828125,2583.85009765625,2536.050048828125,2560.0,164721
2024-02-05,2516.2744140625,2589.300048828125,2618.0,2522.89990234375,2550.0,195914
2024-02-06,2528.518798828125,2601.89990234375,2618.0,2563.050048828125,2588.949951171875,231165
2024-02-07,2598.19677734375,2673.60009765625,2687.0,2603.050048828125,2605.0,335789
2024-02-08,2611.607421875,2687.39990234375,2717.5,2665.0,2693.0,359407
2024-02-09,2620.54833984375,2696.60009765625,2711.39990234375,2649.85009765625,2699.0,169477
2024-02-12,2665.396728515625,2742.75,2769.89990234375,2696.0,2696.949951171875,329465
2024-02-13,2623.511962890625,2699.64990234375,2745.0,2640.949951171875,2742.800048828125,197533
2024-02-14,2628.85693359375,2705.14990234375,2731.050048828125,2676.050048828125,2726.60009765625,204700
2024-02-15,2654.26953125,2731.300048828125,2744.800048828125,2686.050048828125,2710.0,187499
2024-02-16,2696.8828125,2775.14990234375,2787.0,2713.5,2732.25,265631
2024-02-19,2699.65234375,2778.0,2805.0,2757.64990234375,2765.050048828125,364299
2024-02-20,2705.53173828125,2784.050048828125,2793.10009765625,2736.050048828125,2780.0,359208
2024-02-21,2642.02490234375,2718.699951171875,2786.64990234375,2687.5,2784.10009765625,295911
2024-02-22,2630.752197265625,2707.10009765625,2727.949951171875,2685.0,2718.64990234375,156632
2024-02-23,2595.62158203125,2670.949951171875,2739.0,2660.10009765625,2739.0,142064
2024-02-26,2605.19384765625,2680.800048828125,2705.300048828125,2655.050048828125,2670.0,120684
2024-02-27,2634.784912109375,2711.25,2714.449951171875,2669.050048828125,2680.800048828125,142725
2024-02-28,2588.47900390625,2663.60009765625,2724.0,2640.75,2720.0,131028
2024-02-29,2579.829833984375,2654.699951171875,2669.949951171875,2608.14990234375,2651.10009765625,199709
2024-03-01,2581.48193359375,2656.39990234375,2669.75,2626.050048828125,2660.0,91638
2024-03-04,2550.627197265625,2624.64990234375,2675.0,2621.050048828125,2675.0,99694
2024-03-05,2565.35009765625,2639.800048828125,2659.699951171875,2608.449951171875,2624.64990234375,89344
2024-03-06,2508.01416015625,2580.800048828125,2635.64990234375,2564.199951171875,2634.89990234375,110023
2024-03-07,2535.66162109375,2609.25,2639.800048828125,2584.10009765625,2600.0,72178
2024-03-11,2475.458740234375,2547.300048828125,2619.89990234375,2534.699951171875,2604.5,87135
2024-03-12,2540.909423828125,2614.64990234375,2689.39990234375,2568.75,2580.0,1028833
2024-03-13,2445.916015625,2516.89990234375,2678.60009765625,2504.0,2640.050048828125,177595
2024-03-14,2541.3466796875,2615.10009765625,2628.85009765625,2475.0,2504.949951171875,105587
2024-03-15,2553.688720703125,2627.800048828125,2661.800048828125,2599.25,2612.0,139841
2024-03-18,2539.84033203125,2613.550048828125,2635.300048828125,2575.5,2629.0,78876
2024-03-19,2523.75732421875,2597.0,2619.89990234375,2581.0,2600.10009765625,84886
2024-03-20,2512.38720703125,2585.300048828125,2618.14990234375,2549.35009765625,2596.0,61682
2024-03-21,2603.104248046875,2678.64990234375,2689.60009765625,2596.14990234375,2596.14990234375,129319
2024-03-22,2599.1201171875,2674.550048828125,2694.89990234375,2641.050048828125,2694.89990234375,94930
2024-03-26,2612.579345703125,2688.39990234375,2705.0,2653.300048828125,2660.0,124680
2024-03-27,2607.96337890625,2683.64990234375,2730.0,2673.050048828125,2720.0,148532
2024-03-28,2570.8408203125,2645.449951171875,2700.0,2612.89990234375,2700.0,229253
2024-04-01,2634.833740234375,2711.300048828125,2722.550048828125,2638.14990234375,2647.949951171875,124072
2024-04-02,2546.740234375,2620.64990234375,2727.89990234375,2586.85009765625,2727.89990234375,508808
2024-04-03,2536.779052734375,2610.39990234375,2615.89990234375,2575.0,2591.050048828125,242981
2024-04-04,2466.906982421875,2538.5,2619.89990234375,2535.0,2611.0,511345
2024-04-05,2471.474365234375,2543.199951171875,2570.699951171875,2535.0,2540.0,145981
2024-04-08,2485.516845703125,2557.64990234375,2578.0,2531.050048828125,2548.449951171875,128242
2024-04-09,2490.035888671875,2562.300048828125,2576.0,2546.64990234375,2565.0,85913
2024-04-10,2491.88232421875,2564.199951171875,2585.60009765625,2558.050048828125,2562.0,58957
2024-04-12,2507.771240234375,2580.550048828125,2607.0,2555.14990234375,2564.14990234375,147786
2024-04-15,2478.8603515625,2550.800048828125,2573.10009765625,2513.300048828125,2550.0,85048
2024-04-16,2503.39794921875,2576.050048828125,2609.949951171875,2528.14990234375,2544.60009765625,113112
2024-04-18,2467.927490234375,2539.550048828125,2615.550048828125,2528.85009765625,2584.0,166146
2024-04-19,2454.953857421875,2526.199951171875,2586.10009765625,2487.050048828125,2495.0,208331
2024-04-22,2528.470458984375,2601.85009765625,2611.949951171875,2540.050048828125,2555.949951171875,190530
2024-04-23,2561.51171875,2635.85009765625,2653.949951171875,2590.64990234375,2604.0,169429
2024-04-24,2562.629150390625,2637.0,2676.0,2621.64990234375,2630.0,158652
2024-04-25,2583.328369140625,2658.300048828125,2669.0,2627.5,2637.0,78484
