date_,adj close_oil.ns,close_oil.ns,high_oil.ns,low_oil.ns,open_oil.ns,volume_oil.ns
2024-01-16,245.75144958496094,259.5666809082031,268.5333251953125,257.0666809082031,267.29998779296875,7527022
2024-01-17,240.70196533203125,254.23333740234375,256.6666564941406,252.6666717529297,256.6666564941406,3668559
2024-01-18,249.60166931152344,263.6333312988281,271.20001220703125,251.0,252.26666259765625,13669572
2024-01-19,260.23712158203125,274.8666687011719,279.8666687011719,265.3666687011719,267.1666564941406,14235444
2024-01-23,250.10662841796875,264.1666564941406,281.4666748046875,261.3333435058594,281.3666687011719,6585585
2024-01-24,253.5465545654297,267.79998779296875,271.0,262.3333435058594,265.6000061035156,3091435
2024-01-25,254.4302215576172,268.73333740234375,271.3666687011719,266.73333740234375,270.6666564941406,1546594
2024-01-29,261.0576477050781,275.73333740234375,280.6666564941406,269.5333251953125,272.0,5919964
2024-01-30,270.84100341796875,286.0666809082031,295.5666809082031,277.6333312988281,278.79998779296875,14435830
2024-01-31,269.1999206542969,284.3333435058594,289.23333740234375,279.0333251953125,289.23333740234375,5269129
2024-02-01,275.4170837402344,290.8999938964844,292.6666564941406,282.0333251953125,285.26666259765625,4610217
2024-02-02,282.0760803222656,297.9333190917969,299.8666687011719,288.76666259765625,291.3333435058594,9224964
2024-02-05,290.02899169921875,306.3333435058594,309.4666748046875,293.3666687011719,297.6333312988281,9466552
2024-02-06,303.5994567871094,320.6666564941406,344.26666259765625,297.3333435058594,308.0,25406701
2024-02-07,307.7652587890625,325.0666809082031,331.1333312988281,315.3333435058594,323.20001220703125,9954616
2024-02-08,323.8919982910156,342.1000061035156,346.6666564941406,322.5,326.3999938964844,14212656
2024-02-09,325.7855529785156,344.1000061035156,349.6000061035156,334.70001220703125,345.3666687011719,9378834
2024-02-12,295.9621276855469,312.6000061035156,346.5333251953125,304.3333435058594,346.5333251953125,8691124
2024-02-13,296.561767578125,313.23333740234375,317.5666809082031,295.70001220703125,312.6666564941406,8704672
2024-02-14,314.802978515625,332.5,336.5666809082031,305.73333740234375,313.3333435058594,16876045
2024-02-15,355.4512023925781,375.4333190917969,383.6000061035156,335.3333435058594,337.8999938964844,42022867
2024-02-16,362.07861328125,382.4333190917969,411.3333435058594,370.6666564941406,378.5666809082031,29453875
2024-02-19,375.0494689941406,396.1333312988281,406.6666564941406,382.79998779296875,384.0,14973933
2024-02-20,381.6768798828125,403.1333312988281,420.0,382.6666564941406,397.8999938964844,19496004
2024-02-21,369.3687744140625,390.1333312988281,416.0,385.4666748046875,405.9333190917969,13007422
2024-02-22,377.7635803222656,399.0,406.4666748046875,381.8999938964844,394.6666564941406,14215017
2024-02-23,373.4084167480469,394.3999938964844,402.8666687011719,391.3333435058594,402.6666564941406,6027859
2024-02-26,359.77484130859375,380.0,395.9666748046875,375.5333251953125,391.5666809082031,6269761
2024-02-27,362.4889221191406,382.8666687011719,389.20001220703125,375.0666809082031,382.6333312988281,9126498
2024-02-28,357.9759216308594,378.1000061035156,390.6666564941406,374.1333312988281,386.4666748046875,6455437
2024-02-29,344.9735412597656,364.3666687011719,380.79998779296875,362.6666564941406,380.6666564941406,7681069
2024-03-01,371.8620300292969,392.76666259765625,395.9333190917969,368.6000061035156,369.5666809082031,16145448
2024-03-04,394.4267883300781,416.6000061035156,426.1333312988281,395.9333190917969,396.0,24780336
2024-03-05,398.59259033203125,421.0,425.79998779296875,412.0,419.26666259765625,9599257
2024-03-06,400.0758972167969,422.5666809082031,431.3333435058594,412.0,422.6666564941406,9751120
2024-03-07,397.7090148925781,420.0666809082031,429.0333251953125,418.23333740234375,424.0,6128920
2024-03-11,388.39898681640625,410.23333740234375,428.6666564941406,407.0,421.9333190917969,7452646
2024-03-12,386.72637939453125,408.4666748046875,418.1666564941406,402.0,414.3333435058594,7114618
2024-03-13,362.17333984375,382.5333251953125,412.8999938964844,375.4333190917969,412.4333190917969,8455125
2024-03-14,361.7630310058594,382.1000061035156,393.6666564941406,374.6666564941406,382.5333251953125,6103764
2024-03-15,350.7173156738281,370.4333190917969,392.4666748046875,342.0,386.3333435058594,25914057
2024-03-18,349.4674072265625,363.4666748046875,369.3666687011719,356.20001220703125,365.6666564941406,4199797
2024-03-19,349.78790283203125,363.79998779296875,372.76666259765625,355.5666809082031,363.3333435058594,8245039
2024-03-20,362.2872009277344,376.79998779296875,380.0,363.20001220703125,370.0,5345346
2024-03-21,378.7926940917969,393.9666748046875,397.73333740234375,379.0,379.29998779296875,5951128
2024-03-22,372.8955993652344,387.8333435058594,397.29998779296875,385.8333435058594,394.76666259765625,4846110
2024-03-26,391.93292236328125,407.6333312988281,410.4666748046875,385.8333435058594,389.6000061035156,8318839
2024-03-27,383.8244323730469,399.20001220703125,419.8666687011719,394.70001220703125,407.9666748046875,8831590
2024-03-28,384.75384521484375,400.1666564941406,407.3333435058594,394.79998779296875,402.6333312988281,5168940
2024-04-01,378.82470703125,394.0,405.6666564941406,388.3333435058594,404.20001220703125,6410716
2024-04-02,403.8874206542969,420.0666809082031,423.3333435058594,393.4333190917969,396.6666564941406,10512811
2024-04-03,407.44488525390625,423.76666259765625,446.3333435058594,416.73333740234375,420.0666809082031,20134173
2024-04-04,398.53515625,414.5,427.73333740234375,408.8999938964844,426.0,8523888
2024-04-05,402.7977600097656,418.9333190917969,432.3999938964844,414.79998779296875,416.5666809082031,7769421
2024-04-08,400.3619384765625,416.3999938964844,429.3333435058594,412.3333435058594,423.0,6084534
2024-04-09,403.6630554199219,419.8333435058594,424.1000061035156,412.3999938964844,418.73333740234375,3361321
2024-04-10,405.0411682128906,421.26666259765625,432.0,417.6666564941406,421.20001220703125,11620357
2024-04-12,391.6765441894531,407.3666687011719,425.1666564941406,405.20001220703125,421.3333435058594,10294717
2024-04-15,398.5992431640625,414.5666809082031,424.29998779296875,397.0,407.3666687011719,13902802
2024-04-16,399.3043212890625,415.29998779296875,423.26666259765625,407.3999938964844,409.9333190917969,7082797
2024-04-18,386.6127624511719,402.1000061035156,419.9333190917969,400.0333251953125,415.3333435058594,7090167
2024-04-19,384.4974365234375,399.8999938964844,411.26666259765625,397.3666687011719,402.6666564941406,6219927
2024-04-22,382.54248046875,397.8666687011719,411.0,396.6666564941406,404.0,3729898
2024-04-23,378.6644592285156,393.8333435058594,401.70001220703125,392.4333190917969,400.6666564941406,3422259
2024-04-24,389.9458923339844,405.5666809082031,409.20001220703125,392.6666564941406,396.0,4776244
2024-04-25,392.60601806640625,408.3333435058594,413.6666564941406,401.3666687011719,402.6666564941406,5229909
2024-04-26,402.7656555175781,418.8999938964844,424.6000061035156,410.79998779296875,412.8333435058594,9480820
2024-04-29,398.08642578125,414.0333251953125,423.0333251953125,411.6666564941406,422.9333190917969,4442791
2024-04-30,397.5095520019531,413.4333190917969,425.8666687011719,412.0333251953125,416.1333312988281,6118725
2024-05-02,404.1117248535156,420.29998779296875,421.3333435058594,403.3333435058594,416.1333312988281,7053796
2024-05-03,404.2398986816406,420.4333190917969,428.6666564941406,413.8999938964844,422.4666748046875,6418309
2024-05-06,406.03472900390625,422.29998779296875,434.6666564941406,411.23333740234375,424.6000061035156,6290506
2024-05-07,408.08587646484375,424.4333190917969,432.6666564941406,418.8666687011719,422.6666564941406,9392655
2024-05-08,410.6498107910156,427.1000061035156,432.0,417.1666564941406,425.26666259765625,5102517
2024-05-09,395.71478271484375,411.5666809082031,428.6333312988281,404.6666564941406,428.29998779296875,7175680
2024-05-10,396.8365478515625,412.73333740234375,415.26666259765625,398.4333190917969,414.3333435058594,4647796
2024-05-13,387.3498840332031,402.8666687011719,412.29998779296875,392.70001220703125,411.3333435058594,4387174
2024-05-14,397.1570129394531,413.0666809082031,418.0,404.5666809082031,406.6666564941406,3913023
2024-05-15,405.8103942871094,422.0666809082031,425.20001220703125,411.6333312988281,415.0,6298636
2024-05-16,408.8550720214844,425.23333740234375,442.0,420.9333190917969,426.0,12155736
2024-05-17,409.8165283203125,426.23333740234375,428.6666564941406,422.6666564941406,428.6666564941406,3965793
2024-05-21,425.6169128417969,442.6666564941406,447.3999938964844,427.0333251953125,437.3333435058594,11319223
2024-05-22,420.7774658203125,437.6333312988281,449.29998779296875,433.6666564941406,449.26666259765625,6830181
2024-05-23,418.9185791015625,435.70001220703125,441.20001220703125,431.4666748046875,438.6333312988281,4007671
