date_,adj close_sail.ns,close_sail.ns,high_sail.ns,low_sail.ns,open_sail.ns,volume_sail.ns
2024-01-16,116.24634552001953,119.55000305175781,119.94999694824219,114.0,115.05000305175781,63560474
2024-01-17,109.97457885742188,113.0999984741211,117.8499984741211,112.5,117.8499984741211,59898451
2024-01-18,109.92596435546875,113.05000305175781,114.05000305175781,107.5,113.0999984741211,39166751
2024-01-19,110.94693756103516,114.0999984741211,114.8499984741211,113.5,114.30000305175781,14431734
2024-01-23,105.79340362548828,108.80000305175781,114.9000015258789,108.0,114.9000015258789,29014770
2024-01-24,111.87069702148438,115.05000305175781,115.5,109.0,109.8499984741211,37267385
2024-01-25,115.80876922607422,119.0999984741211,119.94999694824219,114.0,115.9000015258789,62850007
2024-01-29,117.1214599609375,120.44999694824219,121.6500015258789,118.0,120.5,45734036
2024-01-30,117.85073852539062,121.19999694824219,124.8499984741211,120.6500015258789,121.69999694824219,54176726
2024-01-31,119.11481475830078,122.5,124.30000305175781,120.69999694824219,121.5,28514173
2024-02-01,116.00324249267578,119.30000305175781,123.5,118.69999694824219,123.5,23393545
2024-02-02,124.75454711914062,128.3000030517578,129.64999389648438,119.80000305175781,120.5,115557246
2024-02-05,131.56109619140625,135.3000030517578,138.39999389648438,130.0,130.0,130644925
2024-02-06,141.47923278808594,145.5,146.6999969482422,133.8000030517578,137.25,121450085
2024-02-07,139.48587036132812,143.4499969482422,150.0,142.64999389648438,148.39999389648438,100793018
2024-02-08,135.2074737548828,139.0500030517578,145.89999389648438,138.0,144.25,34821242
2024-02-09,129.95669555664062,133.64999389648438,139.60000610351562,129.4499969482422,139.25,53110476
2024-02-12,119.35790252685547,122.75,136.0,121.0,134.25,54452795
2024-02-13,114.59330749511719,117.8499984741211,121.6500015258789,116.30000305175781,120.05000305175781,65167883
2024-02-14,119.55237579345703,122.94999694824219,123.69999694824219,116.0,117.0999984741211,44986596
2024-02-15,122.27500915527344,125.75,126.9000015258789,123.25,124.0,41215523
2024-02-16,123.92801666259766,127.44999694824219,131.39999389648438,127.0,127.0999984741211,52165364
2024-02-19,124.75454711914062,128.3000030517578,130.39999389648438,125.80000305175781,128.60000610351562,29556961
2024-02-20,127.7435531616211,130.35000610351562,131.39999389648438,126.30000305175781,129.0,35081976
2024-02-21,127.59654998779297,130.1999969482422,134.1999969482422,129.0,130.64999389648438,78653013
2024-02-22,126.71455383300781,129.3000030517578,132.1999969482422,125.6500015258789,131.5,59343469
2024-02-23,125.44054412841797,128.0,131.3000030517578,127.0999984741211,130.39999389648438,23535334
2024-02-26,121.71652221679688,124.19999694824219,128.0,123.75,128.0,23550719
2024-02-27,122.8435287475586,125.3499984741211,126.30000305175781,124.19999694824219,124.5,17548565
2024-02-28,119.31552124023438,121.75,126.69999694824219,121.1500015258789,125.5,22958071
2024-02-29,118.7765121459961,121.19999694824219,123.80000305175781,120.44999694824219,121.3499984741211,48476583
2024-03-01,130.340576171875,133.0,135.75,123.0,123.0,140528760
2024-03-04,138.81759643554688,141.64999389648438,145.0,133.0,138.1999969482422,122158785
2024-03-05,137.4456024169922,140.25,142.64999389648438,138.75,141.3000030517578,46101452
2024-03-06,136.26959228515625,139.0500030517578,142.0,133.1999969482422,139.8000030517578,60977883
2024-03-07,136.1715850830078,138.9499969482422,143.25,138.35000610351562,139.5,69331029
2024-03-11,131.61456298828125,134.3000030517578,140.60000610351562,133.5,139.75,36011903
2024-03-12,127.1555404663086,129.75,135.3000030517578,128.5,134.5500030517578,33809481
2024-03-13,116.32649993896484,118.69999694824219,130.4499969482422,117.3499984741211,130.0,54001247
2024-03-14,119.07051086425781,121.5,123.5,118.5999984741211,119.0999984741211,34792279
2024-03-15,119.26651000976562,121.69999694824219,124.4000015258789,118.55000305175781,121.0999984741211,38312218
2024-03-18,123.43152618408203,125.94999694824219,126.5999984741211,121.44999694824219,122.0,31290052
2024-03-19,120.09952545166016,122.55000305175781,127.5,122.05000305175781,126.75,26647871
2024-03-20,121.17752838134766,123.6500015258789,125.5999984741211,120.05000305175781,123.5999984741211,23242684
2024-03-21,126.4205551147461,129.0,132.10000610351562,127.0,127.3499984741211,82318813
2024-03-22,127.40055084228516,130.0,132.10000610351562,126.19999694824219,127.9000015258789,35650313
2024-03-26,127.98856353759766,130.60000610351562,132.5,128.35000610351562,129.0,27547560
2024-03-27,130.97755432128906,133.64999389648438,134.89999389648438,131.0,131.0,34505131
2024-03-28,131.56556701660156,134.25,136.6999969482422,133.14999389648438,134.8000030517578,32144564
2024-04-01,137.9355926513672,140.75,141.1999969482422,135.60000610351562,135.60000610351562,44340181
2024-04-02,144.8936309814453,147.85000610351562,150.64999389648438,139.5500030517578,140.75,109998430
2024-04-03,145.2366180419922,148.1999969482422,153.3000030517578,146.25,147.0,84535270
2024-04-04,143.0316162109375,145.9499969482422,150.0,143.75,149.6999969482422,39242074
2024-04-05,143.276611328125,146.1999969482422,147.5,143.0,144.89999389648438,27927587
2024-04-08,143.3746337890625,146.3000030517578,148.39999389648438,145.3000030517578,147.3000030517578,17159687
2024-04-09,148.3236541748047,151.35000610351562,153.4499969482422,144.8000030517578,146.9499969482422,73641695
2024-04-10,149.98965454101562,153.0500030517578,155.5,152.5500030517578,153.0,60992105
2024-04-12,152.24366760253906,155.35000610351562,156.60000610351562,151.5,153.14999389648438,73596074
2024-04-15,148.02964782714844,151.0500030517578,157.39999389648438,146.5,152.89999389648438,89754583
