date_,adj close_bankindia.ns,close_bankindia.ns,high_bankindia.ns,low_bankindia.ns,open_bankindia.ns,volume_bankindia.ns
2024-01-16,126.94853210449219,134.5500030517578,136.89999389648438,129.60000610351562,130.89999389648438,33801884
2024-01-17,125.2502212524414,132.75,136.3000030517578,130.0500030517578,131.39999389648438,28568989
2024-01-18,126.75983428955078,134.35000610351562,135.10000610351562,127.94999694824219,132.0,28936853
2024-01-19,127.56181335449219,135.1999969482422,137.39999389648438,133.60000610351562,135.4499969482422,14991995
2024-01-23,124.35389709472656,131.8000030517578,139.6999969482422,128.8000030517578,138.89999389648438,24563193
2024-01-24,125.62761688232422,133.14999389648438,136.85000610351562,126.55000305175781,131.8000030517578,19268806
2024-01-25,124.07083892822266,131.5,135.89999389648438,130.60000610351562,133.64999389648438,12029308
2024-01-29,127.84485626220703,135.5,136.64999389648438,132.39999389648438,132.5,16380958
2024-01-30,130.81689453125,138.64999389648438,140.0,135.0,136.6999969482422,21776835
2024-01-31,131.09994506835938,138.9499969482422,141.39999389648438,136.3000030517578,139.25,18743903
2024-02-01,137.185546875,145.39999389648438,146.1999969482422,136.89999389648438,139.75,39021958
2024-02-02,142.98809814453125,151.5500030517578,156.25,145.9499969482422,146.5,43049310
2024-02-05,130.7697296142578,138.60000610351562,147.10000610351562,137.5,147.10000610351562,72223881
2024-02-06,126.14654541015625,133.6999969482422,139.60000610351562,130.5500030517578,139.0,41258558
2024-02-07,129.59034729003906,137.35000610351562,140.3000030517578,135.5500030517578,136.0,32381185
2024-02-08,133.64739990234375,141.64999389648438,144.8000030517578,139.5500030517578,139.8000030517578,44308819
2024-02-09,129.49598693847656,137.25,143.10000610351562,134.0500030517578,142.64999389648438,21954850
2024-02-12,121.2403335571289,128.5,138.39999389648438,124.44999694824219,138.25,21067330
2024-02-13,123.64627075195312,131.0500030517578,132.9499969482422,128.0,128.5500030517578,18000556
2024-02-14,128.12791442871094,135.8000030517578,136.25,127.0,128.0,13531486
2024-02-15,134.8739776611328,142.9499969482422,143.4499969482422,136.5500030517578,136.85000610351562,25972974
2024-02-16,135.91183471679688,144.0500030517578,149.5,143.10000610351562,146.5,34806902
2024-02-19,134.73245239257812,142.8000030517578,146.0,141.3000030517578,145.0,10942695
2024-02-20,133.9304656982422,141.9499969482422,144.35000610351562,141.1999969482422,144.10000610351562,8657283
2024-02-21,133.22283935546875,141.1999969482422,146.4499969482422,140.39999389648438,142.64999389648438,15922241
2024-02-22,131.38299560546875,139.25,142.3000030517578,136.5,141.8000030517578,17728329
2024-02-23,129.1186065673828,136.85000610351562,140.75,136.0,140.0,15595124
