date_,adj close_ongc.ns,close_ongc.ns,high_ongc.ns,low_ongc.ns,open_ongc.ns,volume_ongc.ns
2024-01-16,213.65235900878906,235.10000610351562,238.9499969482422,231.10000610351562,234.9499969482422,34505065
2024-01-17,210.88058471679688,232.0500030517578,237.25,230.6999969482422,232.1999969482422,26010955
2024-01-18,212.24374389648438,233.5500030517578,234.5,224.64999389648438,230.0500030517578,19232183
2024-01-19,219.9683074951172,242.0500030517578,242.5500030517578,235.0,236.0,26391844
2024-01-23,208.9267120361328,229.89999389648438,245.64999389648438,228.0,245.0,20282617
2024-01-24,212.97076416015625,234.35000610351562,235.0,228.10000610351562,231.0,14458601
2024-01-25,212.6981201171875,234.0500030517578,237.5,232.8000030517578,235.0,18291957
2024-01-29,229.46495056152344,252.5,254.9499969482422,239.10000610351562,241.0,54127939
2024-01-30,226.46603393554688,249.1999969482422,263.29998779296875,248.64999389648438,256.5,51491099
2024-01-31,229.23776245117188,252.25,254.35000610351562,246.3000030517578,250.4499969482422,33293192
2024-02-01,225.05743408203125,247.64999389648438,254.64999389648438,245.4499969482422,254.64999389648438,29758133
2024-02-02,233.78164672851562,257.25,260.0,249.0,250.0,30482663
2024-02-05,238.961669921875,262.95001220703125,268.04998779296875,255.10000610351562,260.04998779296875,34001868
2024-02-06,247.4586639404297,272.29998779296875,273.3999938964844,260.20001220703125,265.3500061035156,36708949
2024-02-07,247.09512329101562,271.8999938964844,275.6499938964844,267.54998779296875,275.0,23756939
2024-02-08,248.2310791015625,273.1499938964844,275.6499938964844,269.1000061035156,273.04998779296875,25252940
2024-02-09,243.14199829101562,267.54998779296875,275.6499938964844,259.1499938964844,275.0,26743792
2024-02-12,234.37232971191406,257.8999938964844,266.6000061035156,256.79998779296875,261.95001220703125,30906374
2024-02-13,235.82638549804688,259.5,262.3999938964844,254.6999969482422,258.0,20711842
2024-02-14,244.32342529296875,268.8500061035156,269.6499938964844,256.0,258.0,36168962
2024-02-15,252.00250244140625,277.29998779296875,279.8500061035156,269.0,271.6499938964844,32831246
2024-02-16,253.29345703125,274.70001220703125,278.0,270.3500061035156,275.1499938964844,27044984
2024-02-19,253.247314453125,274.6499938964844,279.04998779296875,272.3999938964844,274.70001220703125,15322964
2024-02-20,255.04537963867188,276.6000061035156,281.1499938964844,274.04998779296875,274.79998779296875,18968785
2024-02-21,251.6797637939453,272.95001220703125,281.1000061035156,271.6000061035156,276.0,16340579
2024-02-22,253.29345703125,274.70001220703125,276.0,268.5,273.8500061035156,16791453
2024-02-23,250.98826599121094,272.20001220703125,276.0,271.1000061035156,274.8999938964844,9464646
2024-02-26,248.82138061523438,269.8500061035156,271.8999938964844,267.79998779296875,271.8999938964844,8661999
2024-02-27,248.3603515625,269.3500061035156,270.20001220703125,264.95001220703125,268.04998779296875,19582774
2024-02-28,245.04086303710938,265.75,270.29998779296875,264.6000061035156,270.0,9118196
2024-02-29,243.98049926757812,264.6000061035156,266.3500061035156,261.5,265.0,17179832
2024-03-01,249.46681213378906,270.54998779296875,272.95001220703125,266.5,266.5,12930057
2024-03-04,257.4427795410156,279.20001220703125,280.54998779296875,272.5,272.75,22280353
2024-03-05,261.63818359375,283.75,284.95001220703125,276.6499938964844,280.0,18544484
2024-03-06,258.4109191894531,280.25,284.29998779296875,273.54998779296875,284.29998779296875,16807149
2024-03-07,256.428466796875,278.1000061035156,284.3500061035156,277.25,280.25,11386963
2024-03-11,252.64796447753906,274.0,280.5,273.20001220703125,278.1000061035156,10684598
