date_,adj close_ipcalab.ns,close_ipcalab.ns,high_ipcalab.ns,low_ipcalab.ns,open_ipcalab.ns,volume_ipcalab.ns
2024-01-16,1129.7677001953125,1134.550048828125,1140.949951171875,1121.800048828125,1140.0,219948
2024-01-17,1118.76416015625,1123.5,1136.25,1112.199951171875,1130.0,219441
2024-01-18,1076.8416748046875,1081.4000244140625,1123.5,1062.4000244140625,1120.0,408875
2024-01-19,1095.3134765625,1099.949951171875,1105.0,1075.9000244140625,1080.800048828125,314207
2024-01-23,1077.439208984375,1082.0,1093.25,1061.050048828125,1075.0,525982
2024-01-24,1093.8197021484375,1098.449951171875,1109.0,1062.1500244140625,1065.0,326644
2024-01-25,1110.7481689453125,1115.449951171875,1120.8499755859375,1079.199951171875,1093.0,931856
2024-01-29,1127.8258056640625,1132.5999755859375,1135.050048828125,1111.0,1116.25,689193
2024-01-30,1099.0477294921875,1103.699951171875,1141.0,1098.0999755859375,1134.9000244140625,154768
2024-01-31,1115.5279541015625,1120.25,1129.199951171875,1102.9000244140625,1103.5,253038
2024-02-01,1109.75244140625,1114.449951171875,1124.699951171875,1097.4000244140625,1124.699951171875,158837
2024-02-02,1104.076416015625,1108.75,1120.300048828125,1103.0,1114.0,87784
2024-02-05,1129.5684814453125,1134.3499755859375,1146.5,1103.199951171875,1110.0,463804
2024-02-06,1194.095458984375,1199.1500244140625,1203.949951171875,1134.3499755859375,1134.3499755859375,2350648
2024-02-07,1220.334228515625,1225.5,1232.3499755859375,1192.8499755859375,1204.0,922586
2024-02-08,1210.62548828125,1215.75,1263.949951171875,1210.0,1230.0,820166
2024-02-09,1190.560302734375,1195.5999755859375,1224.0,1190.0,1219.800048828125,256840
2024-02-12,1163.27587890625,1168.199951171875,1201.9000244140625,1151.3499755859375,1198.9000244140625,576271
2024-02-13,1155.7576904296875,1160.6500244140625,1182.3499755859375,1146.8499755859375,1182.3499755859375,334482
2024-02-14,1149.832763671875,1154.699951171875,1207.5,1134.050048828125,1144.0,1103355
2024-02-15,1147.4925537109375,1152.3499755859375,1192.0,1145.0,1164.5,777977
2024-02-16,1236.217041015625,1241.449951171875,1247.550048828125,1155.0,1155.800048828125,2036820
2024-02-19,1230.740234375,1235.949951171875,1260.550048828125,1225.4000244140625,1248.050048828125,305423
