date_,adj close_sonatsoftw.ns,close_sonatsoftw.ns,high_sonatsoftw.ns,low_sonatsoftw.ns,open_sonatsoftw.ns,volume_sonatsoftw.ns
2024-01-16,747.2484741210938,765.0,771.25,751.0499877929688,762.0999755859375,628161
2024-01-17,742.0226440429688,759.6500244140625,762.4000244140625,745.0499877929688,756.7000122070312,410793
2024-01-18,748.0786743164062,765.8499755859375,770.0,732.4500122070312,759.6500244140625,417635
2024-01-19,752.327880859375,770.2000122070312,776.5,756.5,768.2000122070312,478114
2024-01-23,722.3890380859375,739.5499877929688,766.4500122070312,734.1500244140625,762.0,449923
2024-01-24,736.7478637695312,754.25,759.8499755859375,718.5,736.0,580239
2024-01-25,731.13134765625,748.5,757.75,738.5499877929688,754.25,249950
2024-01-29,723.17041015625,740.3499755859375,754.0999755859375,733.5,748.4500122070312,295146
2024-01-30,717.5538330078125,734.5999755859375,751.5999755859375,730.4000244140625,742.5,259382
2024-01-31,750.1788330078125,768.0,770.0,735.5,736.8499755859375,725180
2024-02-01,746.9066162109375,764.6500244140625,778.0,752.9000244140625,769.9000244140625,398384
2024-02-02,750.5695190429688,768.4000244140625,774.0,710.5,744.9500122070312,750592
2024-02-05,789.4948120117188,808.25,815.0,762.1500244140625,768.4000244140625,2233078
2024-02-06,804.1468505859375,823.25,838.0999755859375,813.4500122070312,825.0,969433
2024-02-07,786.61328125,805.2999877929688,830.7000122070312,802.1500244140625,830.0,392437
2024-02-08,779.7268676757812,798.25,810.0499877929688,787.7000122070312,806.5499877929688,429345
2024-02-09,778.2128295898438,796.7000122070312,814.0,777.5,802.4500122070312,267815
2024-02-12,765.6121826171875,783.7999877929688,808.7000122070312,775.0999755859375,797.5499877929688,243205
2024-02-13,762.5353393554688,780.6500244140625,786.5,745.2999877929688,786.5,546438
2024-02-14,759.1653442382812,777.2000122070312,788.6500244140625,762.75,781.0,213471
2024-02-15,793.8416137695312,812.7000122070312,827.0,780.0,782.9500122070312,551870
2024-02-16,778.9454956054688,797.4500122070312,820.75,786.0,815.2000122070312,331847
2024-02-19,822.6570434570312,842.2000122070312,848.0,801.4500122070312,802.0,1176036
2024-02-20,802.0955200195312,821.1500244140625,865.6500244140625,815.0,850.0,735116
2024-02-21,814.110107421875,833.4500122070312,859.9000244140625,821.1500244140625,821.1500244140625,785562
2024-02-22,824.6106567382812,844.2000122070312,852.5499877929688,826.0,833.8499755859375,407885
2024-02-23,819.8731689453125,839.3499755859375,846.9000244140625,831.5499877929688,846.9000244140625,178701
2024-02-26,827.8341674804688,847.5,852.0,818.7000122070312,839.3499755859375,338114
2024-02-27,837.74853515625,857.6500244140625,870.0,837.4500122070312,854.1500244140625,434501
2024-02-28,821.2894897460938,840.7999877929688,864.9500122070312,826.7000122070312,860.2000122070312,359864
2024-02-29,792.1322021484375,810.9500122070312,840.7999877929688,793.1500244140625,840.0,1030469
2024-03-01,798.3348388671875,817.2999877929688,825.0,806.5499877929688,815.0,379858
2024-03-04,797.8953247070312,816.8499755859375,826.1500244140625,797.8499755859375,822.5999755859375,408787
2024-03-05,803.6094970703125,822.7000122070312,834.7999877929688,803.2000122070312,811.0,430078
2024-03-06,786.4179077148438,805.0999755859375,825.0,774.9500122070312,825.0,660313
2024-03-07,770.7403564453125,789.0499877929688,816.9500122070312,785.0,812.4000244140625,507791
2024-03-11,764.6842651367188,782.8499755859375,793.4500122070312,765.0,793.0,277164
2024-03-12,736.6990356445312,754.2000122070312,782.4500122070312,743.5999755859375,777.7000122070312,585798
2024-03-13,723.1216430664062,740.2999877929688,757.7000122070312,705.9500122070312,754.2000122070312,937981
2024-03-14,711.1069946289062,728.0,741.2000122070312,704.0499877929688,737.0,964087
2024-03-15,714.5258178710938,731.5,747.4000244140625,718.25,728.0,528367
2024-03-18,728.1521606445312,745.4500122070312,749.0999755859375,723.3499755859375,731.5,351460
2024-03-19,732.6941528320312,750.0999755859375,753.9000244140625,733.6500244140625,750.4000244140625,291232
2024-03-20,711.7420043945312,728.6500244140625,756.0,725.0,753.0999755859375,998435
2024-03-21,731.6685180664062,749.0499877929688,763.0,722.0,730.0,774076
