date_,adj close_beml.ns,close_beml.ns,high_beml.ns,low_beml.ns,open_beml.ns,volume_beml.ns
2024-01-16,1556.637451171875,1575.375,1589.5,1560.0,1569.0,483852
2024-01-17,1525.1663818359375,1543.5250244140625,1581.5,1522.574951171875,1550.0,537076
2024-01-18,1553.4014892578125,1572.0999755859375,1581.949951171875,1515.5,1550.0,706070
2024-01-19,1577.16552734375,1596.1500244140625,1598.449951171875,1575.7750244140625,1587.3499755859375,381798
2024-01-23,1495.3997802734375,1513.4000244140625,1629.0,1491.0250244140625,1593.0,989430
2024-01-24,1561.083984375,1579.875,1595.0,1504.425048828125,1519.050048828125,651176
2024-01-25,1581.414306640625,1600.449951171875,1622.449951171875,1579.875,1591.0,403882
2024-01-29,1574.25048828125,1593.199951171875,1647.0,1568.9749755859375,1605.5,589368
2024-01-30,1735.2376708984375,1756.125,1790.2750244140625,1597.5,1600.0,3499198
2024-01-31,1731.8040771484375,1752.6500244140625,1830.5,1740.75,1767.5250244140625,1928076
2024-02-01,1879.7728271484375,1902.4000244140625,1927.5,1752.0250244140625,1767.375,2345962
2024-02-02,1890.271728515625,1913.0250244140625,2072.125,1888.5,1931.5,3305542
2024-02-05,1840.470947265625,1862.625,1930.699951171875,1846.550048828125,1927.0,758188
2024-02-06,1782.073974609375,1803.5250244140625,1872.3499755859375,1789.875,1870.2750244140625,535272
2024-02-07,1822.660400390625,1844.5999755859375,1874.949951171875,1810.425048828125,1818.949951171875,686906
2024-02-08,1736.818603515625,1757.7249755859375,1861.4000244140625,1746.5250244140625,1861.4000244140625,970804
2024-02-09,1604.26416015625,1623.574951171875,1757.5,1571.2750244140625,1754.0,1773946
2024-02-12,1423.218505859375,1440.3499755859375,1628.5,1413.0250244140625,1627.449951171875,1489298
2024-02-13,1369.169189453125,1385.6500244140625,1474.875,1340.675048828125,1446.9000244140625,2574682
2024-02-14,1506.392333984375,1524.5250244140625,1549.0,1371.050048828125,1387.449951171875,3147374
2024-02-15,1535.3438720703125,1553.824951171875,1570.0,1514.5250244140625,1535.0,1532974
2024-02-16,1554.8656005859375,1571.050048828125,1582.5,1517.6500244140625,1560.0,1069650
2024-02-19,1554.3955078125,1570.574951171875,1598.0,1545.75,1579.5,632384
2024-02-20,1489.990966796875,1505.5,1571.9749755859375,1497.574951171875,1570.5,822370
2024-02-21,1474.37841796875,1489.7249755859375,1534.5,1480.5,1507.5,576264
2024-02-22,1495.656982421875,1511.2249755859375,1528.050048828125,1444.0,1502.5,813824
2024-02-23,1500.877685546875,1516.5,1551.300048828125,1505.0,1527.175048828125,694374
2024-02-26,1520.74560546875,1536.574951171875,1548.9749755859375,1501.5250244140625,1516.5,448202
2024-02-27,1669.002685546875,1686.375,1710.0,1525.0,1539.0,4225014
2024-02-28,1602.1484375,1618.824951171875,1689.4000244140625,1605.050048828125,1678.5250244140625,1584784
2024-02-29,1544.003662109375,1560.074951171875,1623.0,1536.699951171875,1618.824951171875,1043208
2024-03-01,1568.2266845703125,1584.550048828125,1615.0,1568.550048828125,1581.9749755859375,772346
2024-03-04,1591.3114013671875,1607.875,1634.449951171875,1553.625,1607.5250244140625,866516
2024-03-05,1602.494873046875,1619.175048828125,1666.5,1597.7249755859375,1622.425048828125,1252048
2024-03-06,1584.5567626953125,1601.050048828125,1618.5250244140625,1543.0250244140625,1618.5250244140625,835844
