date_,adj close_jbma.ns,close_jbma.ns,high_jbma.ns,low_jbma.ns,open_jbma.ns,volume_jbma.ns
2024-01-16,927.0098876953125,928.9749755859375,946.4749755859375,910.0,916.5,327804
2024-01-17,955.8237915039062,957.8499755859375,983.9749755859375,913.0,925.0,397688
2024-01-18,942.826416015625,944.8250122070312,964.8250122070312,882.3499755859375,958.9000244140625,320406
2024-01-19,946.0695190429688,948.0750122070312,970.9000244140625,939.7999877929688,952.5,198798
2024-01-23,898.91943359375,900.8250122070312,941.4749755859375,895.0,936.5,199156
2024-01-24,923.392578125,925.3499755859375,944.0,885.7000122070312,894.0250244140625,201484
2024-01-25,922.718994140625,924.6749877929688,941.5,902.5,933.3499755859375,88628
2024-01-29,948.0403442382812,950.0499877929688,973.0,927.625,938.4749755859375,302304
2024-01-30,948.1900024414062,950.2000122070312,962.0,943.375,958.0,100920
2024-01-31,956.32275390625,958.3499755859375,988.5999755859375,940.0,974.5,556118
2024-02-01,981.9185180664062,984.0,1005.0,960.0250244140625,963.7999877929688,683526
2024-02-02,972.2640380859375,974.3250122070312,1024.0,967.5,1003.5,445698
2024-02-05,984.3882446289062,986.4749755859375,1016.0,976.4749755859375,993.7999877929688,292008
2024-02-06,1011.9797973632812,1014.125,1025.0,986.5,1000.0,351254
2024-02-07,999.0821533203125,1001.2000122070312,1025.25,995.7000122070312,1024.0999755859375,139640
2024-02-08,987.5565795898438,989.6500244140625,1007.7249755859375,986.7000122070312,1007.5,107058
2024-02-09,1004.5953979492188,1006.7249755859375,1024.0,969.0250244140625,989.6500244140625,408752
2024-02-12,1031.1890869140625,1033.375,1104.0,1012.5,1022.5,986034
2024-02-13,1005.0943603515625,1007.2249755859375,1049.925048828125,931.7249755859375,1049.925048828125,443090
2024-02-14,1000.2796020507812,1002.4000244140625,1019.9749755859375,991.5250244140625,1000.0,131690
2024-02-15,1001.4022216796875,1003.5250244140625,1023.5999755859375,996.6500244140625,1012.2999877929688,120922
2024-02-16,1009.6846313476562,1011.8250122070312,1030.0,1005.5,1012.0,122192
