date_,adj close_aparinds.ns,close_aparinds.ns,high_aparinds.ns,low_aparinds.ns,open_aparinds.ns,volume_aparinds.ns
2024-01-16,5410.96044921875,5476.4501953125,5490.0,5353.60009765625,5374.0,102300
2024-01-17,5408.490234375,5473.9501953125,5514.9501953125,5366.60009765625,5437.0,71645
2024-01-18,5293.97607421875,5358.0498046875,5599.75,5331.7001953125,5490.0,101829
2024-01-19,5341.74755859375,5406.39990234375,5458.0,5371.39990234375,5425.0,44676
2024-01-23,5287.70263671875,5351.7001953125,5475.0,5151.0,5440.0,97585
2024-01-24,5561.5869140625,5628.89990234375,5650.0,5330.14990234375,5370.0,145718
2024-01-25,5400.68408203125,5466.0498046875,5670.0,5431.0,5648.9501953125,56807
2024-01-29,5683.75830078125,5752.5498046875,5788.0,5467.0498046875,5469.89990234375,125828
2024-01-30,5996.177734375,6068.75,6388.0,5740.5,5758.89990234375,784828
2024-01-31,6245.70703125,6321.2998046875,6450.0,5990.2998046875,6068.75,706894
2024-02-01,6226.5888671875,6301.9501953125,6401.0,6185.39990234375,6350.0,139425
2024-02-02,6247.880859375,6323.5,6419.89990234375,6243.25,6265.14990234375,111350
2024-02-05,5983.57958984375,6056.0,6340.0,6034.0,6301.10009765625,115955
2024-02-06,6241.35986328125,6316.89990234375,6366.85009765625,6117.0,6137.0,146671
2024-02-07,6365.16162109375,6442.2001953125,6511.0,6316.89990234375,6324.9501953125,121998
2024-02-08,6154.26416015625,6228.75,6541.5498046875,6201.89990234375,6401.0498046875,79023
2024-02-09,6074.38037109375,6147.89990234375,6290.85009765625,6005.10009765625,6290.85009765625,103940
2024-02-12,5886.3564453125,5957.60009765625,6264.14990234375,5903.5,6186.0,71446
2024-02-13,5844.365234375,5915.10009765625,6099.0,5811.14990234375,6017.9501953125,78433
2024-02-14,5994.05322265625,6066.60009765625,6121.64990234375,5785.0498046875,5915.10009765625,70488
2024-02-15,6034.26611328125,6107.2998046875,6190.75,6042.0,6042.0,53784
2024-02-16,6078.580078125,6152.14990234375,6191.0,6040.5,6110.0,62519
2024-02-19,6183.9052734375,6258.75,6468.0,6175.0,6175.0,165321
2024-02-20,6176.44580078125,6251.2001953125,6346.9501953125,6209.4501953125,6260.0,37278
2024-02-21,6079.962890625,6153.5498046875,6321.0,6100.0498046875,6282.0498046875,63148
2024-02-22,6290.46533203125,6366.60009765625,6390.0,6120.0498046875,6199.0,92861
2024-02-23,6221.50048828125,6296.7998046875,6407.10009765625,6194.2001953125,6366.60009765625,63001
2024-02-26,6235.92578125,6311.39990234375,6457.89990234375,6250.0,6296.7998046875,92679
2024-02-27,6214.435546875,6289.64990234375,6355.60009765625,6230.0,6311.39990234375,50657
2024-02-28,6156.0419921875,6230.5498046875,6300.0,6010.89990234375,6250.0,78979
2024-02-29,6178.8662109375,6253.64990234375,6440.0498046875,6155.0498046875,6225.5,145079
2024-03-01,6227.0830078125,6302.4501953125,6520.0,6250.0498046875,6260.0498046875,128952
2024-03-04,6175.70458984375,6250.4501953125,6275.7001953125,6136.39990234375,6262.9501953125,86276
2024-03-05,6045.2333984375,6118.39990234375,6294.9501953125,6075.0,6294.9501953125,65878
2024-03-06,5997.560546875,6070.14990234375,6193.2998046875,5835.0,6156.7001953125,244496
2024-03-07,6017.22265625,6090.0498046875,6215.9501953125,5997.0498046875,6059.0,50937
2024-03-11,6010.65234375,6083.39990234375,6144.0,6039.0,6100.0,41822
2024-03-12,6001.71044921875,6074.35009765625,6149.25,5897.14990234375,6083.0,202728
2024-03-13,5712.06640625,5781.2001953125,6089.14990234375,5605.10009765625,6068.0,126883
2024-03-14,5658.56298828125,5727.0498046875,5777.9501953125,5503.85009765625,5648.9501953125,108306
2024-03-15,6018.01318359375,6090.85009765625,6189.9501953125,5585.0,5754.9501953125,259603
2024-03-18,6034.216796875,6107.25,6150.0,5876.0,6076.0,134020
2024-03-19,5974.14404296875,6046.4501953125,6135.0,6012.5,6107.0498046875,41225
2024-03-20,6076.10986328125,6149.64990234375,6231.0,6020.0,6035.89990234375,120526
2024-03-21,6133.0703125,6207.2998046875,6375.0,6181.0,6200.0,182746
2024-03-22,6268.18505859375,6344.0498046875,6448.0,6200.5498046875,6249.89990234375,89873
2024-03-26,6966.0390625,7050.35009765625,7400.0,6350.10009765625,6400.0,1059437
2024-03-27,6946.1298828125,7030.2001953125,7233.9501953125,6846.89990234375,6849.9501953125,514202
2024-03-28,6895.443359375,6978.89990234375,7170.0,6910.0,7084.14990234375,178049
2024-04-01,6866.98828125,6950.10009765625,7144.9501953125,6915.0,7060.0,97099
2024-04-02,6745.65625,6827.2998046875,7058.25,6779.0,6954.0,108492
2024-04-03,6842.138671875,6924.9501953125,7010.0,6821.0498046875,6875.75,96488
2024-04-04,7014.50244140625,7099.39990234375,7140.0,6904.7998046875,6980.0,117791
2024-04-05,7258.3017578125,7346.14990234375,7447.0,7010.0,7010.0,207569
2024-04-08,7228.51220703125,7316.0,7405.0,7240.0,7346.0,97655
2024-04-09,7110.04638671875,7196.10009765625,7423.7998046875,7161.0,7347.9501953125,74032
2024-04-10,7067.8076171875,7153.35009765625,7275.2001953125,6940.0,7260.0,166879
2024-04-12,6878.3505859375,6961.60009765625,7153.0,6945.0,7153.0,78608
2024-04-15,6893.3193359375,6976.75,7163.35009765625,6761.60009765625,6895.5498046875,137154
2024-04-16,6893.46728515625,6976.89990234375,7037.89990234375,6905.14990234375,6926.75,63650
2024-04-18,6921.87353515625,7005.64990234375,7137.39990234375,6962.25,6982.5498046875,101204
2024-04-19,6994.24755859375,7078.89990234375,7108.7998046875,6891.39990234375,6950.0,62317
2024-04-22,7244.5185546875,7332.2001953125,7400.0,7111.0,7144.9501953125,127270
2024-04-23,7570.91796875,7662.5498046875,7758.0,7372.75,7400.0,282826
2024-04-24,7730.6845703125,7824.25,7850.0,7611.0,7733.2998046875,195475
2024-04-25,7755.03955078125,7848.89990234375,7930.75,7749.89990234375,7826.0,92080
2024-04-26,7511.28955078125,7602.2001953125,7927.7001953125,7550.0498046875,7927.39990234375,101590
2024-04-29,7751.82861328125,7845.64990234375,7879.5,7568.4501953125,7649.0,118257
2024-04-30,7785.86669921875,7880.10009765625,7983.85009765625,7846.0,7900.0,68623
2024-05-02,7914.01513671875,8009.7998046875,8105.0,7830.0498046875,7929.0,98980
2024-05-03,7871.48046875,7966.75,8164.0,7911.2001953125,8163.9501953125,142886
2024-05-06,7592.80322265625,7684.7001953125,8045.0,7651.35009765625,8044.0,69842
2024-05-07,7777.4189453125,7871.5498046875,8045.0,7665.60009765625,7685.0,204967
2024-05-08,7752.07568359375,7845.89990234375,7965.0,7680.0,7965.0,107955
2024-05-09,7525.171875,7616.25,7869.9501953125,7415.60009765625,7835.0,150122
2024-05-10,7544.8837890625,7636.2001953125,7700.0,7310.0,7616.0,129116
2024-05-13,7639.19189453125,7731.64990234375,7780.0,7512.0,7636.25,85507
2024-05-14,8204.8955078125,8304.2001953125,8399.0,7503.0,7850.0,560024
2024-05-15,8016.96923828125,8114.0,8386.349609375,7972.64990234375,8386.349609375,295540
2024-05-16,7951.06689453125,8047.2998046875,8133.5,7795.7998046875,8132.7998046875,207797
2024-05-17,7893.21728515625,7988.75,8168.5,7970.0,8047.2998046875,95777
2024-05-21,7825.04248046875,7919.75,8075.0,7882.0498046875,8074.89990234375,188809
2024-05-22,7761.06640625,7855.0,7972.64990234375,7752.4501953125,7911.10009765625,157635
2024-05-23,7757.70751953125,7851.60009765625,7975.0,7735.0,7838.0498046875,90164
2024-05-24,7931.35595703125,8027.35009765625,8125.0,7826.9501953125,7859.0,109042
2024-05-27,7921.27783203125,8017.14990234375,8069.5498046875,7862.7998046875,8029.9501953125,46131
2024-05-28,7714.57958984375,7807.9501953125,8079.9501953125,7772.0,8010.0,68362
2024-05-29,7703.01904296875,7796.25,7859.9501953125,7708.39990234375,7800.0,77959
2024-05-30,7734.982421875,7828.60009765625,8034.0,7777.85009765625,7787.9501953125,142691
2024-05-31,7813.08740234375,7907.64990234375,7990.0,7641.60009765625,7857.0,135033
2024-06-03,7911.7919921875,8007.5498046875,8270.900390625,7801.39990234375,8250.0,145824
2024-06-04,7465.34619140625,7555.7001953125,8028.75,6565.0498046875,8008.0,236278
2024-06-05,7514.10546875,7605.0498046875,7630.0,7101.25,7500.0,109034
