date_,adj close_concordbio.ns,close_concordbio.ns,high_concordbio.ns,low_concordbio.ns,open_concordbio.ns,volume_concordbio.ns
2024-01-16,1416.3880615234375,1433.4000244140625,1448.949951171875,1397.050048828125,1408.75,122268
2024-01-17,1371.4281005859375,1387.9000244140625,1421.300048828125,1383.050048828125,1403.300048828125,73660
2024-01-18,1350.4302978515625,1366.6500244140625,1389.0,1355.1500244140625,1382.0,66042
2024-01-19,1373.3548583984375,1389.8499755859375,1410.0,1361.0,1368.0,78404
2024-01-23,1379.9754638671875,1396.550048828125,1431.0,1370.800048828125,1403.6500244140625,77346
2024-01-24,1404.826904296875,1421.699951171875,1430.0,1384.199951171875,1402.3499755859375,48065
2024-01-25,1369.6494140625,1386.0999755859375,1424.550048828125,1371.0,1419.8499755859375,64812
2024-01-29,1369.254150390625,1385.699951171875,1419.0,1368.0,1400.0,59021
2024-01-30,1414.1153564453125,1431.0999755859375,1440.0,1390.0,1394.0,144145
2024-01-31,1438.62109375,1455.9000244140625,1460.0,1421.0,1437.75,65556
2024-02-01,1435.4095458984375,1452.6500244140625,1492.5999755859375,1416.1500244140625,1466.9000244140625,78569
2024-02-02,1446.822509765625,1464.199951171875,1476.0,1438.050048828125,1452.6500244140625,47910
2024-02-05,1428.1961669921875,1445.3499755859375,1463.9000244140625,1431.949951171875,1462.949951171875,132592
2024-02-06,1472.7608642578125,1490.449951171875,1512.1500244140625,1440.300048828125,1446.3499755859375,90103
2024-02-07,1455.122802734375,1472.5999755859375,1510.0,1458.449951171875,1491.699951171875,46768
2024-02-08,1457.7908935546875,1475.300048828125,1490.0,1457.0,1459.949951171875,46820
2024-02-09,1439.806640625,1457.0999755859375,1468.800048828125,1370.550048828125,1390.0,640257
2024-02-12,1419.0560302734375,1436.0999755859375,1459.449951171875,1411.5,1453.5,121825
2024-02-13,1382.248046875,1398.8499755859375,1442.9000244140625,1373.800048828125,1430.0999755859375,69144
2024-02-14,1383.483154296875,1400.0999755859375,1414.5999755859375,1380.050048828125,1385.050048828125,82331
2024-02-15,1386.744140625,1403.4000244140625,1429.050048828125,1392.4000244140625,1400.8499755859375,96804
2024-02-16,1446.6248779296875,1464.0,1478.949951171875,1403.4000244140625,1410.0,125796
2024-02-19,1391.734130859375,1408.449951171875,1460.550048828125,1401.0999755859375,1460.25,194135
2024-02-20,1370.835205078125,1387.300048828125,1413.4000244140625,1375.0,1405.449951171875,88487
2024-02-21,1426.2694091796875,1443.4000244140625,1472.5999755859375,1388.4000244140625,1400.0,147824
2024-02-22,1425.8740234375,1443.0,1457.8499755859375,1434.449951171875,1457.8499755859375,73488
2024-02-23,1457.7413330078125,1475.25,1487.8499755859375,1447.0999755859375,1467.0,493839
2024-02-26,1486.5948486328125,1504.449951171875,1535.6500244140625,1472.5,1496.9000244140625,203736
2024-02-27,1481.654052734375,1499.449951171875,1505.449951171875,1480.050048828125,1504.449951171875,53746
2024-02-28,1454.0853271484375,1471.550048828125,1523.949951171875,1450.0,1523.949951171875,63760
2024-02-29,1438.7198486328125,1456.0,1482.0,1420.5,1465.0,68048
2024-03-01,1461.249267578125,1478.800048828125,1485.0,1440.1500244140625,1450.0,43760
2024-03-04,1438.3740234375,1455.6500244140625,1477.949951171875,1445.300048828125,1454.699951171875,76924
2024-03-05,1424.6884765625,1441.800048828125,1460.9000244140625,1420.0,1448.050048828125,47201
2024-03-06,1373.5526123046875,1390.050048828125,1435.25,1384.550048828125,1435.199951171875,60090
2024-03-07,1514.1143798828125,1532.300048828125,1597.800048828125,1390.449951171875,1393.25,251974
2024-03-11,1428.98681640625,1446.1500244140625,1523.0,1425.8499755859375,1520.0,108887
2024-03-12,1401.4178466796875,1418.25,1502.199951171875,1405.0,1475.0,80303
2024-03-13,1356.8037109375,1373.0999755859375,1418.300048828125,1351.0,1390.0,255602
2024-03-14,1379.3824462890625,1395.949951171875,1440.0,1350.050048828125,1370.0,74076
2024-03-15,1385.21240234375,1401.8499755859375,1422.949951171875,1386.9000244140625,1419.699951171875,94327
2024-03-18,1452.6031494140625,1470.050048828125,1479.800048828125,1393.1500244140625,1408.9000244140625,203580
2024-03-19,1443.75927734375,1461.0999755859375,1489.9000244140625,1425.25,1460.0,70426
2024-03-20,1439.1151123046875,1456.4000244140625,1474.0,1431.0,1460.0,40339
2024-03-21,1449.1939697265625,1466.5999755859375,1524.5,1459.8499755859375,1459.8499755859375,44925
2024-03-22,1475.3795166015625,1493.0999755859375,1505.0,1451.050048828125,1451.050048828125,48086
2024-03-26,1479.52978515625,1497.300048828125,1513.9000244140625,1460.0,1513.9000244140625,47166
2024-03-27,1480.4683837890625,1498.25,1515.0,1465.25,1505.0,60901
2024-03-28,1502.7508544921875,1520.800048828125,1559.75,1491.0,1491.0,104658
2024-04-01,1470.48828125,1488.1500244140625,1565.0,1477.699951171875,1565.0,62156
2024-04-02,1470.883544921875,1488.550048828125,1520.0,1469.9000244140625,1485.050048828125,48243
2024-04-03,1491.0413818359375,1508.949951171875,1515.0,1481.0999755859375,1500.0,29086
2024-04-04,1495.6856689453125,1513.6500244140625,1534.3499755859375,1492.5,1517.0,75454
2024-04-05,1518.1162109375,1536.3499755859375,1550.0,1485.3499755859375,1513.6500244140625,133635
2024-04-08,1507.4444580078125,1525.550048828125,1555.0,1513.5999755859375,1553.949951171875,113242
2024-04-09,1509.2724609375,1527.4000244140625,1541.4000244140625,1512.0,1535.050048828125,39240
2024-04-10,1492.5235595703125,1510.449951171875,1534.949951171875,1495.0999755859375,1534.949951171875,27640
2024-04-12,1541.485595703125,1560.0,1660.0,1500.0,1515.0,750214
2024-04-15,1517.7208251953125,1535.949951171875,1544.5999755859375,1487.050048828125,1540.0,128614
2024-04-16,1511.1500244140625,1529.300048828125,1550.300048828125,1512.550048828125,1518.5,112492
2024-04-18,1565.5465087890625,1584.3499755859375,1616.0,1511.4000244140625,1524.550048828125,206466
2024-04-19,1574.0938720703125,1593.0,1626.949951171875,1545.199951171875,1575.050048828125,237485
2024-04-22,1564.6077880859375,1583.4000244140625,1634.0,1571.199951171875,1607.3499755859375,96969
2024-04-23,1594.3505859375,1613.5,1636.0,1585.0,1588.9000244140625,134813
2024-04-24,1610.259521484375,1629.5999755859375,1648.5999755859375,1610.0,1616.550048828125,107045
2024-04-25,1616.978759765625,1636.4000244140625,1642.699951171875,1610.0,1642.699951171875,43083
2024-04-26,1640.34814453125,1660.050048828125,1677.949951171875,1641.050048828125,1649.9000244140625,62274
2024-04-29,1630.862060546875,1650.449951171875,1684.5,1631.6500244140625,1684.5,74102
2024-04-30,1647.3143310546875,1667.0999755859375,1725.0,1645.050048828125,1655.0,135856
2024-05-02,1639.2117919921875,1658.9000244140625,1675.300048828125,1650.0999755859375,1661.3499755859375,36414
2024-05-03,1598.5501708984375,1617.75,1658.800048828125,1609.949951171875,1655.0,32866
2024-05-06,1559.8154296875,1578.550048828125,1641.0,1560.0,1641.0,36004
2024-05-07,1538.570556640625,1557.050048828125,1599.75,1530.0,1563.0,56233
2024-05-08,1534.7662353515625,1553.199951171875,1568.199951171875,1540.0,1557.0,20868
2024-05-09,1483.4822998046875,1501.300048828125,1567.3499755859375,1491.4000244140625,1550.0,30416
2024-05-10,1491.1895751953125,1509.0999755859375,1542.800048828125,1495.1500244140625,1515.0,38415
2024-05-13,1489.361572265625,1507.25,1530.0,1485.4000244140625,1517.0,24540
2024-05-14,1485.45849609375,1503.300048828125,1529.8499755859375,1500.0,1529.8499755859375,15879
2024-05-15,1469.7471923828125,1487.4000244140625,1515.0,1470.199951171875,1506.0,79241
2024-05-16,1440.943115234375,1458.25,1506.3499755859375,1453.050048828125,1488.0999755859375,41170
2024-05-17,1414.7081298828125,1431.699951171875,1457.949951171875,1422.6500244140625,1452.050048828125,125052
2024-05-21,1434.4708251953125,1451.699951171875,1492.0,1430.1500244140625,1492.0,88232
2024-05-22,1442.771240234375,1460.0999755859375,1469.0,1435.199951171875,1450.050048828125,82206
2024-05-23,1441.8817138671875,1459.199951171875,1490.0,1431.0,1462.0999755859375,72431
2024-05-24,1434.42138671875,1451.6500244140625,1465.0,1431.199951171875,1459.199951171875,77451
2024-05-27,1423.6507568359375,1440.75,1457.050048828125,1413.199951171875,1450.0,78197
