date_,adj close_m&m.ns,close_m&m.ns,high_m&m.ns,low_m&m.ns,open_m&m.ns,volume_m&m.ns
2024-02-22,1881.3489990234375,1910.3499755859375,1917.0,1853.0,1870.949951171875,3360123
2024-02-23,1900.6514892578125,1929.949951171875,1947.8499755859375,1901.0999755859375,1926.3499755859375,3323441
2024-02-26,1900.5037841796875,1929.800048828125,1951.0,1925.199951171875,1935.0,2436063
2024-02-27,1920.988037109375,1950.5999755859375,1956.949951171875,1915.050048828125,1926.0,2821465
2024-02-28,1872.7811279296875,1901.6500244140625,1953.1500244140625,1897.050048828125,1951.949951171875,2010429
2024-02-29,1903.064453125,1932.4000244140625,1950.9000244140625,1892.550048828125,1902.8499755859375,5539065
2024-03-01,1942.9986572265625,1972.949951171875,1982.300048828125,1930.5,1933.5999755859375,3384932
2024-03-04,1891.88671875,1921.050048828125,1974.949951171875,1919.050048828125,1967.0,1645331
2024-03-05,1909.810302734375,1939.25,1968.0,1923.050048828125,1925.0,2208384
2024-03-06,1940.733642578125,1970.6500244140625,1979.9000244140625,1922.0,1945.0,1673183
2024-03-07,1868.743408203125,1897.550048828125,1932.1500244140625,1884.300048828125,1930.1500244140625,18323831
2024-03-11,1865.5919189453125,1894.3499755859375,1913.699951171875,1873.300048828125,1913.0,3250782
2024-03-12,1866.3798828125,1895.1500244140625,1898.3499755859375,1876.6500244140625,1892.0,3186510
2024-03-13,1825.55908203125,1853.699951171875,1901.4000244140625,1844.25,1896.0,4270994
2024-03-14,1861.8497314453125,1890.550048828125,1895.5999755859375,1844.5999755859375,1853.699951171875,2388133
2024-03-15,1772.181884765625,1799.5,1882.0999755859375,1788.800048828125,1875.0,5504948
2024-03-18,1827.87353515625,1856.050048828125,1867.4000244140625,1801.050048828125,1807.949951171875,3404076
2024-03-19,1815.907958984375,1843.9000244140625,1865.0,1826.800048828125,1856.050048828125,2189225
2024-03-20,1816.4002685546875,1844.4000244140625,1859.050048828125,1820.550048828125,1851.949951171875,1550415
2024-03-21,1837.524658203125,1865.8499755859375,1875.0,1845.0,1859.949951171875,2072960
2024-03-22,1850.278076171875,1878.800048828125,1905.449951171875,1847.25,1865.8499755859375,3786990
2024-03-26,1835.6534423828125,1863.949951171875,1917.5,1861.0999755859375,1878.199951171875,4092744
2024-03-27,1852.5924072265625,1881.1500244140625,1899.9000244140625,1855.300048828125,1869.9000244140625,4196597
2024-03-28,1892.1820068359375,1921.3499755859375,1962.949951171875,1870.3499755859375,1881.1500244140625,3790854
2024-04-01,1886.864013671875,1915.949951171875,1963.8499755859375,1891.800048828125,1938.0,2765845
2024-04-02,1942.0137939453125,1971.949951171875,1977.5,1901.449951171875,1915.949951171875,3431715
2024-04-03,1959.1005859375,1989.300048828125,2003.300048828125,1956.199951171875,1967.0,3615370
2024-04-04,1972.297119140625,2002.699951171875,2015.0,1963.199951171875,1999.0,3007920
2024-04-05,1982.736328125,2013.300048828125,2027.449951171875,1992.25,1995.3499755859375,2767027
2024-04-08,2046.5526123046875,2078.10009765625,2087.0,2016.9000244140625,2018.0,2781568
2024-04-09,2059.157958984375,2090.89990234375,2098.64990234375,2070.10009765625,2095.0,2853137
2024-04-10,2044.6812744140625,2076.199951171875,2108.60009765625,2070.0,2098.449951171875,2280814
2024-04-12,2039.5108642578125,2070.949951171875,2087.5,2051.64990234375,2084.0,4008660
2024-04-15,2022.276611328125,2053.449951171875,2083.89990234375,2035.0,2055.25,2024919
2024-04-16,2000.462890625,2031.300048828125,2073.75,2027.75,2047.050048828125,1981730
2024-04-18,1994.2093505859375,2024.949951171875,2087.0,2016.5,2031.300048828125,3539862
2024-04-19,2051.279541015625,2082.89990234375,2087.0,1998.199951171875,2034.0,3253248
2024-04-22,2058.911865234375,2090.64990234375,2133.0,2065.0,2124.550048828125,2449171
2024-04-23,2031.287841796875,2062.60009765625,2114.0,2056.85009765625,2096.0,2886136
2024-04-24,2027.2008056640625,2058.449951171875,2090.85009765625,2052.949951171875,2055.0,1929834
2024-04-25,2065.01806640625,2096.85009765625,2113.949951171875,2041.9000244140625,2060.0,3084498
2024-04-26,2013.8564453125,2044.9000244140625,2103.0,2038.800048828125,2099.550048828125,2952484
2024-04-29,2030.7462158203125,2062.050048828125,2068.35009765625,2001.0,2045.5,2724604
2024-04-30,2123.614501953125,2156.35009765625,2169.0,2073.050048828125,2073.050048828125,5745143
2024-05-02,2151.977294921875,2185.14990234375,2204.0,2165.10009765625,2165.10009765625,3347541
2024-05-03,2159.708251953125,2193.0,2210.0,2172.35009765625,2210.0,3859227
2024-05-06,2191.173095703125,2224.949951171875,2240.0,2190.0,2200.449951171875,2111447
2024-05-07,2158.23095703125,2191.5,2236.89990234375,2164.85009765625,2236.0,1727823
2024-05-08,2149.26904296875,2182.39990234375,2195.0,2160.0,2191.699951171875,1993202
2024-05-09,2178.96142578125,2212.550048828125,2256.75,2185.0,2185.550048828125,3998822
2024-05-10,2159.75732421875,2193.050048828125,2231.64990234375,2183.0,2211.85009765625,3045912
2024-05-13,2151.091064453125,2184.25,2208.050048828125,2160.0,2208.0,2575573
2024-05-14,2235.440673828125,2269.89990234375,2280.35009765625,2175.0,2175.0,3830189
2024-05-15,2267.348876953125,2302.300048828125,2317.14990234375,2256.0,2281.300048828125,2569084
2024-05-16,2335.74462890625,2371.75,2393.89990234375,2286.199951171875,2319.449951171875,7444517
2024-05-17,2476.426025390625,2514.60009765625,2557.949951171875,2425.35009765625,2425.35009765625,9796445
2024-05-21,2484.353515625,2522.64990234375,2536.949951171875,2467.0,2503.0,3747292
2024-05-22,2482.7783203125,2521.050048828125,2535.0,2490.0,2521.699951171875,2974921
2024-05-23,2569.58984375,2609.199951171875,2617.39990234375,2500.25,2520.0,4715263
2024-05-24,2540.5869140625,2579.75,2605.0,2572.39990234375,2589.800048828125,2919241
2024-05-27,2510.40234375,2549.10009765625,2589.75,2541.0,2581.14990234375,3328559
2024-05-28,2514.046142578125,2552.800048828125,2581.949951171875,2548.0,2550.0,1549203
2024-05-29,2495.1865234375,2533.64990234375,2547.0,2500.60009765625,2510.25,2720451
2024-05-30,2455.646240234375,2493.5,2531.449951171875,2478.0,2518.0,3367101
