date_,adj close_natcopharm.ns,close_natcopharm.ns,high_natcopharm.ns,low_natcopharm.ns,open_natcopharm.ns,volume_natcopharm.ns
2024-01-16,823.5044555664062,831.8499755859375,851.9000244140625,826.2999877929688,848.5,423160
2024-01-17,810.0904541015625,818.2999877929688,837.0,816.8499755859375,831.0,401541
2024-01-18,819.2970581054688,827.5999755859375,829.9000244140625,805.0,818.0,525545
2024-01-19,826.7713623046875,835.1500244140625,839.4000244140625,831.0499877929688,834.5,249530
2024-01-23,831.7706909179688,840.2000122070312,847.9000244140625,833.0,833.0,627481
2024-01-24,850.5801391601562,859.2000122070312,872.0,842.25,843.9000244140625,1257350
2024-01-25,861.0737915039062,869.7999877929688,874.9000244140625,860.2999877929688,864.8499755859375,599073
2024-01-29,871.1714477539062,880.0,883.0,873.0999755859375,876.0,512610
2024-01-30,861.667724609375,870.4000244140625,885.0,867.0,882.0,497000
2024-01-31,857.1138916015625,865.7999877929688,885.5,862.4000244140625,874.9500122070312,543968
2024-02-01,860.5787963867188,869.2999877929688,883.9000244140625,863.7000122070312,872.0,591977
2024-02-02,850.233642578125,858.8499755859375,877.9000244140625,855.0499877929688,875.9500122070312,320211
2024-02-05,860.5787963867188,869.2999877929688,872.0999755859375,862.0999755859375,867.0,368323
2024-02-06,856.1238403320312,864.7999877929688,879.0,863.7999877929688,872.0,408118
2024-02-07,850.6295776367188,859.25,871.7000122070312,855.9500122070312,869.4000244140625,261786
2024-02-08,848.0556640625,856.6500244140625,869.3499755859375,850.0,864.7999877929688,326172
2024-02-09,831.374755859375,839.7999877929688,865.0,833.0,860.0,296222
2024-02-12,825.1378784179688,833.5,847.0,828.0,847.0,237235
2024-02-13,848.3031616210938,856.9000244140625,864.9000244140625,829.5999755859375,837.0,411955
2024-02-14,875.9232177734375,884.7999877929688,909.0,848.0499877929688,855.0,2675111
2024-02-15,878.2001953125,887.0999755859375,914.7999877929688,883.0,899.0,1456064
2024-02-16,1016.2015991210938,1026.5,1051.0,889.8499755859375,891.0,14634622
2024-02-19,1053.770751953125,1064.449951171875,1108.3499755859375,1036.5,1040.0,4741771
2024-02-20,1030.7047119140625,1041.1500244140625,1080.0,1032.199951171875,1064.449951171875,3102666
2024-02-21,1013.7267456054688,1024.0,1049.0,1020.0,1039.0,799597
2024-02-22,998.7783203125,1008.9000244140625,1035.0,998.5499877929688,1026.0,942229
2024-02-23,1017.3895263671875,1027.699951171875,1033.9000244140625,1007.0,1012.0499877929688,521596
2024-02-26,1016.9932250976562,1026.050048828125,1030.0,1006.0,1006.0,288636
2024-02-27,997.2191162109375,1006.0999755859375,1027.949951171875,990.0999755859375,1026.0,339995
2024-02-28,974.818603515625,983.5,1014.7999877929688,970.0,1010.0,490926
2024-02-29,986.2666625976562,995.0499877929688,1004.0,972.0499877929688,983.5,574573
2024-03-01,974.0753173828125,982.75,1007.7000122070312,978.0999755859375,999.5499877929688,443289
2024-03-04,986.0189819335938,994.7999877929688,1042.949951171875,991.25,999.6500244140625,908830
2024-03-05,974.1744995117188,982.8499755859375,995.5999755859375,979.0999755859375,994.0,293094
2024-03-06,1011.1947631835938,1020.2000122070312,1030.0,975.0,980.8499755859375,2764993
2024-03-07,1006.4371948242188,1015.4000244140625,1039.199951171875,1007.5499877929688,1029.5,685591
2024-03-11,1003.760986328125,1012.7000122070312,1028.9000244140625,1006.0,1020.0999755859375,405616
2024-03-12,959.3564453125,967.9000244140625,1016.5,957.6500244140625,1013.0,750597
2024-03-13,925.2105102539062,933.4500122070312,1005.2999877929688,928.0,969.0,1154973
2024-03-14,968.7725830078125,977.4000244140625,988.9500122070312,931.0499877929688,938.0,736140
2024-03-15,947.2640380859375,955.7000122070312,984.9500122070312,950.0,984.9500122070312,531923
2024-03-18,940.57373046875,948.9500122070312,964.75,939.9000244140625,960.0,454486
2024-03-19,942.8038330078125,951.2000122070312,983.3499755859375,947.5,954.7000122070312,776822
2024-03-20,941.6640014648438,950.0499877929688,964.0,943.0,964.0,259370
2024-03-21,944.3401489257812,952.75,978.0499877929688,949.5,963.0,696569
2024-03-22,943.646240234375,952.0499877929688,966.5,949.0,957.0,376364
2024-03-26,950.0393676757812,958.5,973.0,952.2000122070312,955.0,542290
2024-03-27,964.906982421875,973.5,995.4000244140625,962.0,964.1500244140625,950812
2024-03-28,943.646240234375,952.0499877929688,979.0,945.0,975.4000244140625,495457
2024-04-01,965.1052856445312,973.7000122070312,982.5,961.1500244140625,971.0999755859375,436114
2024-04-02,990.4791870117188,999.2999877929688,1012.0,976.8499755859375,980.5,724791
2024-04-03,989.289794921875,998.0999755859375,1005.9500122070312,993.0,1004.7999877929688,375752
2024-04-04,984.680908203125,993.4500122070312,1018.0,990.3499755859375,1000.2000122070312,338889
2024-04-05,988.4968872070312,997.2999877929688,1013.6500244140625,993.4500122070312,994.0,395807
2024-04-08,991.0739135742188,999.9000244140625,1006.9500122070312,995.0999755859375,1000.7999877929688,228370
2024-04-09,979.8241577148438,988.5499877929688,1037.6500244140625,977.0,1015.0,1542643
2024-04-10,946.3720703125,954.7999877929688,982.9500122070312,952.2999877929688,981.0,924090
