date_,adj close_atgl.ns,close_atgl.ns,high_atgl.ns,low_atgl.ns,open_atgl.ns,volume_atgl.ns
2024-01-16,1025.3975830078125,1026.050048828125,1041.0,1023.5499877929688,1041.0,2307540
2024-01-17,1003.4614868164062,1004.0999755859375,1019.4500122070312,1000.0,1012.8499755859375,1250880
2024-01-18,982.474853515625,983.0999755859375,1014.7000122070312,972.4500122070312,1006.9000244140625,1849733
2024-01-19,989.8701782226562,990.5,1007.9500122070312,986.0499877929688,1000.0,852306
2024-01-23,995.7163696289062,996.3499755859375,1068.0,990.0999755859375,1060.0,1670762
2024-01-24,1001.562744140625,1002.2000122070312,1018.0,982.0,990.0,1122020
2024-01-25,1002.312255859375,1002.9500122070312,1016.9000244140625,995.2000122070312,1002.2000122070312,824946
2024-01-29,1035.0413818359375,1035.699951171875,1053.0,1005.0499877929688,1010.0,1816753
2024-01-30,1027.4962158203125,1028.1500244140625,1050.0,1018.2999877929688,1040.0,2709758
2024-01-31,1011.7062377929688,1012.3499755859375,1035.699951171875,1006.2999877929688,1030.0,2672010
2024-02-01,1003.4614868164062,1004.0999755859375,1029.699951171875,999.1500244140625,1018.2999877929688,2855495
2024-02-02,998.6146240234375,999.25,1014.1500244140625,996.0,1006.0499877929688,2348536
2024-02-05,988.4210815429688,989.0499877929688,1007.0,985.0,1003.0,2482752
2024-02-06,994.3173217773438,994.9500122070312,1018.5499877929688,988.0,1005.0,1229019
2024-02-07,1039.3887939453125,1040.050048828125,1072.199951171875,1001.0499877929688,1008.9000244140625,6750686
2024-02-08,1022.4494018554688,1023.0999755859375,1065.0,1016.0,1059.0,3714348
2024-02-09,1023.0990600585938,1023.75,1049.5999755859375,1003.2000122070312,1029.0,3710884
2024-02-12,1024.59814453125,1025.25,1061.9000244140625,1014.0,1033.699951171875,4800285
2024-02-13,1007.1591796875,1007.7999877929688,1036.949951171875,986.5,1035.0,3440888
2024-02-14,1009.857421875,1010.5,1027.300048828125,983.0,983.0,2923474
2024-02-15,1006.8093872070312,1007.4500122070312,1033.949951171875,1005.75,1012.0,1426683
2024-02-16,1005.5601806640625,1006.2000122070312,1019.0999755859375,1003.0,1012.9500122070312,910442
2024-02-19,1011.0567016601562,1011.7000122070312,1029.0,1010.0,1015.5499877929688,1021076
2024-02-20,1011.4064331054688,1012.0499877929688,1018.0,1004.0,1017.0,2592693
2024-02-21,1020.4006958007812,1021.0499877929688,1046.0,1011.0499877929688,1014.9500122070312,4637737
2024-02-22,1017.5026245117188,1018.1500244140625,1031.8499755859375,1013.4500122070312,1030.0,3220687
2024-02-23,1028.7454833984375,1029.4000244140625,1035.0,1015.0999755859375,1018.1500244140625,4203600
2024-02-26,1074.8662109375,1075.550048828125,1095.0,1036.4000244140625,1038.0,10670357
2024-02-27,1047.633544921875,1048.300048828125,1096.0,1042.199951171875,1089.0,5479415
2024-02-28,1018.2521362304688,1018.9000244140625,1056.8499755859375,1005.4000244140625,1050.0,3498950
2024-02-29,1024.997802734375,1025.6500244140625,1033.300048828125,1005.25,1020.0,3210358
2024-03-01,1038.4892578125,1039.1500244140625,1053.8499755859375,1027.0,1033.0,3839126
2024-03-04,1025.2476806640625,1025.9000244140625,1047.699951171875,1019.0999755859375,1047.699951171875,2290040
2024-03-05,1019.5012817382812,1020.1500244140625,1032.25,1013.25,1026.0,3237710
2024-03-06,1005.2103881835938,1005.8499755859375,1023.0999755859375,995.3499755859375,1021.0,3592120
2024-03-07,1008.5582885742188,1009.2000122070312,1017.8499755859375,1001.0,1014.0,3379167
2024-03-11,999.5140380859375,1000.1500244140625,1022.9000244140625,997.5499877929688,1010.0,3607249
2024-03-12,964.486328125,965.0999755859375,1007.7999877929688,960.0,1004.0,1668717
2024-03-13,872.44482421875,873.0,976.0499877929688,862.0499877929688,966.0499877929688,4164593
2024-03-14,972.6810913085938,973.2999877929688,981.0,846.5499877929688,870.0,6561550
2024-03-15,988.37109375,989.0,1007.0,945.25,971.0,6093587
2024-03-18,946.6476440429688,947.25,966.5,912.5999755859375,947.6500244140625,3673113
2024-03-19,944.04931640625,944.6500244140625,974.9500122070312,927.3499755859375,960.0,4195313
2024-03-20,935.5046997070312,936.0999755859375,961.4500122070312,928.25,954.5,1211071
2024-03-21,935.4547729492188,936.0499877929688,955.0,930.0,955.0,910394
