date_,adj close_technoe.ns,close_technoe.ns,high_technoe.ns,low_technoe.ns,open_technoe.ns,volume_technoe.ns
2024-01-16,756.9269409179688,764.9500122070312,780.1500244140625,756.0,775.0499877929688,105263
2024-01-17,769.543212890625,777.7000122070312,801.5999755859375,759.5999755859375,764.5499877929688,150295
2024-01-18,787.5028076171875,795.8499755859375,799.9500122070312,753.75,771.0,96763
2024-01-19,774.4412841796875,782.6500244140625,811.0,779.9500122070312,799.1500244140625,92412
2024-01-23,787.6512451171875,796.0,816.75,782.5499877929688,813.4000244140625,155820
2024-01-24,810.6574096679688,819.25,824.8499755859375,796.0,803.0999755859375,209043
2024-01-25,794.0830688476562,802.5,827.0,797.9500122070312,822.0,78863
2024-01-29,805.2645263671875,813.7999877929688,821.3499755859375,791.0,808.0,183238
2024-01-30,793.14306640625,801.5499877929688,839.9500122070312,798.2000122070312,813.7999877929688,150949
2024-01-31,809.1731567382812,817.75,819.0,801.25,808.75,125571
2024-02-01,783.8416137695312,792.1500244140625,824.9500122070312,772.5,810.0,220664
2024-02-02,758.0648193359375,766.0999755859375,795.4000244140625,755.5,793.0,171012
2024-02-05,762.8145751953125,770.9000244140625,782.0999755859375,763.1500244140625,766.5,114027
2024-02-06,760.885009765625,768.9500122070312,785.4000244140625,765.0,771.0,75814
2024-02-07,759.6480712890625,767.7000122070312,779.6500244140625,762.25,772.0,64507
2024-02-08,795.7158203125,804.1500244140625,830.4500122070312,763.0499877929688,766.0,366853
2024-02-09,788.9376220703125,797.2999877929688,812.6500244140625,777.0,805.6500244140625,162101
2024-02-12,784.4848022460938,792.7999877929688,820.9000244140625,785.0,800.5999755859375,244437
2024-02-13,743.6179809570312,751.5,811.9500122070312,727.0,797.2999877929688,355122
2024-02-14,767.8115844726562,775.9500122070312,790.0,740.2999877929688,749.7999877929688,287627
2024-02-15,766.12939453125,774.25,789.0,765.0999755859375,787.5999755859375,96071
2024-02-16,822.4820556640625,831.2000122070312,840.0,775.7000122070312,785.0,719894
2024-02-19,777.0139770507812,785.25,860.0,781.0,859.75,1254939
2024-02-20,803.5823974609375,812.0999755859375,824.9000244140625,792.5,796.0,793837
2024-02-21,767.7125854492188,775.8499755859375,816.7999877929688,770.0999755859375,814.0,350111
2024-02-22,756.6300659179688,764.6500244140625,781.5499877929688,755.5499877929688,780.0499877929688,242807
2024-02-23,754.1068115234375,762.0999755859375,777.3499755859375,748.0,768.0499877929688,264404
2024-02-26,744.360107421875,752.25,770.25,750.0,768.5,113919
2024-02-27,731.1502075195312,738.9000244140625,758.9000244140625,736.25,751.0,108142
2024-02-28,708.6387939453125,716.1500244140625,744.9000244140625,711.0499877929688,743.5999755859375,142630
2024-02-29,699.5352783203125,706.9500122070312,724.0499877929688,696.5,715.7999877929688,314664
2024-03-01,717.9896240234375,725.5999755859375,736.1500244140625,703.5999755859375,710.0,281534
2024-03-04,744.9043579101562,752.7999877929688,759.9000244140625,733.2000122070312,750.0,183054
2024-03-05,745.102294921875,753.0,760.9500122070312,738.0,750.0,138161
2024-03-06,708.7871704101562,716.2999877929688,759.9500122070312,713.0499877929688,759.9500122070312,130993
2024-03-07,733.871337890625,741.6500244140625,746.9500122070312,717.9500122070312,724.0499877929688,202399
2024-03-11,706.3628540039062,713.8499755859375,742.0999755859375,710.0,730.0499877929688,98776
2024-03-12,688.056884765625,695.3499755859375,726.9000244140625,683.0,715.0,155307
2024-03-13,635.61279296875,642.3499755859375,713.0499877929688,635.0,686.5499877929688,366532
2024-03-14,636.8001708984375,643.5499877929688,651.9000244140625,610.0,623.1500244140625,537976
2024-03-15,644.0236206054688,650.8499755859375,693.2999877929688,637.0499877929688,653.2000122070312,237242
2024-03-18,634.6727905273438,641.4000244140625,667.4500122070312,635.5,648.25,100278
2024-03-19,618.9889526367188,625.5499877929688,646.7000122070312,620.0,641.75,126109
2024-03-20,631.35791015625,638.0499877929688,647.9500122070312,607.2000122070312,624.0,175771
2024-03-21,650.6533813476562,657.5499877929688,665.5,638.7999877929688,640.0,144556
2024-03-22,698.3478393554688,705.75,710.6500244140625,652.9000244140625,654.9000244140625,411704
